turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision
10,0.55184,10,3,18,18,46,45,56,106,73,135,475,-1,-1,-1,-1,100,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,-1,-1,-1,-1,-1,100,0,0,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,-1,-1,-1,100,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,-1,-1,-1,-1,30,0,0,5,29.47612,16,14,18,18,65,131,98,66,80,94,-1,-1,-1,-1,-1,88,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,-1,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,54,272,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,-1,-1,-1,72,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,-1,-1,-1,-1,-1,100,0,0,1,10
11,0.55184,10,3,18,18,46,45,56,106,73,135,475,-1,-1,-1,-1,100,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,-1,-1,-1,-1,-1,100,0,0,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,-1,-1,-1,100,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,-1,-1,-1,-1,30,0,0,3,29.47612,16,14,18,18,65,131,98,66,80,94,-1,-1,-1,-1,-1,88,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,-1,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,54,272,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,-1,-1,-1,72,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,-1,-1,-1,-1,-1,100,0,0,4,8
12,0.55184,10,3,18,18,46,45,56,106,73,135,475,-1,-1,-1,-1,100,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,767,-1,-1,-1,-1,100,0,0,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,-1,-1,-1,100,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,-1,-1,-1,-1,30,0,0,3,29.47612,16,14,18,18,65,131,98,66,80,94,-1,-1,-1,-1,-1,88,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,-1,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,54,272,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,-1,-1,-1,72,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,-1,-1,-1,-1,-1,100,0,0,0,8
13,0.55184,10,3,18,18,46,45,56,106,73,135,475,-1,-1,-1,-1,100,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,767,113,-1,-1,-1,100,0,0,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,-1,-1,-1,100,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,-1,-1,-1,-1,30,0,0,3,29.47612,16,14,18,18,65,131,98,66,80,94,668,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,-1,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,54,272,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,-1,-1,-1,72,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,-1,-1,-1,-1,-1,100,0,0,5,1
14,0.55184,10,3,18,18,46,45,56,106,73,135,475,-1,-1,-1,-1,100,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,767,113,-1,-1,-1,100,0,0,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,-1,-1,-1,100,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,-1,-1,-1,-1,24,0,2,5,29.47612,16,14,18,18,65,131,98,66,80,94,668,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,-1,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,54,272,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,-1,-1,-1,72,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,854,-1,-1,-1,-1,100,0,0,5,10
15,0.55184,10,3,18,18,46,45,56,106,73,135,475,-1,-1,-1,-1,100,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,767,113,-1,-1,-1,100,0,0,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,-1,-1,-1,100,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,-1,-1,-1,-1,24,0,2,4,29.47612,16,14,18,18,65,131,98,66,80,94,668,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,-1,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,54,272,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,-1,-1,-1,72,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,854,-1,-1,-1,-1,100,0,0,4,9
16,0.55184,10,3,18,18,46,45,56,106,73,135,475,-1,-1,-1,-1,100,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,767,113,-1,-1,-1,100,0,0,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,-1,-1,-1,100,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,-1,-1,-1,-1,24,0,2,4,29.47612,16,14,18,18,65,131,98,66,80,94,668,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,-1,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,54,272,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,-1,-1,-1,72,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,854,-1,-1,-1,-1,100,0,0,3,1
17,0.55184,10,3,18,18,46,45,56,106,73,135,475,-1,-1,-1,-1,100,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,767,113,-1,-1,-1,100,0,0,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,414,-1,-1,94,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,-1,-1,-1,-1,24,0,2,4,29.47612,16,14,18,18,65,131,98,66,80,94,668,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,-1,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,0,0,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,-1,-1,-1,72,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,854,-1,-1,-1,-1,100,0,0,1,2
18,0.55184,10,3,18,18,46,45,56,106,73,135,475,-1,-1,-1,-1,100,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,767,113,-1,-1,-1,100,0,0,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,414,-1,-1,94,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,-1,-1,-1,-1,24,0,2,4,29.47612,16,14,18,18,65,131,98,66,80,94,668,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,245,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,0,0,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,-1,-1,-1,72,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,854,-1,-1,-1,-1,100,0,0,1,2
19,0.55184,10,3,18,18,46,45,56,106,73,135,475,-1,-1,-1,-1,100,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,767,113,-1,-1,-1,100,0,0,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,414,-1,-1,0,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,-1,-1,-1,-1,24,0,2,0,29.47612,16,14,18,18,65,131,98,66,80,94,668,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,245,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,0,0,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,-1,-1,-1,72,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,854,-1,-1,-1,-1,100,0,0,1,5
20,0.55184,10,3,18,18,46,45,56,106,73,135,475,209,-1,-1,-1,100,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,767,113,-1,-1,-1,100,0,0,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,414,-1,-1,0,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,-1,-1,-1,-1,24,0,2,0,29.47612,16,14,18,18,65,131,98,66,80,94,668,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,245,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,0,0,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,-1,-1,-1,58,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,854,-1,-1,-1,-1,100,0,0,4,1
21,0.55184,10,3,18,18,46,45,56,106,73,135,475,209,-1,-1,-1,0,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,767,113,-1,-1,-1,100,0,0,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,414,-1,-1,0,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,-1,-1,-1,-1,24,0,2,3,29.47612,16,14,18,18,65,131,98,66,80,94,668,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,245,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,0,0,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,-1,-1,-1,58,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,854,-1,-1,-1,-1,100,0,0,4,8
22,0.55184,10,3,18,18,46,45,56,106,73,135,475,209,-1,-1,-1,0,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,767,113,-1,-1,-1,100,0,0,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,414,-1,-1,0,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,-1,-1,-1,-1,24,0,2,3,29.47612,16,14,18,18,65,131,98,66,80,94,668,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,245,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,0,0,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,-1,-1,-1,58,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,854,-1,-1,-1,-1,100,0,0,5,1
23,0.55184,10,3,18,18,46,45,56,106,73,135,475,209,-1,-1,-1,0,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,767,113,217,-1,-1,94,0,2,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,414,-1,-1,0,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,-1,-1,-1,-1,24,0,2,3,29.47612,16,14,18,18,65,131,98,66,80,94,668,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,245,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,0,0,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,-1,-1,-1,58,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,854,-1,-1,-1,-1,43,234,0,5,2
24,0.55184,10,3,18,18,46,45,56,106,73,135,475,209,-1,-1,-1,0,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,767,113,217,-1,-1,70,234,2,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,414,-1,-1,0,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,-1,-1,-1,-1,24,0,2,3,29.47612,16,14,18,18,65,131,98,66,80,94,668,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,245,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,0,0,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,-1,-1,-1,58,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,854,525,-1,-1,-1,73,234,0,5,1
25,0.55184,10,3,18,18,46,45,56,106,73,135,475,209,-1,-1,-1,0,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,767,113,217,-1,-1,70,234,2,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,414,-1,-1,0,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,-1,-1,-1,-1,24,0,2,3,29.47612,16,14,18,18,65,131,98,66,80,94,668,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,245,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,0,0,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,-1,-1,-1,58,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,854,525,615,-1,-1,79,234,0,5,1
26,0.55184,10,3,18,18,46,45,56,106,73,135,475,209,-1,-1,-1,0,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,767,113,217,668,-1,70,234,2,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,414,-1,-1,0,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,-1,-1,-1,-1,24,0,2,3,29.47612,16,14,18,18,65,131,98,66,80,94,668,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,245,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,0,0,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,-1,-1,-1,58,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,854,525,615,-1,-1,85,234,0,5,3
27,0.55184,10,3,18,18,46,45,56,106,73,135,475,209,-1,-1,-1,0,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,767,113,217,668,-1,94,234,2,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,414,-1,-1,0,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,-1,-1,-1,-1,24,0,2,3,29.47612,16,14,18,18,65,131,98,66,80,94,668,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,245,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,0,0,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,-1,-1,-1,58,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,854,525,615,-1,-1,48,234,0,5,4
28,0.55184,10,3,18,18,46,45,56,106,73,135,475,209,-1,-1,-1,0,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,767,113,217,668,-1,94,234,2,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,414,-1,-1,0,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,-1,-1,-1,-1,35,0,2,5,29.47612,16,14,18,18,65,131,98,66,80,94,668,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,245,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,0,0,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,-1,-1,-1,58,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,854,525,615,-1,-1,40,234,0,5,10
29,0.55184,10,3,18,18,46,45,56,106,73,135,475,209,-1,-1,-1,0,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,767,113,217,668,-1,94,234,2,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,414,-1,-1,0,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,285,-1,-1,-1,35,0,2,5,29.47612,16,14,18,18,65,131,98,66,80,94,668,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,245,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,0,0,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,-1,-1,-1,46,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,854,525,615,-1,-1,40,234,0,4,1
30,0.55184,10,3,18,18,46,45,56,106,73,135,475,209,-1,-1,-1,0,0,0,12.64844,15,3,18,18,63,79,54,89,48,102,735,-1,-1,-1,-1,0,0,0,21.92728,14,16,18,18,92,110,108,76,85,94,-1,-1,-1,-1,-1,100,0,0,26.39896,17,16,18,18,86,95,68,111,110,80,767,113,217,668,-1,94,234,2,9.47704,7,16,18,18,94,97,112,61,105,30,427,718,414,-1,-1,0,0,0,5.12076,10,4,18,18,90,90,76,101,95,113,284,285,-1,-1,-1,0,0,2,3,29.47612,16,14,18,18,65,131,98,66,80,94,668,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,193,245,-1,-1,-1,60,0,0,12.85208,17,3,18,18,83,55,68,100,113,120,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,0,0,6,4.25112,11,15,18,18,80,132,106,68,86,62,239,90,583,-1,-1,33,540,0,9.66912,2,13,18,18,106,61,123,88,98,40,854,525,615,-1,-1,40,234,0,4,8
