turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
0,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,-1,-1,-1,-1,-1,100,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,-1,-1,-1,-1,-1,100,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,-1,-1,-1,-1,-1,100,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,1,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,-1,-1,-1,-1,-1,100,0,0,13.91632,4,17,18,18,60,88,83,65,65,100,-1,-1,-1,-1,-1,100,0,0,1.36084,7,5,18,18,73,93,146,75,68,90,-1,-1,-1,-1,-1,100,0,0,3,6,600,600,,,0.0
1,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,-1,-1,-1,-1,79,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,-1,-1,-1,-1,-1,100,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,-1,-1,-1,-1,-1,100,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,1,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,414,-1,-1,-1,-1,100,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,-1,-1,-1,-1,-1,100,0,0,1.36084,7,5,18,18,73,93,146,75,68,90,-1,-1,-1,-1,-1,100,0,0,3,6,579,600,600.0,600.0,0.105
2,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,-1,-1,-1,-1,79,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,-1,-1,-1,-1,-1,100,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,-1,-1,-1,-1,-1,100,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,3,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,100,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,-1,-1,-1,-1,-1,100,0,0,1.36084,7,5,18,18,73,93,146,75,68,90,-1,-1,-1,-1,-1,100,0,0,3,8,579,600,600.0,579.0,0.0
3,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,-1,-1,-1,-1,79,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,-1,-1,-1,-1,-1,100,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,-1,-1,-1,-1,100,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,3,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,-1,-1,-1,-1,-1,100,0,0,1.36084,7,5,18,18,73,93,146,75,68,90,-1,-1,-1,-1,-1,100,0,0,1,8,579,500,600.0,579.0,1.0
4,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,-1,-1,-1,-1,79,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,-1,-1,-1,-1,-1,100,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,794,-1,-1,-1,0,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,2,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,13,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,-1,-1,-1,-1,-1,100,0,0,1.36084,7,5,18,18,73,93,146,75,68,90,-1,-1,-1,-1,-1,100,0,0,1,7,479,413,500.0,579.0,1.37
5,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,-1,-1,-1,-1,79,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,151,-1,-1,-1,-1,100,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,794,-1,-1,-1,0,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,2,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,13,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,-1,-1,-1,-1,-1,100,0,0,1.36084,7,5,18,18,73,93,146,75,68,90,-1,-1,-1,-1,-1,100,0,0,4,7,479,413,413.0,479.0,0.0
6,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,-1,-1,-1,-1,79,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,151,249,-1,-1,-1,100,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,794,-1,-1,-1,0,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,2,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,13,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,726,-1,-1,-1,-1,31,234,0,1.36084,7,5,18,18,73,93,146,75,68,90,-1,-1,-1,-1,-1,100,0,0,4,1,479,344,413.0,479.0,0.69
7,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,-1,-1,-1,-1,79,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,151,249,814,-1,-1,100,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,794,-1,-1,-1,0,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,2,13.8124,16,8,18,18,102,120,96,93,95,101,-1,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,13,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,726,-1,-1,-1,-1,31,234,0,1.36084,7,5,18,18,73,93,146,75,68,90,-1,-1,-1,-1,-1,100,0,0,0,2,479,344,344.0,479.0,0.0
8,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,-1,-1,-1,-1,79,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,151,249,814,-1,-1,100,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,794,-1,-1,-1,0,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,-1,-1,-1,-1,-1,56,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,4,13.8124,16,8,18,18,102,120,96,93,95,101,403,-1,-1,-1,-1,100,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,13,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,726,-1,-1,-1,-1,31,234,0,1.36084,7,5,18,18,73,93,146,75,68,90,-1,-1,-1,-1,-1,100,0,0,0,9,435,344,344.0,479.0,0.22
9,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,-1,-1,-1,-1,79,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,151,249,814,-1,-1,100,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,794,-1,-1,-1,0,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,757,-1,-1,-1,-1,56,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,100,0,0,4,13.8124,16,8,18,18,102,120,96,93,95,101,403,-1,-1,-1,-1,0,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,13,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,726,-1,-1,-1,-1,31,234,0,1.36084,7,5,18,18,73,93,146,75,68,90,-1,-1,-1,-1,-1,100,0,0,2,9,435,244,344.0,435.0,1.0
