turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
10,14.4856,16,4,18,18,100,100,116,103,83,66,414,825,-1,-1,-1,94,0,2,17.55952,8,9,18,18,101,110,126,51,61,76,806,151,-1,-1,-1,91,0,0,15.90672,13,17,18,18,62,61,73,138,98,80,-1,-1,-1,-1,-1,88,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,4.17632,1,16,18,18,100,125,95,78,76,76,-1,-1,-1,-1,-1,88,0,0,2,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,-1,-1,-1,-1,-1,95,0,0,12.19268,8,9,18,18,85,92,120,56,70,77,414,729,528,-1,-1,94,0,6,18.24532,13,16,18,18,51,86,130,58,125,21,427,717,854,-1,-1,74,0,0,30.75804,17,2,18,18,75,56,118,90,120,30,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,100,0,0,1,7,561,563,568.0,573.0,0.11
11,14.4856,16,4,18,18,100,100,116,103,83,66,414,825,-1,-1,-1,94,0,2,17.55952,8,9,18,18,101,110,126,51,61,76,806,151,-1,-1,-1,91,0,0,15.90672,13,17,18,18,62,61,73,138,98,80,251,-1,-1,-1,-1,88,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,4.17632,1,16,18,18,100,125,95,78,76,76,-1,-1,-1,-1,-1,88,0,0,2,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,-1,-1,-1,-1,-1,95,0,0,12.19268,8,9,18,18,85,92,120,56,70,77,414,729,528,-1,-1,94,0,6,18.24532,13,16,18,18,51,86,130,58,125,21,427,717,854,-1,-1,74,0,0,30.75804,17,2,18,18,75,56,118,90,120,30,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,36,0,0,5,7,561,499,563.0,561.0,0.64
12,14.4856,16,4,18,18,100,100,116,103,83,66,414,825,-1,-1,-1,82,0,2,17.55952,8,9,18,18,101,110,126,51,61,76,806,151,-1,-1,-1,91,0,0,15.90672,13,17,18,18,62,61,73,138,98,80,251,-1,-1,-1,-1,16,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,4.17632,1,16,18,18,100,125,95,78,76,76,-1,-1,-1,-1,-1,88,0,0,0,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,-1,-1,-1,-1,-1,95,0,0,12.19268,8,9,18,18,85,92,120,56,70,77,414,729,528,-1,-1,94,0,6,18.24532,13,16,18,18,51,86,130,58,125,21,427,717,854,-1,-1,74,0,0,30.75804,17,2,18,18,75,56,118,90,120,30,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,36,0,0,5,5,477,499,499.0,561.0,0.42
13,14.4856,16,4,18,18,100,100,116,103,83,66,414,825,-1,-1,-1,82,0,2,17.55952,8,9,18,18,101,110,126,51,61,76,806,151,-1,-1,-1,91,0,0,15.90672,13,17,18,18,62,61,73,138,98,80,251,-1,-1,-1,-1,16,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,4.17632,1,16,18,18,100,125,95,78,76,76,-1,-1,-1,-1,-1,88,0,0,1,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,-1,-1,-1,-1,-1,95,0,0,12.19268,8,9,18,18,85,92,120,56,70,77,414,729,528,-1,-1,94,0,6,18.24532,13,16,18,18,51,86,130,58,125,21,427,717,854,-1,-1,74,0,0,30.75804,17,2,18,18,75,56,118,90,120,30,-1,-1,-1,-1,-1,100,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,36,0,0,4,6,477,499,499.0,477.0,0.0
14,14.4856,16,4,18,18,100,100,116,103,83,66,414,825,-1,-1,-1,82,0,2,17.55952,8,9,18,18,101,110,126,51,61,76,806,151,-1,-1,-1,91,0,0,15.90672,13,17,18,18,62,61,73,138,98,80,251,-1,-1,-1,-1,16,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,4.17632,1,16,18,18,100,125,95,78,76,76,-1,-1,-1,-1,-1,88,0,0,1,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,-1,-1,-1,-1,-1,95,0,0,12.19268,8,9,18,18,85,92,120,56,70,77,414,729,528,-1,-1,94,0,6,18.24532,13,16,18,18,51,86,130,58,125,21,427,717,854,-1,-1,74,0,0,30.75804,17,2,18,18,75,56,118,90,120,30,-1,-1,-1,-1,-1,100,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,36,0,0,5,2,477,499,499.0,477.0,0.0
15,14.4856,16,4,18,18,100,100,116,103,83,66,414,825,-1,-1,-1,82,0,2,17.55952,8,9,18,18,101,110,126,51,61,76,806,151,194,-1,-1,91,0,0,15.90672,13,17,18,18,62,61,73,138,98,80,251,-1,-1,-1,-1,16,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,4.17632,1,16,18,18,100,125,95,78,76,76,-1,-1,-1,-1,-1,88,0,0,1,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,-1,-1,-1,-1,-1,95,0,0,12.19268,8,9,18,18,85,92,120,56,70,77,414,729,528,-1,-1,94,0,6,18.24532,13,16,18,18,51,86,130,58,125,21,427,717,854,-1,-1,74,0,0,30.75804,17,2,18,18,75,56,118,90,120,30,-1,-1,-1,-1,-1,83,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,36,0,0,4,2,477,482,499.0,477.0,0.17
16,14.4856,16,4,18,18,100,100,116,103,83,66,414,825,-1,-1,-1,82,0,2,17.55952,8,9,18,18,101,110,126,51,61,76,806,151,194,-1,-1,55,0,0,15.90672,13,17,18,18,62,61,73,138,98,80,251,-1,-1,-1,-1,16,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,4.17632,1,16,18,18,100,125,95,78,76,76,-1,-1,-1,-1,-1,88,0,0,1,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,-1,-1,-1,-1,-1,95,0,0,12.19268,8,9,18,18,85,92,120,56,70,77,414,729,528,-1,-1,94,0,6,18.24532,13,16,18,18,51,86,130,58,125,21,427,717,854,-1,-1,74,0,0,30.75804,17,2,18,18,75,56,118,90,120,30,486,-1,-1,-1,-1,64,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,36,0,0,4,3,441,463,482.0,477.0,0.37
17,14.4856,16,4,18,18,100,100,116,103,83,66,414,825,-1,-1,-1,82,0,2,17.55952,8,9,18,18,101,110,126,51,61,76,806,151,194,-1,-1,55,0,0,15.90672,13,17,18,18,62,61,73,138,98,80,251,-1,-1,-1,-1,16,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,4.17632,1,16,18,18,100,125,95,78,76,76,-1,-1,-1,-1,-1,88,0,0,1,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,-1,-1,-1,-1,-1,95,0,0,12.19268,8,9,18,18,85,92,120,56,70,77,414,729,528,-1,-1,94,0,6,18.24532,13,16,18,18,51,86,130,58,125,21,427,717,854,-1,-1,74,0,0,30.75804,17,2,18,18,75,56,118,90,120,30,486,600,-1,-1,-1,94,234,6,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,36,0,0,4,1,441,493,463.0,441.0,-0.3
18,14.4856,16,4,18,18,100,100,116,103,83,66,414,825,-1,-1,-1,82,0,2,17.55952,8,9,18,18,101,110,126,51,61,76,806,151,194,-1,-1,55,0,0,15.90672,13,17,18,18,62,61,73,138,98,80,251,-1,-1,-1,-1,16,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,4.17632,1,16,18,18,100,125,95,78,76,76,-1,-1,-1,-1,-1,88,0,0,3,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,-1,-1,-1,-1,-1,95,0,0,12.19268,8,9,18,18,85,92,120,56,70,77,414,729,528,-1,-1,94,0,6,18.24532,13,16,18,18,51,86,130,58,125,21,427,717,854,-1,-1,74,0,0,30.75804,17,2,18,18,75,56,118,90,120,30,486,600,-1,-1,-1,94,234,6,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,36,0,0,1,8,441,493,493.0,441.0,0.0
19,14.4856,16,4,18,18,100,100,116,103,83,66,414,825,-1,-1,-1,82,0,2,17.55952,8,9,18,18,101,110,126,51,61,76,806,151,194,-1,-1,55,0,0,15.90672,13,17,18,18,62,61,73,138,98,80,251,-1,-1,-1,-1,16,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,4.17632,1,16,18,18,100,125,95,78,76,76,-1,-1,-1,-1,-1,88,0,0,2,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,-1,-1,-1,-1,-1,95,0,0,12.19268,8,9,18,18,85,92,120,56,70,77,414,729,528,-1,-1,94,0,6,18.24532,13,16,18,18,51,86,130,58,125,21,427,717,854,-1,-1,74,0,0,30.75804,17,2,18,18,75,56,118,90,120,30,486,600,-1,-1,-1,94,234,6,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,36,0,0,0,7,441,493,493.0,441.0,0.0
20,14.4856,16,4,18,18,100,100,116,103,83,66,414,825,-1,-1,-1,82,0,2,17.55952,8,9,18,18,101,110,126,51,61,76,806,151,194,-1,-1,55,0,0,15.90672,13,17,18,18,62,61,73,138,98,80,251,654,-1,-1,-1,16,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,4.17632,1,16,18,18,100,125,95,78,76,76,-1,-1,-1,-1,-1,88,0,0,2,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,-1,-1,-1,-1,-1,95,0,0,12.19268,8,9,18,18,85,92,120,56,70,77,414,729,528,-1,-1,94,0,6,18.24532,13,16,18,18,51,86,130,58,125,21,427,717,854,-1,-1,74,0,0,30.75804,17,2,18,18,75,56,118,90,120,30,486,600,-1,-1,-1,94,234,6,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,80,0,0,5,1,441,537,493.0,441.0,-0.44
21,14.4856,16,4,18,18,100,100,116,103,83,66,414,825,-1,-1,-1,82,0,2,17.55952,8,9,18,18,101,110,126,51,61,76,806,151,194,-1,-1,55,0,0,15.90672,13,17,18,18,62,61,73,138,98,80,251,654,-1,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,4.17632,1,16,18,18,100,125,95,78,76,76,-1,-1,-1,-1,-1,88,0,0,3,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,-1,-1,-1,-1,-1,95,0,0,12.19268,8,9,18,18,85,92,120,56,70,77,414,729,528,-1,-1,94,0,6,18.24532,13,16,18,18,51,86,130,58,125,21,427,717,854,-1,-1,74,0,0,30.75804,17,2,18,18,75,56,118,90,120,30,486,600,-1,-1,-1,94,234,6,19.87016,7,15,18,18,66,110,124,67,128,52,583,-1,-1,-1,-1,60,0,0,5,8,425,517,537.0,441.0,0.28
22,14.4856,16,4,18,18,100,100,116,103,83,66,414,825,-1,-1,-1,82,0,2,17.55952,8,9,18,18,101,110,126,51,61,76,806,151,194,-1,-1,55,0,0,15.90672,13,17,18,18,62,61,73,138,98,80,251,654,-1,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,729,-1,-1,-1,-1,59,234,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,4.17632,1,16,18,18,100,125,95,78,76,76,-1,-1,-1,-1,-1,88,0,0,3,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,-1,-1,-1,-1,-1,95,0,0,12.19268,8,9,18,18,85,92,120,56,70,77,414,729,528,-1,-1,94,0,6,18.24532,13,16,18,18,51,86,130,58,125,21,427,717,854,-1,-1,74,0,0,30.75804,17,2,18,18,75,56,118,90,120,30,486,600,-1,-1,-1,94,234,6,19.87016,7,15,18,18,66,110,124,67,128,52,583,545,-1,-1,-1,60,0,0,5,8,384,517,517.0,425.0,0.205
23,14.4856,16,4,18,18,100,100,116,103,83,66,414,825,-1,-1,-1,82,0,2,17.55952,8,9,18,18,101,110,126,51,61,76,806,151,194,-1,-1,55,0,0,15.90672,13,17,18,18,62,61,73,138,98,80,251,654,-1,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,729,-1,-1,-1,-1,59,234,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,4.17632,1,16,18,18,100,125,95,78,76,76,-1,-1,-1,-1,-1,88,0,0,1,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,-1,-1,-1,-1,-1,70,0,0,12.19268,8,9,18,18,85,92,120,56,70,77,414,729,528,-1,-1,94,0,6,18.24532,13,16,18,18,51,86,130,58,125,21,427,717,854,-1,-1,74,0,0,30.75804,17,2,18,18,75,56,118,90,120,30,486,600,-1,-1,-1,94,234,6,19.87016,7,15,18,18,66,110,124,67,128,52,583,545,-1,-1,-1,60,0,0,1,6,384,492,517.0,384.0,0.25
24,14.4856,16,4,18,18,100,100,116,103,83,66,414,825,-1,-1,-1,82,0,2,17.55952,8,9,18,18,101,110,126,51,61,76,806,151,194,-1,-1,55,0,0,15.90672,13,17,18,18,62,61,73,138,98,80,251,654,-1,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,729,-1,-1,-1,-1,59,234,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,23,0,0,4.17632,1,16,18,18,100,125,95,78,76,76,-1,-1,-1,-1,-1,88,0,0,4,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,524,-1,-1,-1,-1,70,0,0,12.19268,8,9,18,18,85,92,120,56,70,77,414,729,528,-1,-1,94,0,6,18.24532,13,16,18,18,51,86,130,58,125,21,427,717,854,-1,-1,74,0,0,30.75804,17,2,18,18,75,56,118,90,120,30,486,600,-1,-1,-1,94,234,6,19.87016,7,15,18,18,66,110,124,67,128,52,583,545,-1,-1,-1,60,0,0,1,9,307,492,492.0,384.0,0.385
25,14.4856,16,4,18,18,100,100,116,103,83,66,414,825,-1,-1,-1,82,0,2,17.55952,8,9,18,18,101,110,126,51,61,76,806,151,194,-1,-1,55,0,0,15.90672,13,17,18,18,62,61,73,138,98,80,251,654,-1,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,729,-1,-1,-1,-1,59,234,0,28.3268,0,14,18,18,85,73,76,122,76,112,812,-1,-1,-1,-1,23,0,0,4.17632,1,16,18,18,100,125,95,78,76,76,-1,-1,-1,-1,-1,88,0,0,4,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,524,-1,-1,-1,-1,70,0,0,12.19268,8,9,18,18,85,92,120,56,70,77,414,729,528,-1,-1,94,0,6,18.24532,13,16,18,18,51,86,130,58,125,21,427,717,854,-1,-1,67,0,0,30.75804,17,2,18,18,75,56,118,90,120,30,486,600,-1,-1,-1,94,234,6,19.87016,7,15,18,18,66,110,124,67,128,52,583,545,-1,-1,-1,60,0,0,3,9,307,485,492.0,307.0,0.07
26,14.4856,16,4,18,18,100,100,116,103,83,66,414,825,-1,-1,-1,94,0,2,17.55952,8,9,18,18,101,110,126,51,61,76,806,151,194,-1,-1,55,0,0,15.90672,13,17,18,18,62,61,73,138,98,80,251,654,-1,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,729,-1,-1,-1,-1,59,234,0,28.3268,0,14,18,18,85,73,76,122,76,112,812,-1,-1,-1,-1,23,0,0,4.17632,1,16,18,18,100,125,95,78,76,76,-1,-1,-1,-1,-1,88,0,0,0,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,524,-1,-1,-1,-1,70,0,0,12.19268,8,9,18,18,85,92,120,56,70,77,414,729,528,-1,-1,94,0,6,18.24532,13,16,18,18,51,86,130,58,125,21,427,717,854,-1,-1,67,0,0,30.75804,17,2,18,18,75,56,118,90,120,30,486,600,-1,-1,-1,94,234,6,19.87016,7,15,18,18,66,110,124,67,128,52,583,545,-1,-1,-1,81,0,0,5,5,319,506,485.0,307.0,-0.15
27,14.4856,16,4,18,18,100,100,116,103,83,66,414,825,163,-1,-1,11,0,2,17.55952,8,9,18,18,101,110,126,51,61,76,806,151,194,-1,-1,55,0,0,15.90672,13,17,18,18,62,61,73,138,98,80,251,654,-1,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,729,-1,-1,-1,-1,59,234,0,28.3268,0,14,18,18,85,73,76,122,76,112,812,-1,-1,-1,-1,23,0,0,4.17632,1,16,18,18,100,125,95,78,76,76,-1,-1,-1,-1,-1,88,0,0,0,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,524,-1,-1,-1,-1,70,0,0,12.19268,8,9,18,18,85,92,120,56,70,77,414,729,528,-1,-1,94,0,6,18.24532,13,16,18,18,51,86,130,58,125,21,427,717,854,-1,-1,67,0,0,30.75804,17,2,18,18,75,56,118,90,120,30,486,600,-1,-1,-1,94,234,6,19.87016,7,15,18,18,66,110,124,67,128,52,583,545,237,-1,-1,81,0,0,5,2,236,506,506.0,319.0,0.415
28,14.4856,16,4,18,18,100,100,116,103,83,66,414,825,163,-1,-1,0,0,2,17.55952,8,9,18,18,101,110,126,51,61,76,806,151,194,-1,-1,55,0,0,15.90672,13,17,18,18,62,61,73,138,98,80,251,654,-1,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,729,-1,-1,-1,-1,59,234,0,28.3268,0,14,18,18,85,73,76,122,76,112,812,-1,-1,-1,-1,23,0,0,4.17632,1,16,18,18,100,125,95,78,76,76,-1,-1,-1,-1,-1,88,0,0,5,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,524,-1,-1,-1,-1,70,0,0,12.19268,8,9,18,18,85,92,120,56,70,77,414,729,528,-1,-1,94,0,6,18.24532,13,16,18,18,51,86,130,58,125,21,427,717,854,-1,-1,67,0,0,30.75804,17,2,18,18,75,56,118,90,120,30,486,600,-1,-1,-1,94,234,6,19.87016,7,15,18,18,66,110,124,67,128,52,583,545,237,-1,-1,74,0,0,5,10,225,499,506.0,236.0,0.125
29,14.4856,16,4,18,18,100,100,116,103,83,66,414,825,163,-1,-1,0,0,2,17.55952,8,9,18,18,101,110,126,51,61,76,806,151,194,-1,-1,55,0,0,15.90672,13,17,18,18,62,61,73,138,98,80,251,654,-1,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,729,-1,-1,-1,-1,59,234,0,28.3268,0,14,18,18,85,73,76,122,76,112,812,-1,-1,-1,-1,23,0,0,4.17632,1,16,18,18,100,125,95,78,76,76,767,-1,-1,-1,-1,94,234,0,5,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,524,-1,-1,-1,-1,70,0,0,12.19268,8,9,18,18,85,92,120,56,70,77,414,729,528,-1,-1,94,0,6,18.24532,13,16,18,18,51,86,130,58,125,21,427,717,854,-1,-1,45,0,0,30.75804,17,2,18,18,75,56,118,90,120,30,486,600,-1,-1,-1,94,234,6,19.87016,7,15,18,18,66,110,124,67,128,52,583,545,237,-1,-1,74,0,0,3,10,231,477,499.0,225.0,0.25
