turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
10,8.66248,12,12,18,18,99,154,76,85,83,59,583,-1,-1,-1,-1,58,0,4,14.48576,14,9,18,18,82,80,84,125,92,100,-1,-1,-1,-1,-1,100,0,0,2.44904,15,10,18,18,73,95,80,90,61,97,726,-1,-1,-1,-1,100,0,1,26.82736,16,4,18,18,76,132,110,92,90,50,563,90,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,-1,-1,-1,-1,-1,100,0,0,7.96552,1,9,18,18,85,130,76,110,73,93,79,-1,-1,-1,-1,0,234,0,0,14.44292,16,15,18,18,73,122,111,78,90,70,668,-1,-1,-1,-1,0,158,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,800,578,-1,-1,20,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,13,0,0,7.55804,17,9,18,18,86,83,91,121,105,86,-1,-1,-1,-1,-1,100,0,0,7.39632,16,10,18,18,70,80,106,63,90,96,856,-1,-1,-1,-1,95,234,0,8.04536,2,8,18,18,93,121,86,76,75,79,-1,-1,-1,-1,-1,100,0,0,1,5,458,328,335.0,500.0,0.28
11,8.66248,12,12,18,18,99,154,76,85,83,59,583,-1,-1,-1,-1,17,0,4,14.48576,14,9,18,18,82,80,84,125,92,100,-1,-1,-1,-1,-1,100,0,0,2.44904,15,10,18,18,73,95,80,90,61,97,726,-1,-1,-1,-1,100,0,1,26.82736,16,4,18,18,76,132,110,92,90,50,563,90,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,-1,-1,-1,-1,-1,100,0,0,7.96552,1,9,18,18,85,130,76,110,73,93,79,-1,-1,-1,-1,0,234,0,0,14.44292,16,15,18,18,73,122,111,78,90,70,668,-1,-1,-1,-1,0,158,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,800,578,-1,-1,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,13,0,0,7.55804,17,9,18,18,86,83,91,121,105,86,-1,-1,-1,-1,-1,100,0,0,7.39632,16,10,18,18,70,80,106,63,90,96,856,-1,-1,-1,-1,95,234,0,8.04536,2,8,18,18,93,121,86,76,75,79,-1,-1,-1,-1,-1,100,0,0,4,1,417,308,328.0,458.0,0.405
12,8.66248,12,12,18,18,99,154,76,85,83,59,583,757,-1,-1,-1,17,0,4,14.48576,14,9,18,18,82,80,84,125,92,100,-1,-1,-1,-1,-1,100,0,0,2.44904,15,10,18,18,73,95,80,90,61,97,726,-1,-1,-1,-1,100,0,1,26.82736,16,4,18,18,76,132,110,92,90,50,563,90,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,-1,-1,-1,-1,-1,100,0,0,7.96552,1,9,18,18,85,130,76,110,73,93,79,-1,-1,-1,-1,0,234,0,0,14.44292,16,15,18,18,73,122,111,78,90,70,668,-1,-1,-1,-1,0,158,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,800,578,-1,-1,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,13,0,0,7.55804,17,9,18,18,86,83,91,121,105,86,-1,-1,-1,-1,-1,100,0,0,7.39632,16,10,18,18,70,80,106,63,90,96,856,729,-1,-1,-1,64,234,0,8.04536,2,8,18,18,93,121,86,76,75,79,-1,-1,-1,-1,-1,100,0,0,4,1,417,277,308.0,417.0,0.31
13,8.66248,12,12,18,18,99,154,76,85,83,59,583,757,-1,-1,-1,17,0,4,14.48576,14,9,18,18,82,80,84,125,92,100,-1,-1,-1,-1,-1,100,0,0,2.44904,15,10,18,18,73,95,80,90,61,97,726,-1,-1,-1,-1,100,0,1,26.82736,16,4,18,18,76,132,110,92,90,50,563,90,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,-1,-1,-1,-1,-1,100,0,0,7.96552,1,9,18,18,85,130,76,110,73,93,79,-1,-1,-1,-1,0,234,0,0,14.44292,16,15,18,18,73,122,111,78,90,70,668,-1,-1,-1,-1,0,158,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,800,578,-1,-1,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,13,0,0,7.55804,17,9,18,18,86,83,91,121,105,86,-1,-1,-1,-1,-1,100,0,0,7.39632,16,10,18,18,70,80,106,63,90,96,856,729,-1,-1,-1,45,234,0,8.04536,2,8,18,18,93,121,86,76,75,79,-1,-1,-1,-1,-1,100,0,0,4,2,417,258,277.0,417.0,0.19
14,8.66248,12,12,18,18,99,154,76,85,83,59,583,757,194,-1,-1,17,0,4,14.48576,14,9,18,18,82,80,84,125,92,100,-1,-1,-1,-1,-1,100,0,0,2.44904,15,10,18,18,73,95,80,90,61,97,726,-1,-1,-1,-1,100,0,1,26.82736,16,4,18,18,76,132,110,92,90,50,563,90,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,-1,-1,-1,-1,-1,100,0,0,7.96552,1,9,18,18,85,130,76,110,73,93,79,-1,-1,-1,-1,0,234,0,0,14.44292,16,15,18,18,73,122,111,78,90,70,668,-1,-1,-1,-1,0,158,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,800,578,-1,-1,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,0,0,0,7.55804,17,9,18,18,86,83,91,121,105,86,-1,-1,-1,-1,-1,100,0,0,7.39632,16,10,18,18,70,80,106,63,90,96,856,729,-1,-1,-1,45,234,0,8.04536,2,8,18,18,93,121,86,76,75,79,-1,-1,-1,-1,-1,100,0,0,5,2,417,245,258.0,417.0,0.13
15,8.66248,12,12,18,18,99,154,76,85,83,59,583,757,194,-1,-1,17,0,4,14.48576,14,9,18,18,82,80,84,125,92,100,-1,-1,-1,-1,-1,100,0,0,2.44904,15,10,18,18,73,95,80,90,61,97,726,-1,-1,-1,-1,100,0,1,26.82736,16,4,18,18,76,132,110,92,90,50,563,90,-1,-1,-1,100,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,-1,-1,-1,-1,-1,88,0,0,7.96552,1,9,18,18,85,130,76,110,73,93,79,-1,-1,-1,-1,0,234,0,4,14.44292,16,15,18,18,73,122,111,78,90,70,668,-1,-1,-1,-1,0,158,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,800,578,-1,-1,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,0,0,0,7.55804,17,9,18,18,86,83,91,121,105,86,-1,-1,-1,-1,-1,100,0,0,7.39632,16,10,18,18,70,80,106,63,90,96,856,729,-1,-1,-1,45,234,0,8.04536,2,8,18,18,93,121,86,76,75,79,175,-1,-1,-1,-1,100,0,0,5,9,405,245,245.0,417.0,0.06
16,8.66248,12,12,18,18,99,154,76,85,83,59,583,757,194,-1,-1,17,0,4,14.48576,14,9,18,18,82,80,84,125,92,100,-1,-1,-1,-1,-1,100,0,0,2.44904,15,10,18,18,73,95,80,90,61,97,726,-1,-1,-1,-1,100,0,1,26.82736,16,4,18,18,76,132,110,92,90,50,563,90,-1,-1,-1,94,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,712,-1,-1,-1,-1,0,0,0,7.96552,1,9,18,18,85,130,76,110,73,93,79,-1,-1,-1,-1,0,234,0,3,14.44292,16,15,18,18,73,122,111,78,90,70,668,-1,-1,-1,-1,0,158,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,800,578,-1,-1,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,0,0,0,7.55804,17,9,18,18,86,83,91,121,105,86,-1,-1,-1,-1,-1,100,0,0,7.39632,16,10,18,18,70,80,106,63,90,96,856,729,-1,-1,-1,45,234,0,8.04536,2,8,18,18,93,121,86,76,75,79,175,433,-1,-1,-1,55,0,0,5,8,311,200,245.0,405.0,0.92
17,8.66248,12,12,18,18,99,154,76,85,83,59,583,757,194,-1,-1,17,0,4,14.48576,14,9,18,18,82,80,84,125,92,100,-1,-1,-1,-1,-1,100,0,0,2.44904,15,10,18,18,73,95,80,90,61,97,726,-1,-1,-1,-1,100,0,1,26.82736,16,4,18,18,76,132,110,92,90,50,563,90,-1,-1,-1,94,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,712,-1,-1,-1,-1,0,0,0,7.96552,1,9,18,18,85,130,76,110,73,93,79,-1,-1,-1,-1,0,234,0,3,14.44292,16,15,18,18,73,122,111,78,90,70,668,-1,-1,-1,-1,0,158,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,800,578,-1,-1,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,0,0,0,7.55804,17,9,18,18,86,83,91,121,105,86,-1,-1,-1,-1,-1,100,0,0,7.39632,16,10,18,18,70,80,106,63,90,96,856,729,-1,-1,-1,14,234,0,8.04536,2,8,18,18,93,121,86,76,75,79,175,433,-1,-1,-1,55,0,0,4,1,311,169,200.0,311.0,0.31
18,8.66248,12,12,18,18,99,154,76,85,83,59,583,757,194,-1,-1,17,0,4,14.48576,14,9,18,18,82,80,84,125,92,100,-1,-1,-1,-1,-1,100,0,0,2.44904,15,10,18,18,73,95,80,90,61,97,726,-1,-1,-1,-1,100,0,1,26.82736,16,4,18,18,76,132,110,92,90,50,563,90,-1,-1,-1,94,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,712,-1,-1,-1,-1,0,0,0,7.96552,1,9,18,18,85,130,76,110,73,93,79,-1,-1,-1,-1,0,234,0,3,14.44292,16,15,18,18,73,122,111,78,90,70,668,-1,-1,-1,-1,0,158,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,800,578,-1,-1,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,0,0,0,7.55804,17,9,18,18,86,83,91,121,105,86,-1,-1,-1,-1,-1,100,0,0,7.39632,16,10,18,18,70,80,106,63,90,96,856,729,-1,-1,-1,0,234,0,8.04536,2,8,18,18,93,121,86,76,75,79,175,433,-1,-1,-1,55,0,0,3,1,311,155,169.0,311.0,0.14
19,8.66248,12,12,18,18,99,154,76,85,83,59,583,757,194,-1,-1,5,0,4,14.48576,14,9,18,18,82,80,84,125,92,100,-1,-1,-1,-1,-1,100,0,0,2.44904,15,10,18,18,73,95,80,90,61,97,726,-1,-1,-1,-1,100,0,1,26.82736,16,4,18,18,76,132,110,92,90,50,563,90,-1,-1,-1,94,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,712,-1,-1,-1,-1,0,0,0,7.96552,1,9,18,18,85,130,76,110,73,93,79,-1,-1,-1,-1,0,234,0,0,14.44292,16,15,18,18,73,122,111,78,90,70,668,-1,-1,-1,-1,0,158,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,800,578,-1,-1,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,0,0,0,7.55804,17,9,18,18,86,83,91,121,105,86,800,-1,-1,-1,-1,100,0,0,7.39632,16,10,18,18,70,80,106,63,90,96,856,729,-1,-1,-1,0,234,0,8.04536,2,8,18,18,93,121,86,76,75,79,175,433,-1,-1,-1,55,0,0,3,5,299,155,155.0,311.0,0.06
20,8.66248,12,12,18,18,99,154,76,85,83,59,583,757,194,-1,-1,5,0,4,14.48576,14,9,18,18,82,80,84,125,92,100,-1,-1,-1,-1,-1,17,0,0,2.44904,15,10,18,18,73,95,80,90,61,97,726,-1,-1,-1,-1,100,0,1,26.82736,16,4,18,18,76,132,110,92,90,50,563,90,-1,-1,-1,94,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,712,-1,-1,-1,-1,0,0,0,7.96552,1,9,18,18,85,130,76,110,73,93,79,-1,-1,-1,-1,0,234,0,1,14.44292,16,15,18,18,73,122,111,78,90,70,668,-1,-1,-1,-1,0,158,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,800,578,-1,-1,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,0,0,0,7.55804,17,9,18,18,86,83,91,121,105,86,800,13,-1,-1,-1,94,0,0,7.39632,16,10,18,18,70,80,106,63,90,96,856,729,-1,-1,-1,0,234,0,8.04536,2,8,18,18,93,121,86,76,75,79,175,433,-1,-1,-1,55,0,0,3,6,216,149,155.0,299.0,0.475
21,8.66248,12,12,18,18,99,154,76,85,83,59,583,757,194,-1,-1,5,0,4,14.48576,14,9,18,18,82,80,84,125,92,100,13,-1,-1,-1,-1,0,270,0,2.44904,15,10,18,18,73,95,80,90,61,97,726,-1,-1,-1,-1,100,0,1,26.82736,16,4,18,18,76,132,110,92,90,50,563,90,-1,-1,-1,88,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,712,-1,-1,-1,-1,0,0,0,7.96552,1,9,18,18,85,130,76,110,73,93,79,-1,-1,-1,-1,0,234,0,3,14.44292,16,15,18,18,73,122,111,78,90,70,668,-1,-1,-1,-1,0,158,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,800,578,-1,-1,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,0,0,0,7.55804,17,9,18,18,86,83,91,121,105,86,800,13,-1,-1,-1,43,0,0,7.39632,16,10,18,18,70,80,106,63,90,96,856,729,-1,-1,-1,0,234,0,8.04536,2,8,18,18,93,121,86,76,75,79,175,433,-1,-1,-1,55,0,0,3,8,193,98,149.0,216.0,0.625
22,8.66248,12,12,18,18,99,154,76,85,83,59,583,757,194,-1,-1,5,0,4,14.48576,14,9,18,18,82,80,84,125,92,100,13,-1,-1,-1,-1,0,270,0,2.44904,15,10,18,18,73,95,80,90,61,97,726,-1,-1,-1,-1,100,0,1,26.82736,16,4,18,18,76,132,110,92,90,50,563,90,-1,-1,-1,88,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,712,-1,-1,-1,-1,0,0,0,7.96552,1,9,18,18,85,130,76,110,73,93,79,-1,-1,-1,-1,0,234,0,3,14.44292,16,15,18,18,73,122,111,78,90,70,668,-1,-1,-1,-1,0,158,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,800,578,-1,-1,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,0,0,0,7.55804,17,9,18,18,86,83,91,121,105,86,800,13,-1,-1,-1,0,0,0,7.39632,16,10,18,18,70,80,106,63,90,96,856,729,-1,-1,-1,0,234,0,8.04536,2,8,18,18,93,121,86,76,75,79,175,433,-1,-1,-1,55,0,0,5,2,193,55,98.0,193.0,0.43
23,8.66248,12,12,18,18,99,154,76,85,83,59,583,757,194,-1,-1,5,0,4,14.48576,14,9,18,18,82,80,84,125,92,100,13,-1,-1,-1,-1,0,270,0,2.44904,15,10,18,18,73,95,80,90,61,97,726,-1,-1,-1,-1,26,0,1,26.82736,16,4,18,18,76,132,110,92,90,50,563,90,-1,-1,-1,88,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,712,-1,-1,-1,-1,0,0,0,7.96552,1,9,18,18,85,130,76,110,73,93,79,-1,-1,-1,-1,0,234,0,2,14.44292,16,15,18,18,73,122,111,78,90,70,668,-1,-1,-1,-1,0,158,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,800,578,-1,-1,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,0,0,0,7.55804,17,9,18,18,86,83,91,121,105,86,800,13,-1,-1,-1,0,0,0,7.39632,16,10,18,18,70,80,106,63,90,96,856,729,-1,-1,-1,0,234,0,8.04536,2,8,18,18,93,121,86,76,75,79,175,433,194,-1,-1,45,270,0,5,7,119,45,55.0,193.0,0.47
24,8.66248,12,12,18,18,99,154,76,85,83,59,583,757,194,-1,-1,5,0,4,14.48576,14,9,18,18,82,80,84,125,92,100,13,-1,-1,-1,-1,0,270,0,2.44904,15,10,18,18,73,95,80,90,61,97,726,-1,-1,-1,-1,26,0,1,26.82736,16,4,18,18,76,132,110,92,90,50,563,90,-1,-1,-1,88,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,712,-1,-1,-1,-1,0,0,0,7.96552,1,9,18,18,85,130,76,110,73,93,79,-1,-1,-1,-1,0,234,0,2,14.44292,16,15,18,18,73,122,111,78,90,70,668,-1,-1,-1,-1,0,158,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,800,578,-1,-1,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,0,0,0,7.55804,17,9,18,18,86,83,91,121,105,86,800,13,-1,-1,-1,0,0,0,7.39632,16,10,18,18,70,80,106,63,90,96,856,729,-1,-1,-1,0,234,0,8.04536,2,8,18,18,93,121,86,76,75,79,175,433,194,-1,-1,45,270,0,5,7,119,45,45.0,119.0,0.0
25,8.66248,12,12,18,18,99,154,76,85,83,59,583,757,194,-1,-1,5,0,4,14.48576,14,9,18,18,82,80,84,125,92,100,13,-1,-1,-1,-1,0,270,0,2.44904,15,10,18,18,73,95,80,90,61,97,726,-1,-1,-1,-1,0,0,1,26.82736,16,4,18,18,76,132,110,92,90,50,563,90,-1,-1,-1,82,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,712,-1,-1,-1,-1,0,0,0,7.96552,1,9,18,18,85,130,76,110,73,93,79,-1,-1,-1,-1,0,234,0,3,14.44292,16,15,18,18,73,122,111,78,90,70,668,-1,-1,-1,-1,0,158,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,800,578,-1,-1,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,0,0,0,7.55804,17,9,18,18,86,83,91,121,105,86,800,13,-1,-1,-1,0,0,0,7.39632,16,10,18,18,70,80,106,63,90,96,856,729,-1,-1,-1,0,234,0,8.04536,2,8,18,18,93,121,86,76,75,79,175,433,194,388,-1,45,270,0,5,8,87,45,45.0,119.0,0.16
26,8.66248,12,12,18,18,99,154,76,85,83,59,583,757,194,-1,-1,0,0,4,14.48576,14,9,18,18,82,80,84,125,92,100,13,-1,-1,-1,-1,0,270,0,2.44904,15,10,18,18,73,95,80,90,61,97,726,-1,-1,-1,-1,0,0,1,26.82736,16,4,18,18,76,132,110,92,90,50,563,90,-1,-1,-1,0,0,0,4.53724,13,10,18,18,66,81,73,130,86,110,712,-1,-1,-1,-1,0,0,0,7.96552,1,9,18,18,85,130,76,110,73,93,79,-1,-1,-1,-1,0,234,0,0,14.44292,16,15,18,18,73,122,111,78,90,70,668,-1,-1,-1,-1,0,158,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,800,578,-1,-1,0,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,217,-1,-1,-1,-1,0,0,0,7.55804,17,9,18,18,86,83,91,121,105,86,800,13,-1,-1,-1,0,0,0,7.39632,16,10,18,18,70,80,106,63,90,96,856,729,-1,-1,-1,0,234,0,8.04536,2,8,18,18,93,121,86,76,75,79,175,433,194,388,-1,35,270,0,5,5,0,35,45.0,87.0,0.535
