turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
10,14.34968,16,5,18,18,90,113,76,81,95,116,-1,-1,-1,-1,-1,100,0,0,24.95356,13,15,18,18,70,94,101,85,93,71,-1,-1,-1,-1,-1,100,0,0,14.43872,14,0,18,18,113,106,66,95,136,46,327,848,179,-1,-1,100,0,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,0,0,0,10.67744,13,10,18,18,60,68,86,130,88,103,-1,-1,-1,-1,-1,100,0,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,2,0.91016,17,9,18,18,81,50,81,90,95,46,806,-1,-1,-1,-1,61,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,245,-1,-1,-1,-1,100,0,0,15.65824,4,6,18,18,69,118,97,56,97,53,-1,-1,-1,-1,-1,100,0,0,14.3134,14,2,18,18,98,100,71,71,76,81,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,807,595,812,-1,-1,70,234,0,10.6688,13,14,18,18,70,91,80,128,80,102,654,-1,-1,-1,-1,40,234,0,4,2,500,471,454.0,500.0,-0.17
11,14.34968,16,5,18,18,90,113,76,81,95,116,-1,-1,-1,-1,-1,100,0,0,24.95356,13,15,18,18,70,94,101,85,93,71,-1,-1,-1,-1,-1,100,0,0,14.43872,14,0,18,18,113,106,66,95,136,46,327,848,179,-1,-1,100,0,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,0,0,0,10.67744,13,10,18,18,60,68,86,130,88,103,-1,-1,-1,-1,-1,100,0,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,0,0.91016,17,9,18,18,81,50,81,90,95,46,806,-1,-1,-1,-1,61,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,245,-1,-1,-1,-1,100,0,0,15.65824,4,6,18,18,69,118,97,56,97,53,-1,-1,-1,-1,-1,100,0,0,14.3134,14,2,18,18,98,100,71,71,76,81,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,807,595,812,-1,-1,70,234,0,10.6688,13,14,18,18,70,91,80,128,80,102,654,-1,-1,-1,-1,40,234,0,0,5,500,471,471.0,500.0,0.0
12,14.34968,16,5,18,18,90,113,76,81,95,116,403,-1,-1,-1,-1,100,0,0,24.95356,13,15,18,18,70,94,101,85,93,71,-1,-1,-1,-1,-1,100,0,0,14.43872,14,0,18,18,113,106,66,95,136,46,327,848,179,-1,-1,100,0,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,0,0,0,10.67744,13,10,18,18,60,68,86,130,88,103,-1,-1,-1,-1,-1,100,0,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,0,0.91016,17,9,18,18,81,50,81,90,95,46,806,-1,-1,-1,-1,7,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,245,-1,-1,-1,-1,100,0,0,15.65824,4,6,18,18,69,118,97,56,97,53,-1,-1,-1,-1,-1,100,0,0,14.3134,14,2,18,18,98,100,71,71,76,81,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,807,595,812,-1,-1,70,234,0,10.6688,13,14,18,18,70,91,80,128,80,102,654,-1,-1,-1,-1,40,234,0,0,5,500,417,471.0,500.0,0.54
13,14.34968,16,5,18,18,90,113,76,81,95,116,403,-1,-1,-1,-1,100,0,0,24.95356,13,15,18,18,70,94,101,85,93,71,-1,-1,-1,-1,-1,100,0,0,14.43872,14,0,18,18,113,106,66,95,136,46,327,848,179,-1,-1,100,0,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,0,0,0,10.67744,13,10,18,18,60,68,86,130,88,103,-1,-1,-1,-1,-1,100,0,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,0,0.91016,17,9,18,18,81,50,81,90,95,46,806,-1,-1,-1,-1,7,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,245,-1,-1,-1,-1,100,0,0,15.65824,4,6,18,18,69,118,97,56,97,53,-1,-1,-1,-1,-1,64,272,6,14.3134,14,2,18,18,98,100,71,71,76,81,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,807,595,812,-1,-1,70,234,0,10.6688,13,14,18,18,70,91,80,128,80,102,654,-1,-1,-1,-1,40,234,0,2,1,500,381,417.0,500.0,0.36
14,14.34968,16,5,18,18,90,113,76,81,95,116,403,-1,-1,-1,-1,100,0,0,24.95356,13,15,18,18,70,94,101,85,93,71,-1,-1,-1,-1,-1,100,0,0,14.43872,14,0,18,18,113,106,66,95,136,46,327,848,179,-1,-1,100,0,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,0,0,0,10.67744,13,10,18,18,60,68,86,130,88,103,-1,-1,-1,-1,-1,100,0,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,0,0.91016,17,9,18,18,81,50,81,90,95,46,806,-1,-1,-1,-1,7,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,245,-1,-1,-1,-1,100,0,0,15.65824,4,6,18,18,69,118,97,56,97,53,-1,-1,-1,-1,-1,40,272,6,14.3134,14,2,18,18,98,100,71,71,76,81,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,807,595,812,-1,-1,70,234,0,10.6688,13,14,18,18,70,91,80,128,80,102,654,-1,-1,-1,-1,40,234,0,2,1,500,357,381.0,500.0,0.24
15,14.34968,16,5,18,18,90,113,76,81,95,116,403,-1,-1,-1,-1,88,0,0,24.95356,13,15,18,18,70,94,101,85,93,71,-1,-1,-1,-1,-1,100,0,0,14.43872,14,0,18,18,113,106,66,95,136,46,327,848,179,-1,-1,100,0,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,0,0,0,10.67744,13,10,18,18,60,68,86,130,88,103,-1,-1,-1,-1,-1,100,0,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,0,0.91016,17,9,18,18,81,50,81,90,95,46,806,-1,-1,-1,-1,7,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,245,-1,-1,-1,-1,100,0,0,15.65824,4,6,18,18,69,118,97,56,97,53,718,-1,-1,-1,-1,53,272,6,14.3134,14,2,18,18,98,100,71,71,76,81,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,807,595,812,-1,-1,70,234,0,10.6688,13,14,18,18,70,91,80,128,80,102,654,-1,-1,-1,-1,40,234,0,2,1,488,370,357.0,500.0,-0.07
16,14.34968,16,5,18,18,90,113,76,81,95,116,403,-1,-1,-1,-1,88,0,0,24.95356,13,15,18,18,70,94,101,85,93,71,-1,-1,-1,-1,-1,100,0,0,14.43872,14,0,18,18,113,106,66,95,136,46,327,848,179,-1,-1,100,0,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,0,0,0,10.67744,13,10,18,18,60,68,86,130,88,103,-1,-1,-1,-1,-1,100,0,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,4,0.91016,17,9,18,18,81,50,81,90,95,46,806,-1,-1,-1,-1,7,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,245,-1,-1,-1,-1,100,0,0,15.65824,4,6,18,18,69,118,97,56,97,53,718,184,-1,-1,-1,65,272,6,14.3134,14,2,18,18,98,100,71,71,76,81,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,807,595,812,-1,-1,70,234,0,10.6688,13,14,18,18,70,91,80,128,80,102,654,-1,-1,-1,-1,40,234,0,2,9,488,382,370.0,488.0,-0.12
17,14.34968,16,5,18,18,90,113,76,81,95,116,403,-1,-1,-1,-1,88,0,0,24.95356,13,15,18,18,70,94,101,85,93,71,-1,-1,-1,-1,-1,100,0,0,14.43872,14,0,18,18,113,106,66,95,136,46,327,848,179,-1,-1,100,0,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,0,0,0,10.67744,13,10,18,18,60,68,86,130,88,103,578,-1,-1,-1,-1,91,270,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,4,0.91016,17,9,18,18,81,50,81,90,95,46,806,-1,-1,-1,-1,0,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,245,-1,-1,-1,-1,100,0,0,15.65824,4,6,18,18,69,118,97,56,97,53,718,184,-1,-1,-1,65,272,6,14.3134,14,2,18,18,98,100,71,71,76,81,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,807,595,812,-1,-1,70,234,0,10.6688,13,14,18,18,70,91,80,128,80,102,654,-1,-1,-1,-1,40,234,0,3,9,479,375,382.0,488.0,0.115
18,14.34968,16,5,18,18,90,113,76,81,95,116,403,-1,-1,-1,-1,88,0,0,24.95356,13,15,18,18,70,94,101,85,93,71,-1,-1,-1,-1,-1,100,0,0,14.43872,14,0,18,18,113,106,66,95,136,46,327,848,179,-1,-1,100,0,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,0,0,0,10.67744,13,10,18,18,60,68,86,130,88,103,578,-1,-1,-1,-1,91,270,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,1,0.91016,17,9,18,18,81,50,81,90,95,46,806,-1,-1,-1,-1,0,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,245,-1,-1,-1,-1,100,0,0,15.65824,4,6,18,18,69,118,97,56,97,53,718,184,-1,-1,-1,65,272,6,14.3134,14,2,18,18,98,100,71,71,76,81,175,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,807,595,812,-1,-1,70,234,0,10.6688,13,14,18,18,70,91,80,128,80,102,654,-1,-1,-1,-1,40,234,0,3,6,479,375,375.0,479.0,0.0
19,14.34968,16,5,18,18,90,113,76,81,95,116,403,-1,-1,-1,-1,88,0,0,24.95356,13,15,18,18,70,94,101,85,93,71,854,-1,-1,-1,-1,100,0,0,14.43872,14,0,18,18,113,106,66,95,136,46,327,848,179,-1,-1,100,0,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,0,0,0,10.67744,13,10,18,18,60,68,86,130,88,103,578,-1,-1,-1,-1,91,270,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,1,0.91016,17,9,18,18,81,50,81,90,95,46,806,-1,-1,-1,-1,0,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,245,-1,-1,-1,-1,100,0,0,15.65824,4,6,18,18,69,118,97,56,97,53,718,184,-1,-1,-1,65,272,6,14.3134,14,2,18,18,98,100,71,71,76,81,175,-1,-1,-1,-1,94,0,2,18.19144,7,16,18,18,58,81,144,55,114,38,807,595,812,-1,-1,70,234,0,10.6688,13,14,18,18,70,91,80,128,80,102,654,-1,-1,-1,-1,40,234,0,3,6,479,369,375.0,479.0,0.06
20,14.34968,16,5,18,18,90,113,76,81,95,116,403,-1,-1,-1,-1,88,0,0,24.95356,13,15,18,18,70,94,101,85,93,71,854,267,-1,-1,-1,100,0,0,14.43872,14,0,18,18,113,106,66,95,136,46,327,848,179,-1,-1,100,0,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,0,0,0,10.67744,13,10,18,18,60,68,86,130,88,103,578,-1,-1,-1,-1,91,270,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,1,0.91016,17,9,18,18,81,50,81,90,95,46,806,-1,-1,-1,-1,0,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,245,-1,-1,-1,-1,100,0,0,15.65824,4,6,18,18,69,118,97,56,97,53,718,184,-1,-1,-1,65,272,6,14.3134,14,2,18,18,98,100,71,71,76,81,175,-1,-1,-1,-1,0,0,2,18.19144,7,16,18,18,58,81,144,55,114,38,807,595,812,-1,-1,70,234,0,10.6688,13,14,18,18,70,91,80,128,80,102,654,-1,-1,-1,-1,40,234,0,4,1,479,275,369.0,479.0,0.94
21,14.34968,16,5,18,18,90,113,76,81,95,116,403,-1,-1,-1,-1,88,0,0,24.95356,13,15,18,18,70,94,101,85,93,71,854,267,-1,-1,-1,100,0,0,14.43872,14,0,18,18,113,106,66,95,136,46,327,848,179,-1,-1,100,0,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,0,0,0,10.67744,13,10,18,18,60,68,86,130,88,103,578,-1,-1,-1,-1,91,270,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,1,0.91016,17,9,18,18,81,50,81,90,95,46,806,-1,-1,-1,-1,0,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,245,-1,-1,-1,-1,100,0,0,15.65824,4,6,18,18,69,118,97,56,97,53,718,184,-1,-1,-1,65,272,6,14.3134,14,2,18,18,98,100,71,71,76,81,175,-1,-1,-1,-1,0,0,2,18.19144,7,16,18,18,58,81,144,55,114,38,807,595,812,-1,-1,47,234,2,10.6688,13,14,18,18,70,91,80,128,80,102,654,-1,-1,-1,-1,40,234,0,4,1,479,252,275.0,479.0,0.23
22,14.34968,16,5,18,18,90,113,76,81,95,116,403,-1,-1,-1,-1,88,0,0,24.95356,13,15,18,18,70,94,101,85,93,71,854,267,329,-1,-1,100,0,0,14.43872,14,0,18,18,113,106,66,95,136,46,327,848,179,-1,-1,100,0,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,0,0,0,10.67744,13,10,18,18,60,68,86,130,88,103,578,-1,-1,-1,-1,91,270,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,1,0.91016,17,9,18,18,81,50,81,90,95,46,806,-1,-1,-1,-1,0,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,245,-1,-1,-1,-1,100,0,0,15.65824,4,6,18,18,69,118,97,56,97,53,718,184,-1,-1,-1,65,272,6,14.3134,14,2,18,18,98,100,71,71,76,81,175,-1,-1,-1,-1,0,0,2,18.19144,7,16,18,18,58,81,144,55,114,38,807,595,812,-1,-1,3,234,2,10.6688,13,14,18,18,70,91,80,128,80,102,654,-1,-1,-1,-1,40,234,0,4,2,479,208,252.0,479.0,0.44
23,14.34968,16,5,18,18,90,113,76,81,95,116,403,-1,-1,-1,-1,88,0,0,24.95356,13,15,18,18,70,94,101,85,93,71,854,267,329,-1,-1,88,0,5,14.43872,14,0,18,18,113,106,66,95,136,46,327,848,179,-1,-1,100,0,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,0,0,0,10.67744,13,10,18,18,60,68,86,130,88,103,578,-1,-1,-1,-1,91,270,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,1,0.91016,17,9,18,18,81,50,81,90,95,46,806,-1,-1,-1,-1,0,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,245,-1,-1,-1,-1,100,0,0,15.65824,4,6,18,18,69,118,97,56,97,53,718,184,-1,-1,-1,65,272,6,14.3134,14,2,18,18,98,100,71,71,76,81,175,-1,-1,-1,-1,0,0,2,18.19144,7,16,18,18,58,81,144,55,114,38,807,595,812,43,-1,0,234,2,10.6688,13,14,18,18,70,91,80,128,80,102,654,-1,-1,-1,-1,40,234,0,1,2,467,205,208.0,479.0,0.09
24,14.34968,16,5,18,18,90,113,76,81,95,116,403,-1,-1,-1,-1,88,0,0,24.95356,13,15,18,18,70,94,101,85,93,71,854,267,329,-1,-1,14,234,5,14.43872,14,0,18,18,113,106,66,95,136,46,327,848,179,-1,-1,100,0,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,0,0,0,10.67744,13,10,18,18,60,68,86,130,88,103,578,-1,-1,-1,-1,91,270,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,1,0.91016,17,9,18,18,81,50,81,90,95,46,806,-1,-1,-1,-1,0,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,245,-1,-1,-1,-1,55,234,0,15.65824,4,6,18,18,69,118,97,56,97,53,718,184,-1,-1,-1,65,272,6,14.3134,14,2,18,18,98,100,71,71,76,81,175,-1,-1,-1,-1,0,0,2,18.19144,7,16,18,18,58,81,144,55,114,38,807,595,812,43,-1,0,234,2,10.6688,13,14,18,18,70,91,80,128,80,102,654,-1,-1,-1,-1,40,234,0,1,2,393,160,205.0,467.0,0.82
25,14.34968,16,5,18,18,90,113,76,81,95,116,403,-1,-1,-1,-1,88,0,0,24.95356,13,15,18,18,70,94,101,85,93,71,854,267,329,-1,-1,0,234,5,14.43872,14,0,18,18,113,106,66,95,136,46,327,848,179,-1,-1,100,0,6,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,0,0,0,10.67744,13,10,18,18,60,68,86,130,88,103,578,-1,-1,-1,-1,91,270,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,2,0.91016,17,9,18,18,81,50,81,90,95,46,806,-1,-1,-1,-1,0,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,245,-1,-1,-1,-1,62,234,0,15.65824,4,6,18,18,69,118,97,56,97,53,718,184,-1,-1,-1,65,272,6,14.3134,14,2,18,18,98,100,71,71,76,81,175,-1,-1,-1,-1,0,0,2,18.19144,7,16,18,18,58,81,144,55,114,38,807,595,812,43,-1,0,234,2,10.6688,13,14,18,18,70,91,80,128,80,102,654,-1,-1,-1,-1,40,234,0,1,7,379,167,160.0,393.0,0.0
26,14.34968,16,5,18,18,90,113,76,81,95,116,403,-1,-1,-1,-1,88,0,0,24.95356,13,15,18,18,70,94,101,85,93,71,854,267,329,-1,-1,0,234,5,14.43872,14,0,18,18,113,106,66,95,136,46,327,848,179,-1,-1,67,0,6,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,0,0,0,10.67744,13,10,18,18,60,68,86,130,88,103,578,-1,-1,-1,-1,91,270,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,2,0.91016,17,9,18,18,81,50,81,90,95,46,806,-1,-1,-1,-1,0,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,245,811,-1,-1,-1,30,234,0,15.65824,4,6,18,18,69,118,97,56,97,53,718,184,-1,-1,-1,65,272,6,14.3134,14,2,18,18,98,100,71,71,76,81,175,-1,-1,-1,-1,0,0,2,18.19144,7,16,18,18,58,81,144,55,114,38,807,595,812,43,-1,0,234,2,10.6688,13,14,18,18,70,91,80,128,80,102,654,-1,-1,-1,-1,40,234,0,1,3,346,135,167.0,379.0,0.485
27,14.34968,16,5,18,18,90,113,76,81,95,116,403,-1,-1,-1,-1,88,0,0,24.95356,13,15,18,18,70,94,101,85,93,71,854,267,329,-1,-1,0,234,5,14.43872,14,0,18,18,113,106,66,95,136,46,327,848,179,-1,-1,29,0,6,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,0,0,0,10.67744,13,10,18,18,60,68,86,130,88,103,578,-1,-1,-1,-1,91,270,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,2,0.91016,17,9,18,18,81,50,81,90,95,46,806,-1,-1,-1,-1,0,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,245,811,-1,-1,-1,0,234,0,15.65824,4,6,18,18,69,118,97,56,97,53,718,184,-1,-1,-1,65,272,6,14.3134,14,2,18,18,98,100,71,71,76,81,175,-1,-1,-1,-1,0,0,2,18.19144,7,16,18,18,58,81,144,55,114,38,807,595,812,43,-1,0,234,2,10.6688,13,14,18,18,70,91,80,128,80,102,654,-1,-1,-1,-1,40,234,0,2,3,308,105,135.0,346.0,0.49
28,14.34968,16,5,18,18,90,113,76,81,95,116,403,-1,-1,-1,-1,88,0,0,24.95356,13,15,18,18,70,94,101,85,93,71,854,267,329,-1,-1,0,234,5,14.43872,14,0,18,18,113,106,66,95,136,46,327,848,179,-1,-1,11,0,6,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,0,0,0,10.67744,13,10,18,18,60,68,86,130,88,103,578,-1,-1,-1,-1,91,270,0,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,2,0.91016,17,9,18,18,81,50,81,90,95,46,806,-1,-1,-1,-1,0,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,245,811,-1,-1,-1,0,234,0,15.65824,4,6,18,18,69,118,97,56,97,53,718,184,-1,-1,-1,77,272,6,14.3134,14,2,18,18,98,100,71,71,76,81,175,-1,-1,-1,-1,0,0,2,18.19144,7,16,18,18,58,81,144,55,114,38,807,595,812,43,-1,0,234,2,10.6688,13,14,18,18,70,91,80,128,80,102,654,-1,-1,-1,-1,40,234,0,2,3,290,117,105.0,308.0,-0.03
29,14.34968,16,5,18,18,90,113,76,81,95,116,403,-1,-1,-1,-1,88,0,0,24.95356,13,15,18,18,70,94,101,85,93,71,854,267,329,-1,-1,0,234,5,14.43872,14,0,18,18,113,106,66,95,136,46,327,848,179,-1,-1,0,0,6,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,0,0,0,10.67744,13,10,18,18,60,68,86,130,88,103,578,-1,-1,-1,-1,91,270,6,5.52896,16,9,18,18,83,134,106,96,93,76,-1,-1,-1,-1,-1,100,0,0,4,0.91016,17,9,18,18,81,50,81,90,95,46,806,-1,-1,-1,-1,0,0,0,23.5038,0,1,18,18,76,63,83,138,80,83,245,811,-1,-1,-1,0,234,0,15.65824,4,6,18,18,69,118,97,56,97,53,718,184,88,-1,-1,60,272,6,14.3134,14,2,18,18,98,100,71,71,76,81,175,-1,-1,-1,-1,0,0,2,18.19144,7,16,18,18,58,81,144,55,114,38,807,595,812,43,-1,0,234,2,10.6688,13,14,18,18,70,91,80,128,80,102,654,-1,-1,-1,-1,40,234,0,2,9,279,100,117.0,290.0,0.225
