turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
10,3.69136,14,7,18,18,76,70,70,103,111,96,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,84,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,100,0,0,13.27792,15,3,18,18,70,91,70,118,73,111,-1,-1,-1,-1,-1,100,0,0,29.81128,7,9,18,18,58,84,134,50,119,75,-1,-1,-1,-1,-1,100,0,0,8.01116,14,4,18,18,86,96,93,120,106,103,284,741,179,600,-1,0,0,2,1,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,18.01696,2,16,18,18,88,82,113,84,122,40,641,717,600,-1,-1,0,273,2,5.62584,6,5,18,18,83,123,70,58,85,101,389,-1,-1,-1,-1,100,0,0,10.56124,11,9,18,18,78,109,72,84,73,90,-1,-1,-1,-1,-1,100,0,0,22.12308,10,4,18,18,98,102,100,118,92,93,-1,-1,-1,-1,-1,100,0,0,27.46684,14,4,18,18,93,100,106,110,116,60,-1,-1,-1,-1,-1,100,0,0,2,6,484,500,500.0,588.0,0.52
11,3.69136,14,7,18,18,76,70,70,103,111,96,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,726,-1,-1,-1,-1,84,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,100,0,0,13.27792,15,3,18,18,70,91,70,118,73,111,-1,-1,-1,-1,-1,100,0,0,29.81128,7,9,18,18,58,84,134,50,119,75,-1,-1,-1,-1,-1,100,0,0,8.01116,14,4,18,18,86,96,93,120,106,103,284,741,179,600,-1,0,0,2,1,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,18.01696,2,16,18,18,88,82,113,84,122,40,641,717,600,-1,-1,0,273,2,5.62584,6,5,18,18,83,123,70,58,85,101,389,-1,-1,-1,-1,100,0,0,10.56124,11,9,18,18,78,109,72,84,73,90,-1,-1,-1,-1,-1,100,0,0,22.12308,10,4,18,18,98,102,100,118,92,93,-1,-1,-1,-1,-1,100,0,0,27.46684,14,4,18,18,93,100,106,110,116,60,-1,-1,-1,-1,-1,100,0,0,5,6,484,500,500.0,484.0,0.0
12,3.69136,14,7,18,18,76,70,70,103,111,96,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,726,602,-1,-1,-1,67,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,100,0,0,13.27792,15,3,18,18,70,91,70,118,73,111,-1,-1,-1,-1,-1,100,0,0,29.81128,7,9,18,18,58,84,134,50,119,75,-1,-1,-1,-1,-1,100,0,0,8.01116,14,4,18,18,86,96,93,120,106,103,284,741,179,600,-1,0,0,2,1,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,18.01696,2,16,18,18,88,82,113,84,122,40,641,717,600,-1,-1,0,273,2,5.62584,6,5,18,18,83,123,70,58,85,101,389,-1,-1,-1,-1,100,0,0,10.56124,11,9,18,18,78,109,72,84,73,90,-1,-1,-1,-1,-1,100,0,0,22.12308,10,4,18,18,98,102,100,118,92,93,-1,-1,-1,-1,-1,100,0,0,27.46684,14,4,18,18,93,100,106,110,116,60,285,-1,-1,-1,-1,100,0,0,5,1,467,500,500.0,484.0,0.085
13,3.69136,14,7,18,18,76,70,70,103,111,96,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,726,602,432,-1,-1,57,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,100,0,0,13.27792,15,3,18,18,70,91,70,118,73,111,-1,-1,-1,-1,-1,100,0,0,29.81128,7,9,18,18,58,84,134,50,119,75,-1,-1,-1,-1,-1,100,0,0,8.01116,14,4,18,18,86,96,93,120,106,103,284,741,179,600,-1,0,0,2,1,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,18.01696,2,16,18,18,88,82,113,84,122,40,641,717,600,-1,-1,0,273,2,5.62584,6,5,18,18,83,123,70,58,85,101,389,-1,-1,-1,-1,100,0,0,10.56124,11,9,18,18,78,109,72,84,73,90,-1,-1,-1,-1,-1,100,0,0,22.12308,10,4,18,18,98,102,100,118,92,93,-1,-1,-1,-1,-1,100,0,0,27.46684,14,4,18,18,93,100,106,110,116,60,285,-1,-1,-1,-1,100,0,0,5,2,457,500,500.0,467.0,0.05
14,3.69136,14,7,18,18,76,70,70,103,111,96,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,726,602,432,757,-1,49,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,100,0,0,13.27792,15,3,18,18,70,91,70,118,73,111,-1,-1,-1,-1,-1,100,0,0,29.81128,7,9,18,18,58,84,134,50,119,75,-1,-1,-1,-1,-1,100,0,0,8.01116,14,4,18,18,86,96,93,120,106,103,284,741,179,600,-1,0,0,2,1,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,18.01696,2,16,18,18,88,82,113,84,122,40,641,717,600,-1,-1,0,273,2,5.62584,6,5,18,18,83,123,70,58,85,101,389,-1,-1,-1,-1,100,0,0,10.56124,11,9,18,18,78,109,72,84,73,90,-1,-1,-1,-1,-1,100,0,0,22.12308,10,4,18,18,98,102,100,118,92,93,-1,-1,-1,-1,-1,100,0,0,27.46684,14,4,18,18,93,100,106,110,116,60,285,-1,-1,-1,-1,53,0,0,5,3,449,453,500.0,457.0,0.51
15,3.69136,14,7,18,18,76,70,70,103,111,96,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,726,602,432,757,-1,49,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,100,0,0,13.27792,15,3,18,18,70,91,70,118,73,111,-1,-1,-1,-1,-1,100,0,0,29.81128,7,9,18,18,58,84,134,50,119,75,-1,-1,-1,-1,-1,100,0,0,8.01116,14,4,18,18,86,96,93,120,106,103,284,741,179,600,-1,0,0,2,4,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,18.01696,2,16,18,18,88,82,113,84,122,40,641,717,600,-1,-1,0,273,2,5.62584,6,5,18,18,83,123,70,58,85,101,389,-1,-1,-1,-1,100,0,0,10.56124,11,9,18,18,78,109,72,84,73,90,-1,-1,-1,-1,-1,100,0,0,22.12308,10,4,18,18,98,102,100,118,92,93,-1,-1,-1,-1,-1,100,0,0,27.46684,14,4,18,18,93,100,106,110,116,60,285,-1,-1,-1,-1,53,0,0,3,9,449,453,453.0,449.0,0.0
16,3.69136,14,7,18,18,76,70,70,103,111,96,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,726,602,432,757,-1,49,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,100,0,0,13.27792,15,3,18,18,70,91,70,118,73,111,-1,-1,-1,-1,-1,100,0,0,29.81128,7,9,18,18,58,84,134,50,119,75,414,-1,-1,-1,-1,100,0,0,8.01116,14,4,18,18,86,96,93,120,106,103,284,741,179,600,-1,0,0,2,4,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,18.01696,2,16,18,18,88,82,113,84,122,40,641,717,600,-1,-1,0,273,2,5.62584,6,5,18,18,83,123,70,58,85,101,389,-1,-1,-1,-1,100,0,0,10.56124,11,9,18,18,78,109,72,84,73,90,735,-1,-1,-1,-1,85,0,0,22.12308,10,4,18,18,98,102,100,118,92,93,-1,-1,-1,-1,-1,100,0,0,27.46684,14,4,18,18,93,100,106,110,116,60,285,-1,-1,-1,-1,53,0,0,3,9,449,438,453.0,449.0,0.15
17,3.69136,14,7,18,18,76,70,70,103,111,96,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,726,602,432,757,-1,49,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,100,0,0,13.27792,15,3,18,18,70,91,70,118,73,111,-1,-1,-1,-1,-1,100,0,0,29.81128,7,9,18,18,58,84,134,50,119,75,414,433,-1,-1,-1,79,234,0,8.01116,14,4,18,18,86,96,93,120,106,103,284,741,179,600,-1,0,0,2,4,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,18.01696,2,16,18,18,88,82,113,84,122,40,641,717,600,-1,-1,0,273,2,5.62584,6,5,18,18,83,123,70,58,85,101,389,-1,-1,-1,-1,83,0,0,10.56124,11,9,18,18,78,109,72,84,73,90,735,835,-1,-1,-1,85,0,0,22.12308,10,4,18,18,98,102,100,118,92,93,-1,-1,-1,-1,-1,100,0,0,27.46684,14,4,18,18,93,100,106,110,116,60,285,-1,-1,-1,-1,53,0,0,2,1,428,421,438.0,449.0,0.275
18,3.69136,14,7,18,18,76,70,70,103,111,96,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,726,602,432,757,-1,49,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,100,0,0,13.27792,15,3,18,18,70,91,70,118,73,111,-1,-1,-1,-1,-1,100,0,0,29.81128,7,9,18,18,58,84,134,50,119,75,414,433,-1,-1,-1,84,234,0,8.01116,14,4,18,18,86,96,93,120,106,103,284,741,179,600,-1,0,0,2,4,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,18.01696,2,16,18,18,88,82,113,84,122,40,641,717,600,-1,-1,0,273,2,5.62584,6,5,18,18,83,123,70,58,85,101,389,391,-1,-1,-1,83,0,0,10.56124,11,9,18,18,78,109,72,84,73,90,735,835,-1,-1,-1,85,0,0,22.12308,10,4,18,18,98,102,100,118,92,93,-1,-1,-1,-1,-1,100,0,0,27.46684,14,4,18,18,93,100,106,110,116,60,285,-1,-1,-1,-1,53,0,0,2,1,433,421,421.0,428.0,0.025
19,3.69136,14,7,18,18,76,70,70,103,111,96,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,726,602,432,757,-1,49,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,100,0,0,13.27792,15,3,18,18,70,91,70,118,73,111,-1,-1,-1,-1,-1,100,0,0,29.81128,7,9,18,18,58,84,134,50,119,75,414,433,794,-1,-1,31,234,0,8.01116,14,4,18,18,86,96,93,120,106,103,284,741,179,600,-1,0,0,2,4,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,18.01696,2,16,18,18,88,82,113,84,122,40,641,717,600,-1,-1,0,273,2,5.62584,6,5,18,18,83,123,70,58,85,101,389,391,-1,-1,-1,3,0,0,10.56124,11,9,18,18,78,109,72,84,73,90,735,835,-1,-1,-1,85,0,0,22.12308,10,4,18,18,98,102,100,118,92,93,-1,-1,-1,-1,-1,100,0,0,27.46684,14,4,18,18,93,100,106,110,116,60,285,-1,-1,-1,-1,53,0,0,2,2,380,341,421.0,433.0,1.065
20,3.69136,14,7,18,18,76,70,70,103,111,96,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,726,602,432,757,-1,32,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,100,0,0,13.27792,15,3,18,18,70,91,70,118,73,111,-1,-1,-1,-1,-1,100,0,0,29.81128,7,9,18,18,58,84,134,50,119,75,414,433,794,-1,-1,0,234,0,8.01116,14,4,18,18,86,96,93,120,106,103,284,741,179,600,-1,0,0,2,1,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,18.01696,2,16,18,18,88,82,113,84,122,40,641,717,600,-1,-1,0,273,2,5.62584,6,5,18,18,83,123,70,58,85,101,389,391,-1,-1,-1,3,0,0,10.56124,11,9,18,18,78,109,72,84,73,90,735,835,-1,-1,-1,85,0,0,22.12308,10,4,18,18,98,102,100,118,92,93,-1,-1,-1,-1,-1,100,0,0,27.46684,14,4,18,18,93,100,106,110,116,60,285,-1,-1,-1,-1,53,0,0,2,6,332,341,341.0,380.0,0.24
21,3.69136,14,7,18,18,76,70,70,103,111,96,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,726,602,432,757,-1,12,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,100,0,0,13.27792,15,3,18,18,70,91,70,118,73,111,-1,-1,-1,-1,-1,100,0,0,29.81128,7,9,18,18,58,84,134,50,119,75,414,433,794,-1,-1,0,234,0,8.01116,14,4,18,18,86,96,93,120,106,103,284,741,179,600,-1,0,0,2,1,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,18.01696,2,16,18,18,88,82,113,84,122,40,641,717,600,-1,-1,0,273,2,5.62584,6,5,18,18,83,123,70,58,85,101,389,391,-1,-1,-1,3,0,0,10.56124,11,9,18,18,78,109,72,84,73,90,735,835,-1,-1,-1,85,0,0,22.12308,10,4,18,18,98,102,100,118,92,93,-1,-1,-1,-1,-1,100,0,0,27.46684,14,4,18,18,93,100,106,110,116,60,285,-1,-1,-1,-1,53,0,0,2,2,312,341,341.0,332.0,0.1
22,3.69136,14,7,18,18,76,70,70,103,111,96,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,726,602,432,757,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,84,0,0,13.27792,15,3,18,18,70,91,70,118,73,111,-1,-1,-1,-1,-1,100,0,0,29.81128,7,9,18,18,58,84,134,50,119,75,414,433,794,-1,-1,0,234,0,8.01116,14,4,18,18,86,96,93,120,106,103,284,741,179,600,-1,0,0,2,2,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,18.01696,2,16,18,18,88,82,113,84,122,40,641,717,600,-1,-1,0,273,2,5.62584,6,5,18,18,83,123,70,58,85,101,389,391,-1,-1,-1,3,0,0,10.56124,11,9,18,18,78,109,72,84,73,90,735,835,-1,-1,-1,85,0,0,22.12308,10,4,18,18,98,102,100,118,92,93,-1,-1,-1,-1,-1,100,0,0,27.46684,14,4,18,18,93,100,106,110,116,60,285,-1,-1,-1,-1,53,0,0,2,7,284,341,341.0,312.0,0.14
23,3.69136,14,7,18,18,76,70,70,103,111,96,-1,-1,-1,-1,-1,84,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,726,602,432,757,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,0,0,0,13.27792,15,3,18,18,70,91,70,118,73,111,-1,-1,-1,-1,-1,100,0,0,29.81128,7,9,18,18,58,84,134,50,119,75,414,433,794,-1,-1,0,234,0,8.01116,14,4,18,18,86,96,93,120,106,103,284,741,179,600,-1,0,0,2,0,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,18.01696,2,16,18,18,88,82,113,84,122,40,641,717,600,-1,-1,0,273,2,5.62584,6,5,18,18,83,123,70,58,85,101,389,391,192,-1,-1,3,0,0,10.56124,11,9,18,18,78,109,72,84,73,90,735,835,-1,-1,-1,85,0,0,22.12308,10,4,18,18,98,102,100,118,92,93,-1,-1,-1,-1,-1,100,0,0,27.46684,14,4,18,18,93,100,106,110,116,60,285,-1,-1,-1,-1,53,0,0,2,5,184,341,341.0,284.0,0.5
24,3.69136,14,7,18,18,76,70,70,103,111,96,-1,-1,-1,-1,-1,0,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,726,602,432,757,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,0,0,0,13.27792,15,3,18,18,70,91,70,118,73,111,-1,-1,-1,-1,-1,100,0,0,29.81128,7,9,18,18,58,84,134,50,119,75,414,433,794,-1,-1,0,234,0,8.01116,14,4,18,18,86,96,93,120,106,103,284,741,179,600,-1,0,0,2,0,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,18.01696,2,16,18,18,88,82,113,84,122,40,641,717,600,-1,-1,0,273,2,5.62584,6,5,18,18,83,123,70,58,85,101,389,391,192,-1,-1,3,0,0,10.56124,11,9,18,18,78,109,72,84,73,90,735,835,-1,-1,-1,85,0,0,22.12308,10,4,18,18,98,102,100,118,92,93,-1,-1,-1,-1,-1,100,0,0,27.46684,14,4,18,18,93,100,106,110,116,60,285,-1,-1,-1,-1,53,0,0,2,5,100,341,341.0,184.0,0.42
