turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
10,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,90,-1,-1,-1,-1,0,0,0,23.11012,11,13,18,18,70,79,66,91,63,109,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,100,272,6,7.9408,1,10,18,18,110,105,95,93,83,100,632,403,-1,-1,-1,94,0,6,10.04236,15,7,18,18,88,81,73,110,100,99,193,-1,-1,-1,-1,37,234,0,4,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,17,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,0,540,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,856,528,806,-1,-1,65,0,2,5,1,431,382,396.0,437.0,0.17
11,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,273,2,8.6546,14,16,18,18,95,130,98,71,83,77,90,-1,-1,-1,-1,0,0,0,23.11012,11,13,18,18,70,79,66,91,63,109,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,100,272,6,7.9408,1,10,18,18,110,105,95,93,83,100,632,403,-1,-1,-1,94,0,6,10.04236,15,7,18,18,88,81,73,110,100,99,193,-1,-1,-1,-1,37,234,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,17,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,0,540,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,856,528,806,-1,-1,58,0,2,5,5,431,375,382.0,431.0,0.07
12,2.6924,0,9,18,18,90,132,88,83,83,71,767,-1,-1,-1,-1,94,273,2,8.6546,14,16,18,18,95,130,98,71,83,77,90,-1,-1,-1,-1,0,0,0,23.11012,11,13,18,18,70,79,66,91,63,109,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,100,272,6,7.9408,1,10,18,18,110,105,95,93,83,100,632,403,-1,-1,-1,94,0,6,10.04236,15,7,18,18,88,81,73,110,100,99,193,-1,-1,-1,-1,37,234,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,17,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,0,540,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,856,528,806,567,-1,94,0,2,5,5,425,411,375.0,431.0,-0.33
13,2.6924,0,9,18,18,90,132,88,83,83,71,767,217,-1,-1,-1,88,273,2,8.6546,14,16,18,18,95,130,98,71,83,77,90,-1,-1,-1,-1,0,0,0,23.11012,11,13,18,18,70,79,66,91,63,109,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,100,272,6,7.9408,1,10,18,18,110,105,95,93,83,100,632,403,-1,-1,-1,94,0,6,10.04236,15,7,18,18,88,81,73,110,100,99,193,-1,-1,-1,-1,37,234,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,17,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,0,540,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,856,528,806,567,-1,0,0,2,2,1,419,317,411.0,425.0,0.97
14,2.6924,0,9,18,18,90,132,88,83,83,71,767,217,194,-1,-1,18,273,2,8.6546,14,16,18,18,95,130,98,71,83,77,90,-1,-1,-1,-1,0,0,0,23.11012,11,13,18,18,70,79,66,91,63,109,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,100,272,6,7.9408,1,10,18,18,110,105,95,93,83,100,632,403,-1,-1,-1,94,0,6,10.04236,15,7,18,18,88,81,73,110,100,99,193,-1,-1,-1,-1,37,234,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,17,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,-1,-1,-1,-1,0,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,0,540,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,856,528,806,567,-1,0,0,2,4,2,349,217,317.0,419.0,1.35
15,2.6924,0,9,18,18,90,132,88,83,83,71,767,217,194,-1,-1,11,273,2,8.6546,14,16,18,18,95,130,98,71,83,77,90,-1,-1,-1,-1,0,0,0,23.11012,11,13,18,18,70,79,66,91,63,109,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,100,272,6,7.9408,1,10,18,18,110,105,95,93,83,100,632,403,-1,-1,-1,94,0,6,10.04236,15,7,18,18,88,81,73,110,100,99,193,-1,-1,-1,-1,37,234,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,17,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,-1,-1,-1,-1,0,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,0,540,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,0,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,856,528,806,567,-1,0,0,2,0,3,342,117,217.0,349.0,1.035
16,2.6924,0,9,18,18,90,132,88,83,83,71,767,217,194,-1,-1,0,273,2,8.6546,14,16,18,18,95,130,98,71,83,77,90,-1,-1,-1,-1,0,0,0,23.11012,11,13,18,18,70,79,66,91,63,109,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,100,272,6,7.9408,1,10,18,18,110,105,95,93,83,100,632,403,-1,-1,-1,94,0,6,10.04236,15,7,18,18,88,81,73,110,100,99,193,-1,-1,-1,-1,37,234,0,4,4.01108,0,9,18,18,63,96,76,46,60,60,217,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,17,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,-1,-1,-1,-1,0,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,0,540,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,0,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,856,528,806,567,-1,0,0,2,0,9,331,117,117.0,342.0,0.055
17,2.6924,0,9,18,18,90,132,88,83,83,71,767,217,194,-1,-1,0,273,2,8.6546,14,16,18,18,95,130,98,71,83,77,90,-1,-1,-1,-1,0,0,0,23.11012,11,13,18,18,70,79,66,91,63,109,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,100,272,6,7.9408,1,10,18,18,110,105,95,93,83,100,632,403,-1,-1,-1,0,0,6,10.04236,15,7,18,18,88,81,73,110,100,99,193,-1,-1,-1,-1,37,234,0,3,4.01108,0,9,18,18,63,96,76,46,60,60,217,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,17,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,-1,-1,-1,-1,0,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,0,540,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,0,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,856,528,806,567,-1,0,0,2,0,8,237,117,117.0,331.0,0.47
18,2.6924,0,9,18,18,90,132,88,83,83,71,767,217,194,-1,-1,0,273,2,8.6546,14,16,18,18,95,130,98,71,83,77,90,-1,-1,-1,-1,0,0,0,23.11012,11,13,18,18,70,79,66,91,63,109,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,-1,-1,-1,-1,35,272,6,7.9408,1,10,18,18,110,105,95,93,83,100,632,403,-1,-1,-1,0,0,6,10.04236,15,7,18,18,88,81,73,110,100,99,193,-1,-1,-1,-1,37,234,0,3,4.01108,0,9,18,18,63,96,76,46,60,60,217,-1,-1,-1,-1,60,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,17,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,-1,-1,-1,-1,0,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,0,540,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,0,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,856,528,806,567,-1,0,0,2,0,1,172,77,117.0,237.0,0.725
19,2.6924,0,9,18,18,90,132,88,83,83,71,767,217,194,-1,-1,0,273,2,8.6546,14,16,18,18,95,130,98,71,83,77,90,-1,-1,-1,-1,0,0,0,23.11012,11,13,18,18,70,79,66,91,63,109,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,567,-1,-1,-1,47,272,6,7.9408,1,10,18,18,110,105,95,93,83,100,632,403,-1,-1,-1,0,0,6,10.04236,15,7,18,18,88,81,73,110,100,99,193,-1,-1,-1,-1,37,234,0,3,4.01108,0,9,18,18,63,96,76,46,60,60,217,-1,-1,-1,-1,60,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,17,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,-1,-1,-1,-1,0,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,0,540,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,0,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,856,528,806,567,-1,0,0,2,0,1,184,77,77.0,172.0,0.06
20,2.6924,0,9,18,18,90,132,88,83,83,71,767,217,194,-1,-1,0,273,2,8.6546,14,16,18,18,95,130,98,71,83,77,90,-1,-1,-1,-1,0,0,0,23.11012,11,13,18,18,70,79,66,91,63,109,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,567,-1,-1,-1,0,272,6,7.9408,1,10,18,18,110,105,95,93,83,100,632,403,-1,-1,-1,0,0,6,10.04236,15,7,18,18,88,81,73,110,100,99,193,-1,-1,-1,-1,37,234,0,2,4.01108,0,9,18,18,63,96,76,46,60,60,217,-1,-1,-1,-1,60,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,17,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,-1,-1,-1,-1,0,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,0,540,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,0,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,856,528,806,567,-1,0,0,2,0,7,137,77,77.0,184.0,0.235
21,2.6924,0,9,18,18,90,132,88,83,83,71,767,217,194,-1,-1,0,273,2,8.6546,14,16,18,18,95,130,98,71,83,77,90,-1,-1,-1,-1,0,0,0,23.11012,11,13,18,18,70,79,66,91,63,109,806,-1,-1,-1,-1,69,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,567,-1,-1,-1,0,272,6,7.9408,1,10,18,18,110,105,95,93,83,100,632,403,-1,-1,-1,0,0,6,10.04236,15,7,18,18,88,81,73,110,100,99,193,-1,-1,-1,-1,37,234,0,2,4.01108,0,9,18,18,63,96,76,46,60,60,217,20,-1,-1,-1,54,0,6,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,17,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,-1,-1,-1,-1,0,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,0,540,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,0,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,856,528,806,567,-1,0,0,2,0,7,106,71,77.0,137.0,0.215
22,2.6924,0,9,18,18,90,132,88,83,83,71,767,217,194,-1,-1,0,273,2,8.6546,14,16,18,18,95,130,98,71,83,77,90,-1,-1,-1,-1,0,0,0,23.11012,11,13,18,18,70,79,66,91,63,109,806,152,-1,-1,-1,39,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,567,-1,-1,-1,0,272,6,7.9408,1,10,18,18,110,105,95,93,83,100,632,403,-1,-1,-1,0,0,6,10.04236,15,7,18,18,88,81,73,110,100,99,193,-1,-1,-1,-1,37,234,0,2,4.01108,0,9,18,18,63,96,76,46,60,60,217,20,-1,-1,-1,42,0,6,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,17,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,-1,-1,-1,-1,0,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,0,540,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,0,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,856,528,806,567,-1,0,0,2,0,1,76,59,71.0,106.0,0.27
23,2.6924,0,9,18,18,90,132,88,83,83,71,767,217,194,-1,-1,0,273,2,8.6546,14,16,18,18,95,130,98,71,83,77,90,-1,-1,-1,-1,0,0,0,23.11012,11,13,18,18,70,79,66,91,63,109,806,152,735,-1,-1,6,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,567,-1,-1,-1,0,272,6,7.9408,1,10,18,18,110,105,95,93,83,100,632,403,-1,-1,-1,0,0,6,10.04236,15,7,18,18,88,81,73,110,100,99,193,-1,-1,-1,-1,37,234,0,2,4.01108,0,9,18,18,63,96,76,46,60,60,217,20,-1,-1,-1,24,0,6,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,17,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,-1,-1,-1,-1,0,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,0,540,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,0,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,856,528,806,567,-1,0,0,2,0,2,43,41,59.0,76.0,0.345
24,2.6924,0,9,18,18,90,132,88,83,83,71,767,217,194,-1,-1,0,273,2,8.6546,14,16,18,18,95,130,98,71,83,77,90,-1,-1,-1,-1,0,0,0,23.11012,11,13,18,18,70,79,66,91,63,109,806,152,735,-1,-1,0,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,567,-1,-1,-1,0,272,6,7.9408,1,10,18,18,110,105,95,93,83,100,632,403,-1,-1,-1,0,0,6,10.04236,15,7,18,18,88,81,73,110,100,99,193,-1,-1,-1,-1,37,234,0,5,4.01108,0,9,18,18,63,96,76,46,60,60,217,20,-1,-1,-1,0,0,6,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,17,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,-1,-1,-1,-1,0,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,0,540,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,0,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,856,528,806,567,-1,0,0,2,1,10,37,17,41.0,43.0,0.27
25,2.6924,0,9,18,18,90,132,88,83,83,71,767,217,194,-1,-1,0,273,2,8.6546,14,16,18,18,95,130,98,71,83,77,90,-1,-1,-1,-1,0,0,0,23.11012,11,13,18,18,70,79,66,91,63,109,806,152,735,-1,-1,0,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,414,567,-1,-1,-1,0,272,6,7.9408,1,10,18,18,110,105,95,93,83,100,632,403,-1,-1,-1,0,0,6,10.04236,15,7,18,18,88,81,73,110,100,99,193,-1,-1,-1,-1,37,234,0,5,4.01108,0,9,18,18,63,96,76,46,60,60,217,20,-1,-1,-1,0,0,6,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,0,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,-1,-1,-1,-1,0,0,0,8.6546,14,16,18,18,95,130,98,71,83,77,767,90,-1,-1,-1,0,540,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,0,0,0,17.90932,15,2,18,18,80,63,138,57,134,45,856,528,806,567,-1,0,0,2,1,1,37,0,17.0,37.0,0.17
