turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type
0,11.707,2,8,18,18,82,126,76,90,55,99,-1,-1,-1,-1,-1,100,0,0,31.44412,13,9,18,18,71,107,116,72,85,76,-1,-1,-1,-1,-1,100,0,0,5.77064,2,2,18,18,91,65,77,93,108,77,-1,-1,-1,-1,-1,100,0,0,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,13.25776,2,15,18,18,98,114,83,78,83,81,-1,-1,-1,-1,-1,100,0,0,33.95396,14,3,18,18,83,84,63,105,120,98,-1,-1,-1,-1,-1,100,0,0,2,16.93952,2,2,18,18,100,61,120,68,98,45,-1,-1,-1,-1,-1,100,0,0,2.3292,2,8,18,18,96,98,96,95,83,50,-1,-1,-1,-1,-1,100,0,0,8.0704,7,4,18,18,90,96,110,83,70,76,-1,-1,-1,-1,-1,100,0,0,2.69512,14,0,18,18,90,131,81,91,91,63,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,-1,-1,-1,-1,-1,100,0,0,5,7,passive
1,11.707,2,8,18,18,82,126,76,90,55,99,-1,-1,-1,-1,-1,100,0,0,31.44412,13,9,18,18,71,107,116,72,85,76,-1,-1,-1,-1,-1,100,0,0,5.77064,2,2,18,18,91,65,77,93,108,77,641,-1,-1,-1,-1,94,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,13.25776,2,15,18,18,98,114,83,78,83,81,-1,-1,-1,-1,-1,100,0,0,33.95396,14,3,18,18,83,84,63,105,120,98,-1,-1,-1,-1,-1,100,0,0,2,16.93952,2,2,18,18,100,61,120,68,98,45,-1,-1,-1,-1,-1,100,0,0,2.3292,2,8,18,18,96,98,96,95,83,50,-1,-1,-1,-1,-1,100,0,0,8.0704,7,4,18,18,90,96,110,83,70,76,-1,-1,-1,-1,-1,100,0,0,2.69512,14,0,18,18,90,131,81,91,91,63,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,806,-1,-1,-1,-1,71,281,0,5,7,passive
2,11.707,2,8,18,18,82,126,76,90,55,99,-1,-1,-1,-1,-1,100,0,0,31.44412,13,9,18,18,71,107,116,72,85,76,-1,-1,-1,-1,-1,100,0,0,5.77064,2,2,18,18,91,65,77,93,108,77,641,432,-1,-1,-1,79,234,6,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,100,0,0,13.25776,2,15,18,18,98,114,83,78,83,81,-1,-1,-1,-1,-1,100,0,0,33.95396,14,3,18,18,83,84,63,105,120,98,-1,-1,-1,-1,-1,100,0,0,2,16.93952,2,2,18,18,100,61,120,68,98,45,-1,-1,-1,-1,-1,100,0,0,2.3292,2,8,18,18,96,98,96,95,83,50,-1,-1,-1,-1,-1,100,0,0,8.0704,7,4,18,18,90,96,110,83,70,76,-1,-1,-1,-1,-1,100,0,0,2.69512,14,0,18,18,90,131,81,91,91,63,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,806,835,-1,-1,-1,71,281,0,2,1,passive
3,11.707,2,8,18,18,82,126,76,90,55,99,-1,-1,-1,-1,-1,100,0,0,31.44412,13,9,18,18,71,107,116,72,85,76,-1,-1,-1,-1,-1,100,0,0,5.77064,2,2,18,18,91,65,77,93,108,77,641,432,-1,-1,-1,79,234,6,22.9866,3,1,18,18,66,60,98,135,90,73,-1,-1,-1,-1,-1,69,0,0,13.25776,2,15,18,18,98,114,83,78,83,81,-1,-1,-1,-1,-1,100,0,0,33.95396,14,3,18,18,83,84,63,105,120,98,-1,-1,-1,-1,-1,100,0,0,3,16.93952,2,2,18,18,100,61,120,68,98,45,-1,-1,-1,-1,-1,100,0,0,2.3292,2,8,18,18,96,98,96,95,83,50,-1,-1,-1,-1,-1,100,0,0,8.0704,7,4,18,18,90,96,110,83,70,76,563,-1,-1,-1,-1,100,0,0,2.69512,14,0,18,18,90,131,81,91,91,63,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,806,835,-1,-1,-1,71,281,0,2,8,passive
4,11.707,2,8,18,18,82,126,76,90,55,99,-1,-1,-1,-1,-1,100,0,0,31.44412,13,9,18,18,71,107,116,72,85,76,-1,-1,-1,-1,-1,100,0,0,5.77064,2,2,18,18,91,65,77,93,108,77,641,432,-1,-1,-1,79,234,6,22.9866,3,1,18,18,66,60,98,135,90,73,835,-1,-1,-1,-1,69,0,0,13.25776,2,15,18,18,98,114,83,78,83,81,-1,-1,-1,-1,-1,100,0,0,33.95396,14,3,18,18,83,84,63,105,120,98,-1,-1,-1,-1,-1,100,0,0,3,16.93952,2,2,18,18,100,61,120,68,98,45,-1,-1,-1,-1,-1,100,0,0,2.3292,2,8,18,18,96,98,96,95,83,50,-1,-1,-1,-1,-1,100,0,0,8.0704,7,4,18,18,90,96,110,83,70,76,563,-1,-1,-1,-1,100,0,0,2.69512,14,0,18,18,90,131,81,91,91,63,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,806,835,-1,-1,-1,71,281,0,1,8,passive
5,11.707,2,8,18,18,82,126,76,90,55,99,-1,-1,-1,-1,-1,100,0,0,31.44412,13,9,18,18,71,107,116,72,85,76,-1,-1,-1,-1,-1,100,0,0,5.77064,2,2,18,18,91,65,77,93,108,77,641,432,-1,-1,-1,79,234,6,22.9866,3,1,18,18,66,60,98,135,90,73,835,-1,-1,-1,-1,69,0,0,13.25776,2,15,18,18,98,114,83,78,83,81,-1,-1,-1,-1,-1,85,0,0,33.95396,14,3,18,18,83,84,63,105,120,98,-1,-1,-1,-1,-1,100,0,0,4,16.93952,2,2,18,18,100,61,120,68,98,45,-1,-1,-1,-1,-1,100,0,0,2.3292,2,8,18,18,96,98,96,95,83,50,23,-1,-1,-1,-1,100,0,0,8.0704,7,4,18,18,90,96,110,83,70,76,563,-1,-1,-1,-1,100,0,0,2.69512,14,0,18,18,90,131,81,91,91,63,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,806,835,-1,-1,-1,71,281,0,1,9,passive
6,11.707,2,8,18,18,82,126,76,90,55,99,-1,-1,-1,-1,-1,100,0,0,31.44412,13,9,18,18,71,107,116,72,85,76,-1,-1,-1,-1,-1,100,0,0,5.77064,2,2,18,18,91,65,77,93,108,77,641,432,-1,-1,-1,79,234,6,22.9866,3,1,18,18,66,60,98,135,90,73,835,-1,-1,-1,-1,69,0,0,13.25776,2,15,18,18,98,114,83,78,83,81,414,-1,-1,-1,-1,62,0,0,33.95396,14,3,18,18,83,84,63,105,120,98,-1,-1,-1,-1,-1,100,0,0,4,16.93952,2,2,18,18,100,61,120,68,98,45,-1,-1,-1,-1,-1,100,0,0,2.3292,2,8,18,18,96,98,96,95,83,50,23,194,-1,-1,-1,53,0,0,8.0704,7,4,18,18,90,96,110,83,70,76,563,-1,-1,-1,-1,100,0,0,2.69512,14,0,18,18,90,131,81,91,91,63,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,806,835,-1,-1,-1,71,281,0,1,9,passive
7,11.707,2,8,18,18,82,126,76,90,55,99,-1,-1,-1,-1,-1,100,0,0,31.44412,13,9,18,18,71,107,116,72,85,76,-1,-1,-1,-1,-1,100,0,0,5.77064,2,2,18,18,91,65,77,93,108,77,641,432,-1,-1,-1,79,234,6,22.9866,3,1,18,18,66,60,98,135,90,73,835,-1,-1,-1,-1,69,0,0,13.25776,2,15,18,18,98,114,83,78,83,81,414,388,-1,-1,-1,38,0,0,33.95396,14,3,18,18,83,84,63,105,120,98,-1,-1,-1,-1,-1,100,0,0,4,16.93952,2,2,18,18,100,61,120,68,98,45,-1,-1,-1,-1,-1,100,0,0,2.3292,2,8,18,18,96,98,96,95,83,50,23,194,-1,-1,-1,30,0,0,8.0704,7,4,18,18,90,96,110,83,70,76,563,-1,-1,-1,-1,100,0,0,2.69512,14,0,18,18,90,131,81,91,91,63,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,806,835,-1,-1,-1,71,281,0,1,1,aggressive
8,11.707,2,8,18,18,82,126,76,90,55,99,-1,-1,-1,-1,-1,100,0,0,31.44412,13,9,18,18,71,107,116,72,85,76,-1,-1,-1,-1,-1,100,0,0,5.77064,2,2,18,18,91,65,77,93,108,77,641,432,-1,-1,-1,79,234,6,22.9866,3,1,18,18,66,60,98,135,90,73,835,-1,-1,-1,-1,69,0,0,13.25776,2,15,18,18,98,114,83,78,83,81,414,388,-1,-1,-1,38,0,0,33.95396,14,3,18,18,83,84,63,105,120,98,-1,-1,-1,-1,-1,100,0,0,4,16.93952,2,2,18,18,100,61,120,68,98,45,-1,-1,-1,-1,-1,100,0,0,2.3292,2,8,18,18,96,98,96,95,83,50,23,194,-1,-1,-1,30,0,0,8.0704,7,4,18,18,90,96,110,83,70,76,563,-1,-1,-1,-1,100,0,0,2.69512,14,0,18,18,90,131,81,91,91,63,-1,-1,-1,-1,-1,36,0,3,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,806,835,-1,-1,-1,71,281,0,3,2,aggressive
9,11.707,2,8,18,18,82,126,76,90,55,99,-1,-1,-1,-1,-1,100,0,0,31.44412,13,9,18,18,71,107,116,72,85,76,-1,-1,-1,-1,-1,100,0,0,5.77064,2,2,18,18,91,65,77,93,108,77,641,432,-1,-1,-1,79,234,6,22.9866,3,1,18,18,66,60,98,135,90,73,835,-1,-1,-1,-1,69,0,0,13.25776,2,15,18,18,98,114,83,78,83,81,414,388,-1,-1,-1,38,0,0,33.95396,14,3,18,18,83,84,63,105,120,98,-1,-1,-1,-1,-1,100,0,0,4,16.93952,2,2,18,18,100,61,120,68,98,45,-1,-1,-1,-1,-1,100,0,0,2.3292,2,8,18,18,96,98,96,95,83,50,23,194,-1,-1,-1,30,0,0,8.0704,7,4,18,18,90,96,110,83,70,76,563,-1,-1,-1,-1,100,0,0,2.69512,14,0,18,18,90,131,81,91,91,63,-1,-1,-1,-1,-1,0,0,3,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,18.19144,7,16,18,18,58,81,144,55,114,38,806,835,-1,-1,-1,71,281,0,4,2,aggressive
