turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type
10.29464,17,13,18,18,83,96,124,78,76,43,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,10.74152,8,8,18,18,83,105,101,58,80,71,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.45956,6,5,18,18,56,120,61,38,101,112,-1,-1,-1,-1,-1,100,0,0,1,17.2236,4,16,18,18,90,80,118,116,63,56,-1,-1,-1,-1,-1,100,0,0,4.5352,3,14,18,18,86,96,81,110,86,100,-1,-1,-1,-1,-1,100,0,0,1874660.55824,1,2,4,18,302,109,105,111,101,108,95,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,3.151,16,9,18,18,71,86,100,50,73,110,-1,-1,-1,-1,-1,100,0,0,6.85188,6,13,18,18,48,101,116,45,118,55,-1,-1,-1,-1,-1,100,0,0,0,6,passive
10.29464,17,13,18,18,83,96,124,78,76,43,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,237,-1,-1,-1,-1,75,0,0,10.74152,8,8,18,18,83,105,101,58,80,71,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.45956,6,5,18,18,56,120,61,38,101,112,-1,-1,-1,-1,-1,100,0,0,1,17.2236,4,16,18,18,90,80,118,116,63,56,414,-1,-1,-1,-1,5,0,0,4.5352,3,14,18,18,86,96,81,110,86,100,-1,-1,-1,-1,-1,100,0,0,1874660.55824,1,2,4,18,302,109,105,111,101,108,95,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,3.151,16,9,18,18,71,86,100,50,73,110,-1,-1,-1,-1,-1,100,0,0,6.85188,6,13,18,18,48,101,116,45,118,55,-1,-1,-1,-1,-1,100,0,0,0,6,passive
10.29464,17,13,18,18,83,96,124,78,76,43,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,237,-1,-1,-1,-1,75,0,0,10.74152,8,8,18,18,83,105,101,58,80,71,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.45956,6,5,18,18,56,120,61,38,101,112,-1,-1,-1,-1,-1,100,0,0,1,17.2236,4,16,18,18,90,80,118,116,63,56,414,-1,-1,-1,-1,5,0,0,4.5352,3,14,18,18,86,96,81,110,86,100,-1,-1,-1,-1,-1,100,0,0,1874660.55824,1,2,4,18,302,109,105,111,101,108,95,-1,-1,-1,-1,-1,88,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,3.151,16,9,18,18,71,86,100,50,73,110,-1,-1,-1,-1,-1,100,0,0,6.85188,6,13,18,18,48,101,116,45,118,55,-1,-1,-1,-1,-1,100,0,0,2,1,unknown
10.29464,17,13,18,18,83,96,124,78,76,43,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,237,194,-1,-1,-1,28,0,0,10.74152,8,8,18,18,83,105,101,58,80,71,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.45956,6,5,18,18,56,120,61,38,101,112,-1,-1,-1,-1,-1,100,0,0,1,17.2236,4,16,18,18,90,80,118,116,63,56,414,-1,-1,-1,-1,5,0,0,4.5352,3,14,18,18,86,96,81,110,86,100,-1,-1,-1,-1,-1,100,0,0,1874660.55824,1,2,4,18,302,109,105,111,101,108,95,384,-1,-1,-1,-1,53,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,3.151,16,9,18,18,71,86,100,50,73,110,-1,-1,-1,-1,-1,100,0,0,6.85188,6,13,18,18,48,101,116,45,118,55,-1,-1,-1,-1,-1,100,0,0,2,1,unknown
10.29464,17,13,18,18,83,96,124,78,76,43,-1,-1,-1,-1,-1,74,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,237,194,-1,-1,-1,28,0,0,10.74152,8,8,18,18,83,105,101,58,80,71,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.45956,6,5,18,18,56,120,61,38,101,112,-1,-1,-1,-1,-1,100,0,0,0,17.2236,4,16,18,18,90,80,118,116,63,56,414,-1,-1,-1,-1,5,0,0,4.5352,3,14,18,18,86,96,81,110,86,100,-1,-1,-1,-1,-1,100,0,0,1874660.55824,1,2,4,18,302,109,105,111,101,108,95,384,-1,-1,-1,-1,53,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,3.151,16,9,18,18,71,86,100,50,73,110,-1,-1,-1,-1,-1,100,0,0,6.85188,6,13,18,18,48,101,116,45,118,55,-1,-1,-1,-1,-1,100,0,0,2,5,passive
10.29464,17,13,18,18,83,96,124,78,76,43,675,-1,-1,-1,-1,74,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,237,194,-1,-1,-1,28,0,0,10.74152,8,8,18,18,83,105,101,58,80,71,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.45956,6,5,18,18,56,120,61,38,101,112,-1,-1,-1,-1,-1,100,0,0,0,17.2236,4,16,18,18,90,80,118,116,63,56,414,-1,-1,-1,-1,5,0,1,4.5352,3,14,18,18,86,96,81,110,86,100,-1,-1,-1,-1,-1,100,0,0,1874660.55824,1,2,4,18,302,109,105,111,101,108,95,384,-1,-1,-1,-1,53,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,3.151,16,9,18,18,71,86,100,50,73,110,-1,-1,-1,-1,-1,100,0,0,6.85188,6,13,18,18,48,101,116,45,118,55,-1,-1,-1,-1,-1,100,0,0,0,5,passive
10.29464,17,13,18,18,83,96,124,78,76,43,675,649,-1,-1,-1,74,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,237,194,-1,-1,-1,28,0,0,10.74152,8,8,18,18,83,105,101,58,80,71,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.45956,6,5,18,18,56,120,61,38,101,112,-1,-1,-1,-1,-1,100,0,0,0,17.2236,4,16,18,18,90,80,118,116,63,56,414,-1,-1,-1,-1,5,0,1,4.5352,3,14,18,18,86,96,81,110,86,100,-1,-1,-1,-1,-1,100,0,0,1874660.55824,1,2,4,18,302,109,105,111,101,108,95,384,-1,-1,-1,-1,53,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,3.151,16,9,18,18,71,86,100,50,73,110,-1,-1,-1,-1,-1,76,0,0,6.85188,6,13,18,18,48,101,116,45,118,55,-1,-1,-1,-1,-1,100,0,0,4,1,unknown
10.29464,17,13,18,18,83,96,124,78,76,43,675,649,-1,-1,-1,74,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,237,194,-1,-1,-1,28,0,0,10.74152,8,8,18,18,83,105,101,58,80,71,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.45956,6,5,18,18,56,120,61,38,101,112,-1,-1,-1,-1,-1,100,0,0,0,17.2236,4,16,18,18,90,80,118,116,63,56,414,-1,-1,-1,-1,5,0,1,4.5352,3,14,18,18,86,96,81,110,86,100,-1,-1,-1,-1,-1,100,0,0,1874660.55824,1,2,4,18,302,109,105,111,101,108,95,384,-1,-1,-1,-1,53,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,3.151,16,9,18,18,71,86,100,50,73,110,729,-1,-1,-1,-1,76,0,0,6.85188,6,13,18,18,48,101,116,45,118,55,-1,-1,-1,-1,-1,100,0,0,4,1,unknown
10.29464,17,13,18,18,83,96,124,78,76,43,675,649,95,-1,-1,72,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,237,194,-1,-1,-1,28,0,0,10.74152,8,8,18,18,83,105,101,58,80,71,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.45956,6,5,18,18,56,120,61,38,101,112,-1,-1,-1,-1,-1,100,0,0,0,17.2236,4,16,18,18,90,80,118,116,63,56,414,-1,-1,-1,-1,5,0,1,4.5352,3,14,18,18,86,96,81,110,86,100,-1,-1,-1,-1,-1,100,0,0,1874660.55824,1,2,4,18,302,109,105,111,101,108,95,384,-1,-1,-1,-1,53,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,3.151,16,9,18,18,71,86,100,50,73,110,729,825,-1,-1,-1,76,0,0,6.85188,6,13,18,18,48,101,116,45,118,55,-1,-1,-1,-1,-1,100,0,0,1,2,unknown
10.29464,17,13,18,18,83,96,124,78,76,43,675,649,95,486,-1,72,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,237,194,-1,-1,-1,28,0,0,10.74152,8,8,18,18,83,105,101,58,80,71,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.45956,6,5,18,18,56,120,61,38,101,112,-1,-1,-1,-1,-1,100,0,0,0,17.2236,4,16,18,18,90,80,118,116,63,56,414,-1,-1,-1,-1,5,0,1,4.5352,3,14,18,18,86,96,81,110,86,100,175,-1,-1,-1,-1,0,0,0,1874660.55824,1,2,4,18,302,109,105,111,101,108,95,384,-1,-1,-1,-1,53,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,3.151,16,9,18,18,71,86,100,50,73,110,729,825,-1,-1,-1,76,0,0,6.85188,6,13,18,18,48,101,116,45,118,55,-1,-1,-1,-1,-1,100,0,0,2,3,unknown
