turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
10,6.87112,11,9,18,18,78,133,86,73,80,88,-1,-1,-1,-1,-1,100,0,0,0.87256,2,1,18,18,85,108,73,66,93,97,752,-1,-1,-1,-1,76,0,0,15.69916,15,0,18,18,71,106,65,50,78,118,221,-1,-1,-1,-1,100,0,0,4.40884,0,9,18,18,99,84,83,89,91,83,-1,-1,-1,-1,-1,100,0,0,0.37836,2,9,18,18,112,84,78,93,91,86,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,247,489,-1,-1,-1,100,0,0,1,9.91672,0,16,18,18,86,73,111,70,76,73,473,-1,-1,-1,-1,100,0,0,10.00144,0,4,18,18,96,93,118,63,63,66,-1,-1,-1,-1,-1,100,0,0,6.91696,0,4,18,18,92,80,99,53,82,62,-1,-1,-1,-1,-1,100,0,0,2.25496,0,7,18,18,83,70,75,70,71,106,-1,-1,-1,-1,-1,100,0,0,15.39044,0,14,18,18,94,96,95,68,76,98,-1,-1,-1,-1,-1,100,0,0,4.66576,0,18,18,18,95,80,105,40,70,100,-1,-1,-1,-1,-1,100,0,0,0,6,576,600
11,6.87112,11,9,18,18,78,133,86,73,80,88,-1,-1,-1,-1,-1,100,0,0,0.87256,2,1,18,18,85,108,73,66,93,97,752,175,-1,-1,-1,76,0,0,15.69916,15,0,18,18,71,106,65,50,78,118,221,-1,-1,-1,-1,100,0,0,4.40884,0,9,18,18,99,84,83,89,91,83,-1,-1,-1,-1,-1,100,0,0,0.37836,2,9,18,18,112,84,78,93,91,86,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,247,489,-1,-1,-1,100,0,0,1,9.91672,0,16,18,18,86,73,111,70,76,73,473,-1,-1,-1,-1,100,0,0,10.00144,0,4,18,18,96,93,118,63,63,66,-1,-1,-1,-1,-1,100,0,0,6.91696,0,4,18,18,92,80,99,53,82,62,-1,-1,-1,-1,-1,100,0,0,2.25496,0,7,18,18,83,70,75,70,71,106,-1,-1,-1,-1,-1,100,0,0,15.39044,0,14,18,18,94,96,95,68,76,98,-1,-1,-1,-1,-1,100,0,0,4.66576,0,18,18,18,95,80,105,40,70,100,-1,-1,-1,-1,-1,100,0,0,0,1,576,600
12,6.87112,11,9,18,18,78,133,86,73,80,88,-1,-1,-1,-1,-1,100,0,0,0.87256,2,1,18,18,85,108,73,66,93,97,752,175,-1,-1,-1,76,0,0,15.69916,15,0,18,18,71,106,65,50,78,118,221,-1,-1,-1,-1,100,0,0,4.40884,0,9,18,18,99,84,83,89,91,83,-1,-1,-1,-1,-1,100,0,0,0.37836,2,9,18,18,112,84,78,93,91,86,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,247,489,-1,-1,-1,100,0,0,1,9.91672,0,16,18,18,86,73,111,70,76,73,473,-1,-1,-1,-1,100,0,0,10.00144,0,4,18,18,96,93,118,63,63,66,-1,-1,-1,-1,-1,100,0,0,6.91696,0,4,18,18,92,80,99,53,82,62,-1,-1,-1,-1,-1,100,0,0,2.25496,0,7,18,18,83,70,75,70,71,106,-1,-1,-1,-1,-1,100,0,0,15.39044,0,14,18,18,94,96,95,68,76,98,-1,-1,-1,-1,-1,100,0,0,4.66576,0,18,18,18,95,80,105,40,70,100,-1,-1,-1,-1,-1,100,0,0,0,2,576,600
13,6.87112,11,9,18,18,78,133,86,73,80,88,-1,-1,-1,-1,-1,100,0,0,0.87256,2,1,18,18,85,108,73,66,93,97,752,175,-1,-1,-1,76,0,0,15.69916,15,0,18,18,71,106,65,50,78,118,221,-1,-1,-1,-1,100,0,0,4.40884,0,9,18,18,99,84,83,89,91,83,-1,-1,-1,-1,-1,100,0,0,0.37836,2,9,18,18,112,84,78,93,91,86,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,247,489,-1,-1,-1,100,0,0,1,9.91672,0,16,18,18,86,73,111,70,76,73,473,-1,-1,-1,-1,100,0,0,10.00144,0,4,18,18,96,93,118,63,63,66,-1,-1,-1,-1,-1,100,0,0,6.91696,0,4,18,18,92,80,99,53,82,62,-1,-1,-1,-1,-1,100,0,0,2.25496,0,7,18,18,83,70,75,70,71,106,-1,-1,-1,-1,-1,100,0,0,15.39044,0,14,18,18,94,96,95,68,76,98,-1,-1,-1,-1,-1,100,0,0,4.66576,0,18,18,18,95,80,105,40,70,100,-1,-1,-1,-1,-1,100,0,0,0,2,576,600
14,6.87112,11,9,18,18,78,133,86,73,80,88,-1,-1,-1,-1,-1,100,0,0,0.87256,2,1,18,18,85,108,73,66,93,97,752,175,23,-1,-1,66,270,0,15.69916,15,0,18,18,71,106,65,50,78,118,221,-1,-1,-1,-1,100,0,0,4.40884,0,9,18,18,99,84,83,89,91,83,-1,-1,-1,-1,-1,100,0,0,0.37836,2,9,18,18,112,84,78,93,91,86,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,247,489,-1,-1,-1,100,0,0,1,9.91672,0,16,18,18,86,73,111,70,76,73,473,-1,-1,-1,-1,0,0,0,10.00144,0,4,18,18,96,93,118,63,63,66,-1,-1,-1,-1,-1,100,0,0,6.91696,0,4,18,18,92,80,99,53,82,62,-1,-1,-1,-1,-1,100,0,0,2.25496,0,7,18,18,83,70,75,70,71,106,-1,-1,-1,-1,-1,100,0,0,15.39044,0,14,18,18,94,96,95,68,76,98,-1,-1,-1,-1,-1,100,0,0,4.66576,0,18,18,18,95,80,105,40,70,100,-1,-1,-1,-1,-1,100,0,0,1,2,566,500
15,6.87112,11,9,18,18,78,133,86,73,80,88,-1,-1,-1,-1,-1,100,0,0,0.87256,2,1,18,18,85,108,73,66,93,97,752,175,23,247,-1,14,270,0,15.69916,15,0,18,18,71,106,65,50,78,118,221,-1,-1,-1,-1,100,0,0,4.40884,0,9,18,18,99,84,83,89,91,83,-1,-1,-1,-1,-1,100,0,0,0.37836,2,9,18,18,112,84,78,93,91,86,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,247,489,-1,-1,-1,100,0,0,1,9.91672,0,16,18,18,86,73,111,70,76,73,473,-1,-1,-1,-1,0,0,0,10.00144,0,4,18,18,96,93,118,63,63,66,-1,-1,-1,-1,-1,0,0,0,6.91696,0,4,18,18,92,80,99,53,82,62,-1,-1,-1,-1,-1,100,0,0,2.25496,0,7,18,18,83,70,75,70,71,106,-1,-1,-1,-1,-1,100,0,0,15.39044,0,14,18,18,94,96,95,68,76,98,-1,-1,-1,-1,-1,100,0,0,4.66576,0,18,18,18,95,80,105,40,70,100,-1,-1,-1,-1,-1,100,0,0,4,3,514,400
16,6.87112,11,9,18,18,78,133,86,73,80,88,-1,-1,-1,-1,-1,100,0,0,0.87256,2,1,18,18,85,108,73,66,93,97,752,175,23,247,-1,14,270,0,15.69916,15,0,18,18,71,106,65,50,78,118,221,-1,-1,-1,-1,100,0,0,4.40884,0,9,18,18,99,84,83,89,91,83,-1,-1,-1,-1,-1,100,0,0,0.37836,2,9,18,18,112,84,78,93,91,86,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,247,489,-1,-1,-1,100,0,0,1,9.91672,0,16,18,18,86,73,111,70,76,73,473,-1,-1,-1,-1,0,0,0,10.00144,0,4,18,18,96,93,118,63,63,66,-1,-1,-1,-1,-1,0,0,0,6.91696,0,4,18,18,92,80,99,53,82,62,-1,-1,-1,-1,-1,100,0,0,2.25496,0,7,18,18,83,70,75,70,71,106,-1,-1,-1,-1,-1,100,0,0,15.39044,0,14,18,18,94,96,95,68,76,98,473,-1,-1,-1,-1,100,0,0,4.66576,0,18,18,18,95,80,105,40,70,100,-1,-1,-1,-1,-1,100,0,0,4,3,514,400
17,6.87112,11,9,18,18,78,133,86,73,80,88,-1,-1,-1,-1,-1,100,0,0,0.87256,2,1,18,18,85,108,73,66,93,97,752,175,23,247,-1,4,270,0,15.69916,15,0,18,18,71,106,65,50,78,118,221,-1,-1,-1,-1,100,0,0,4.40884,0,9,18,18,99,84,83,89,91,83,-1,-1,-1,-1,-1,100,0,0,0.37836,2,9,18,18,112,84,78,93,91,86,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,247,489,-1,-1,-1,100,0,0,1,9.91672,0,16,18,18,86,73,111,70,76,73,473,-1,-1,-1,-1,0,0,0,10.00144,0,4,18,18,96,93,118,63,63,66,-1,-1,-1,-1,-1,0,0,0,6.91696,0,4,18,18,92,80,99,53,82,62,-1,-1,-1,-1,-1,100,0,0,2.25496,0,7,18,18,83,70,75,70,71,106,-1,-1,-1,-1,-1,100,0,0,15.39044,0,14,18,18,94,96,95,68,76,98,473,-1,-1,-1,-1,65,0,0,4.66576,0,18,18,18,95,80,105,40,70,100,-1,-1,-1,-1,-1,100,0,0,4,3,504,365
18,6.87112,11,9,18,18,78,133,86,73,80,88,-1,-1,-1,-1,-1,100,0,0,0.87256,2,1,18,18,85,108,73,66,93,97,752,175,23,247,-1,0,270,0,15.69916,15,0,18,18,71,106,65,50,78,118,221,-1,-1,-1,-1,100,0,0,4.40884,0,9,18,18,99,84,83,89,91,83,-1,-1,-1,-1,-1,100,0,0,0.37836,2,9,18,18,112,84,78,93,91,86,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,247,489,-1,-1,-1,100,0,0,0,9.91672,0,16,18,18,86,73,111,70,76,73,473,-1,-1,-1,-1,0,0,0,10.00144,0,4,18,18,96,93,118,63,63,66,-1,-1,-1,-1,-1,0,0,0,6.91696,0,4,18,18,92,80,99,53,82,62,-1,-1,-1,-1,-1,100,0,0,2.25496,0,7,18,18,83,70,75,70,71,106,-1,-1,-1,-1,-1,100,0,0,15.39044,0,14,18,18,94,96,95,68,76,98,473,-1,-1,-1,-1,0,0,0,4.66576,0,18,18,18,95,80,105,40,70,100,-1,-1,-1,-1,-1,100,0,0,3,5,500,300
19,6.87112,11,9,18,18,78,133,86,73,80,88,175,-1,-1,-1,-1,100,0,0,0.87256,2,1,18,18,85,108,73,66,93,97,752,175,23,247,-1,0,270,0,15.69916,15,0,18,18,71,106,65,50,78,118,221,-1,-1,-1,-1,100,0,0,4.40884,0,9,18,18,99,84,83,89,91,83,-1,-1,-1,-1,-1,100,0,0,0.37836,2,9,18,18,112,84,78,93,91,86,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,247,489,-1,-1,-1,100,0,0,0,9.91672,0,16,18,18,86,73,111,70,76,73,473,-1,-1,-1,-1,0,0,0,10.00144,0,4,18,18,96,93,118,63,63,66,-1,-1,-1,-1,-1,0,0,0,6.91696,0,4,18,18,92,80,99,53,82,62,-1,-1,-1,-1,-1,100,0,0,2.25496,0,7,18,18,83,70,75,70,71,106,473,-1,-1,-1,-1,100,0,0,15.39044,0,14,18,18,94,96,95,68,76,98,473,-1,-1,-1,-1,0,0,0,4.66576,0,18,18,18,95,80,105,40,70,100,-1,-1,-1,-1,-1,100,0,0,3,5,500,300
20,6.87112,11,9,18,18,78,133,86,73,80,88,175,-1,-1,-1,-1,100,0,0,0.87256,2,1,18,18,85,108,73,66,93,97,752,175,23,247,-1,0,270,0,15.69916,15,0,18,18,71,106,65,50,78,118,221,-1,-1,-1,-1,100,0,0,4.40884,0,9,18,18,99,84,83,89,91,83,-1,-1,-1,-1,-1,100,0,0,0.37836,2,9,18,18,112,84,78,93,91,86,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,247,489,-1,-1,-1,100,0,0,0,9.91672,0,16,18,18,86,73,111,70,76,73,473,-1,-1,-1,-1,0,0,0,10.00144,0,4,18,18,96,93,118,63,63,66,-1,-1,-1,-1,-1,0,0,0,6.91696,0,4,18,18,92,80,99,53,82,62,-1,-1,-1,-1,-1,100,0,0,2.25496,0,7,18,18,83,70,75,70,71,106,473,-1,-1,-1,-1,100,0,0,15.39044,0,14,18,18,94,96,95,68,76,98,473,-1,-1,-1,-1,0,0,0,4.66576,0,18,18,18,95,80,105,40,70,100,-1,-1,-1,-1,-1,100,0,0,3,1,500,300
21,6.87112,11,9,18,18,78,133,86,73,80,88,175,414,-1,-1,-1,91,270,0,0.87256,2,1,18,18,85,108,73,66,93,97,752,175,23,247,-1,0,270,0,15.69916,15,0,18,18,71,106,65,50,78,118,221,-1,-1,-1,-1,100,0,0,4.40884,0,9,18,18,99,84,83,89,91,83,-1,-1,-1,-1,-1,100,0,0,0.37836,2,9,18,18,112,84,78,93,91,86,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,247,489,-1,-1,-1,100,0,0,0,9.91672,0,16,18,18,86,73,111,70,76,73,473,-1,-1,-1,-1,0,0,0,10.00144,0,4,18,18,96,93,118,63,63,66,-1,-1,-1,-1,-1,0,0,0,6.91696,0,4,18,18,92,80,99,53,82,62,-1,-1,-1,-1,-1,100,0,0,2.25496,0,7,18,18,83,70,75,70,71,106,473,-1,-1,-1,-1,0,0,0,15.39044,0,14,18,18,94,96,95,68,76,98,473,-1,-1,-1,-1,0,0,0,4.66576,0,18,18,18,95,80,105,40,70,100,-1,-1,-1,-1,-1,100,0,0,2,1,491,200
22,6.87112,11,9,18,18,78,133,86,73,80,88,175,414,8,-1,-1,81,270,0,0.87256,2,1,18,18,85,108,73,66,93,97,752,175,23,247,-1,0,270,0,15.69916,15,0,18,18,71,106,65,50,78,118,221,-1,-1,-1,-1,100,0,0,4.40884,0,9,18,18,99,84,83,89,91,83,-1,-1,-1,-1,-1,100,0,0,0.37836,2,9,18,18,112,84,78,93,91,86,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,247,489,-1,-1,-1,100,0,0,0,9.91672,0,16,18,18,86,73,111,70,76,73,473,-1,-1,-1,-1,0,0,0,10.00144,0,4,18,18,96,93,118,63,63,66,-1,-1,-1,-1,-1,0,0,0,6.91696,0,4,18,18,92,80,99,53,82,62,-1,-1,-1,-1,-1,0,0,0,2.25496,0,7,18,18,83,70,75,70,71,106,473,-1,-1,-1,-1,0,0,0,15.39044,0,14,18,18,94,96,95,68,76,98,473,-1,-1,-1,-1,0,0,0,4.66576,0,18,18,18,95,80,105,40,70,100,-1,-1,-1,-1,-1,100,0,0,5,2,481,100
23,6.87112,11,9,18,18,78,133,86,73,80,88,175,414,8,-1,-1,40,270,0,0.87256,2,1,18,18,85,108,73,66,93,97,752,175,23,247,-1,0,270,0,15.69916,15,0,18,18,71,106,65,50,78,118,221,-1,-1,-1,-1,100,0,0,4.40884,0,9,18,18,99,84,83,89,91,83,-1,-1,-1,-1,-1,100,0,0,0.37836,2,9,18,18,112,84,78,93,91,86,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,247,489,-1,-1,-1,100,0,0,0,9.91672,0,16,18,18,86,73,111,70,76,73,473,-1,-1,-1,-1,0,0,0,10.00144,0,4,18,18,96,93,118,63,63,66,-1,-1,-1,-1,-1,0,0,0,6.91696,0,4,18,18,92,80,99,53,82,62,-1,-1,-1,-1,-1,0,0,0,2.25496,0,7,18,18,83,70,75,70,71,106,473,-1,-1,-1,-1,0,0,0,15.39044,0,14,18,18,94,96,95,68,76,98,473,-1,-1,-1,-1,0,0,0,4.66576,0,18,18,18,95,80,105,40,70,100,69,-1,-1,-1,-1,24,0,0,5,2,440,24
24,6.87112,11,9,18,18,78,133,86,73,80,88,175,414,8,-1,-1,30,270,0,0.87256,2,1,18,18,85,108,73,66,93,97,752,175,23,247,-1,0,270,0,15.69916,15,0,18,18,71,106,65,50,78,118,221,-1,-1,-1,-1,100,0,0,4.40884,0,9,18,18,99,84,83,89,91,83,-1,-1,-1,-1,-1,100,0,0,0.37836,2,9,18,18,112,84,78,93,91,86,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,247,489,-1,-1,-1,100,0,0,0,9.91672,0,16,18,18,86,73,111,70,76,73,473,-1,-1,-1,-1,0,0,0,10.00144,0,4,18,18,96,93,118,63,63,66,-1,-1,-1,-1,-1,0,0,0,6.91696,0,4,18,18,92,80,99,53,82,62,-1,-1,-1,-1,-1,0,0,0,2.25496,0,7,18,18,83,70,75,70,71,106,473,-1,-1,-1,-1,0,0,0,15.39044,0,14,18,18,94,96,95,68,76,98,473,-1,-1,-1,-1,0,0,0,4.66576,0,18,18,18,95,80,105,40,70,100,69,-1,-1,-1,-1,0,0,0,5,3,430,0
