turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,4.17616,12,8,18,18,91,101,170,81,88,40,-1,-1,-1,-1,-1,100,0,0,14.4968,8,12,18,18,65,103,80,51,75,89,-1,-1,-1,-1,-1,100,0,0,8.11112,0,16,18,18,73,120,88,58,70,81,-1,-1,-1,-1,-1,100,0,0,13.85588,2,9,18,18,89,103,76,64,87,105,-1,-1,-1,-1,-1,100,0,0,6.68156,11,6,18,18,60,116,68,53,53,100,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,2,10.252,16,14,18,18,93,100,86,93,93,100,-1,-1,-1,-1,-1,100,0,0,8.81592,14,17,18,18,76,73,70,128,111,90,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,16.63444,3,8,18,18,86,127,85,90,85,99,-1,-1,-1,-1,-1,100,0,0,39.47732,13,13,18,18,76,126,86,75,86,50,-1,-1,-1,-1,-1,100,0,0,36.28516,7,16,18,18,58,83,138,53,133,25,-1,-1,-1,-1,-1,100,0,0,5,7,600,600
1,4.17616,12,8,18,18,91,101,170,81,88,40,-1,-1,-1,-1,-1,100,0,0,14.4968,8,12,18,18,65,103,80,51,75,89,-1,-1,-1,-1,-1,100,0,0,8.11112,0,16,18,18,73,120,88,58,70,81,-1,-1,-1,-1,-1,100,0,0,13.85588,2,9,18,18,89,103,76,64,87,105,-1,-1,-1,-1,-1,100,0,0,6.68156,11,6,18,18,60,116,68,53,53,100,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,0,10.252,16,14,18,18,93,100,86,93,93,100,-1,-1,-1,-1,-1,100,0,0,8.81592,14,17,18,18,76,73,70,128,111,90,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,16.63444,3,8,18,18,86,127,85,90,85,99,-1,-1,-1,-1,-1,100,0,0,39.47732,13,13,18,18,76,126,86,75,86,50,-1,-1,-1,-1,-1,100,0,0,36.28516,7,16,18,18,58,83,138,53,133,25,729,-1,-1,-1,-1,100,0,0,5,5,600,600
2,4.17616,12,8,18,18,91,101,170,81,88,40,729,-1,-1,-1,-1,94,0,6,14.4968,8,12,18,18,65,103,80,51,75,89,-1,-1,-1,-1,-1,100,0,0,8.11112,0,16,18,18,73,120,88,58,70,81,-1,-1,-1,-1,-1,100,0,0,13.85588,2,9,18,18,89,103,76,64,87,105,-1,-1,-1,-1,-1,100,0,0,6.68156,11,6,18,18,60,116,68,53,53,100,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,0,10.252,16,14,18,18,93,100,86,93,93,100,-1,-1,-1,-1,-1,100,0,0,8.81592,14,17,18,18,76,73,70,128,111,90,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,16.63444,3,8,18,18,86,127,85,90,85,99,-1,-1,-1,-1,-1,100,0,0,39.47732,13,13,18,18,76,126,86,75,86,50,-1,-1,-1,-1,-1,100,0,0,36.28516,7,16,18,18,58,83,138,53,133,25,729,806,-1,-1,-1,100,0,0,5,5,594,600
3,4.17616,12,8,18,18,91,101,170,81,88,40,729,154,-1,-1,-1,82,0,6,14.4968,8,12,18,18,65,103,80,51,75,89,-1,-1,-1,-1,-1,100,0,0,8.11112,0,16,18,18,73,120,88,58,70,81,-1,-1,-1,-1,-1,100,0,0,13.85588,2,9,18,18,89,103,76,64,87,105,-1,-1,-1,-1,-1,100,0,0,6.68156,11,6,18,18,60,116,68,53,53,100,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,0,10.252,16,14,18,18,93,100,86,93,93,100,-1,-1,-1,-1,-1,100,0,0,8.81592,14,17,18,18,76,73,70,128,111,90,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,16.63444,3,8,18,18,86,127,85,90,85,99,-1,-1,-1,-1,-1,100,0,0,39.47732,13,13,18,18,76,126,86,75,86,50,-1,-1,-1,-1,-1,100,0,0,36.28516,7,16,18,18,58,83,138,53,133,25,729,806,718,-1,-1,100,0,0,5,1,582,600
4,4.17616,12,8,18,18,91,101,170,81,88,40,729,154,-1,-1,-1,63,0,6,14.4968,8,12,18,18,65,103,80,51,75,89,-1,-1,-1,-1,-1,100,0,0,8.11112,0,16,18,18,73,120,88,58,70,81,-1,-1,-1,-1,-1,100,0,0,13.85588,2,9,18,18,89,103,76,64,87,105,-1,-1,-1,-1,-1,100,0,0,6.68156,11,6,18,18,60,116,68,53,53,100,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,0,10.252,16,14,18,18,93,100,86,93,93,100,-1,-1,-1,-1,-1,100,0,0,8.81592,14,17,18,18,76,73,70,128,111,90,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,16.63444,3,8,18,18,86,127,85,90,85,99,-1,-1,-1,-1,-1,64,0,0,39.47732,13,13,18,18,76,126,86,75,86,50,-1,-1,-1,-1,-1,100,0,0,36.28516,7,16,18,18,58,83,138,53,133,25,729,806,718,-1,-1,100,0,0,3,2,563,564
5,4.17616,12,8,18,18,91,101,170,81,88,40,729,154,194,-1,-1,38,0,6,14.4968,8,12,18,18,65,103,80,51,75,89,-1,-1,-1,-1,-1,100,0,0,8.11112,0,16,18,18,73,120,88,58,70,81,-1,-1,-1,-1,-1,100,0,0,13.85588,2,9,18,18,89,103,76,64,87,105,-1,-1,-1,-1,-1,100,0,0,6.68156,11,6,18,18,60,116,68,53,53,100,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,0,10.252,16,14,18,18,93,100,86,93,93,100,-1,-1,-1,-1,-1,100,0,0,8.81592,14,17,18,18,76,73,70,128,111,90,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,16.63444,3,8,18,18,86,127,85,90,85,99,23,-1,-1,-1,-1,0,0,0,39.47732,13,13,18,18,76,126,86,75,86,50,-1,-1,-1,-1,-1,100,0,0,36.28516,7,16,18,18,58,83,138,53,133,25,729,806,718,-1,-1,94,0,0,5,2,538,494
6,4.17616,12,8,18,18,91,101,170,81,88,40,729,154,194,-1,-1,7,0,6,14.4968,8,12,18,18,65,103,80,51,75,89,-1,-1,-1,-1,-1,100,0,0,8.11112,0,16,18,18,73,120,88,58,70,81,-1,-1,-1,-1,-1,100,0,0,13.85588,2,9,18,18,89,103,76,64,87,105,-1,-1,-1,-1,-1,100,0,0,6.68156,11,6,18,18,60,116,68,53,53,100,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,0,10.252,16,14,18,18,93,100,86,93,93,100,-1,-1,-1,-1,-1,100,0,0,8.81592,14,17,18,18,76,73,70,128,111,90,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,16.63444,3,8,18,18,86,127,85,90,85,99,23,-1,-1,-1,-1,0,0,0,39.47732,13,13,18,18,76,126,86,75,86,50,-1,-1,-1,-1,-1,100,0,0,36.28516,7,16,18,18,58,83,138,53,133,25,729,806,718,-1,-1,94,0,0,5,2,507,494
7,4.17616,12,8,18,18,91,101,170,81,88,40,729,154,194,-1,-1,7,0,6,14.4968,8,12,18,18,65,103,80,51,75,89,-1,-1,-1,-1,-1,95,0,0,8.11112,0,16,18,18,73,120,88,58,70,81,-1,-1,-1,-1,-1,100,0,0,13.85588,2,9,18,18,89,103,76,64,87,105,-1,-1,-1,-1,-1,100,0,0,6.68156,11,6,18,18,60,116,68,53,53,100,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,1,10.252,16,14,18,18,93,100,86,93,93,100,-1,-1,-1,-1,-1,100,0,0,8.81592,14,17,18,18,76,73,70,128,111,90,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,16.63444,3,8,18,18,86,127,85,90,85,99,23,-1,-1,-1,-1,0,0,0,39.47732,13,13,18,18,76,126,86,75,86,50,-1,-1,-1,-1,-1,100,234,0,36.28516,7,16,18,18,58,83,138,53,133,25,729,806,718,-1,-1,94,0,0,4,6,502,494
8,4.17616,12,8,18,18,91,101,170,81,88,40,729,154,194,-1,-1,7,0,6,14.4968,8,12,18,18,65,103,80,51,75,89,414,-1,-1,-1,-1,95,0,0,8.11112,0,16,18,18,73,120,88,58,70,81,-1,-1,-1,-1,-1,100,0,0,13.85588,2,9,18,18,89,103,76,64,87,105,-1,-1,-1,-1,-1,100,0,0,6.68156,11,6,18,18,60,116,68,53,53,100,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,1,10.252,16,14,18,18,93,100,86,93,93,100,-1,-1,-1,-1,-1,100,0,0,8.81592,14,17,18,18,76,73,70,128,111,90,-1,-1,-1,-1,-1,88,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,16.63444,3,8,18,18,86,127,85,90,85,99,23,-1,-1,-1,-1,0,0,0,39.47732,13,13,18,18,76,126,86,75,86,50,-1,-1,-1,-1,-1,0,0,0,36.28516,7,16,18,18,58,83,138,53,133,25,729,806,718,-1,-1,94,0,0,1,6,502,382
9,4.17616,12,8,18,18,91,101,170,81,88,40,729,154,194,-1,-1,0,0,6,14.4968,8,12,18,18,65,103,80,51,75,89,414,-1,-1,-1,-1,89,0,0,8.11112,0,16,18,18,73,120,88,58,70,81,-1,-1,-1,-1,-1,100,0,0,13.85588,2,9,18,18,89,103,76,64,87,105,-1,-1,-1,-1,-1,100,0,0,6.68156,11,6,18,18,60,116,68,53,53,100,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,1,10.252,16,14,18,18,93,100,86,93,93,100,-1,-1,-1,-1,-1,100,0,0,8.81592,14,17,18,18,76,73,70,128,111,90,179,-1,-1,-1,-1,82,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,16.63444,3,8,18,18,86,127,85,90,85,99,23,-1,-1,-1,-1,0,0,0,39.47732,13,13,18,18,76,126,86,75,86,50,-1,-1,-1,-1,-1,0,0,0,36.28516,7,16,18,18,58,83,138,53,133,25,729,806,718,-1,-1,94,0,0,1,6,489,376
