turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
10,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,-1,-1,-1,-1,-1,95,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,249,-1,-1,-1,-1,84,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,3,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,-1,-1,-1,76,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,567,-1,-1,-1,-1,91,234,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,100,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,-1,-1,-1,-1,-1,100,0,0,1,8,446,467
11,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,403,-1,-1,-1,-1,89,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,249,-1,-1,-1,-1,84,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,3,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,-1,-1,-1,76,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,567,-1,-1,-1,-1,79,234,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,100,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,-1,-1,-1,-1,-1,100,0,0,1,8,440,455
12,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,403,-1,-1,-1,-1,89,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,249,-1,-1,-1,-1,84,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,3,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,-1,-1,-1,76,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,567,-1,-1,-1,-1,60,234,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,100,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,-1,-1,-1,-1,-1,100,0,0,1,1,440,436
13,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,403,-1,-1,-1,-1,89,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,249,-1,-1,-1,-1,84,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,3,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,-1,-1,-1,76,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,567,-1,-1,-1,-1,60,234,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,0,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,-1,-1,-1,-1,-1,76,0,0,5,1,440,312
14,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,403,-1,-1,-1,-1,89,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,249,-1,-1,-1,-1,78,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,4,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,-1,-1,-1,76,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,567,-1,-1,-1,-1,60,234,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,0,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,309,-1,-1,-1,-1,76,0,0,5,9,434,312
15,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,403,-1,-1,-1,-1,89,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,249,-1,-1,-1,-1,72,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,4,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,-1,-1,-1,76,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,567,-1,-1,-1,-1,40,234,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,0,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,309,-1,-1,-1,-1,76,0,0,1,1,428,292
16,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,403,-1,-1,-1,-1,89,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,249,-1,-1,-1,-1,66,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,4,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,-1,-1,-1,76,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,567,-1,-1,-1,-1,52,234,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,0,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,309,-1,-1,-1,-1,76,0,0,1,1,422,304
17,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,403,-1,-1,-1,-1,89,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,249,-1,-1,-1,-1,46,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,4,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,-1,-1,-1,76,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,567,193,-1,-1,-1,30,234,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,0,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,309,-1,-1,-1,-1,76,0,0,1,1,402,282
18,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,403,-1,-1,-1,-1,89,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,249,-1,-1,-1,-1,46,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,4,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,-1,-1,-1,76,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,567,193,-1,-1,-1,36,234,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,0,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,309,-1,-1,-1,-1,76,0,0,1,1,402,288
19,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,403,-1,-1,-1,-1,89,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,249,-1,-1,-1,-1,40,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,4,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,-1,-1,-1,15,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,567,193,-1,-1,-1,36,234,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,0,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,309,-1,-1,-1,-1,76,0,0,0,1,396,227
20,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,403,-1,-1,-1,-1,89,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,249,-1,-1,-1,-1,30,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,4,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,-1,-1,-1,9,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,567,193,-1,-1,-1,36,234,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,0,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,309,-1,-1,-1,-1,76,0,0,0,1,386,221
21,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,403,-1,-1,-1,-1,89,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,249,-1,-1,-1,-1,24,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,4,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,151,-1,-1,0,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,567,193,-1,-1,-1,36,234,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,0,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,309,-1,-1,-1,-1,76,0,0,1,1,380,212
22,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,94,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,403,-1,-1,-1,-1,89,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,249,-1,-1,-1,-1,24,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,1,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,151,-1,-1,0,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,567,193,-1,-1,-1,49,234,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,0,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,309,-1,-1,-1,-1,76,0,0,1,6,374,225
23,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,245,-1,-1,-1,-1,94,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,403,-1,-1,-1,-1,89,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,249,-1,-1,-1,-1,24,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,1,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,151,-1,-1,0,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,567,193,-1,-1,-1,49,234,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,0,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,24,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,309,-1,-1,-1,-1,76,0,0,3,6,374,149
24,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,245,-1,-1,-1,-1,38,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,403,-1,-1,-1,-1,89,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,249,-1,-1,-1,-1,24,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,1,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,151,-1,-1,0,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,567,193,-1,-1,-1,49,234,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,0,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,193,-1,-1,-1,-1,0,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,309,-1,-1,-1,-1,76,0,0,5,1,318,125
25,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,245,-1,-1,-1,-1,0,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,403,-1,-1,-1,-1,89,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,249,-1,-1,-1,-1,24,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,3,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,151,-1,-1,0,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,567,193,-1,-1,-1,49,234,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,0,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,193,-1,-1,-1,-1,0,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,309,147,-1,-1,-1,76,0,0,5,8,280,125
26,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,245,-1,-1,-1,-1,0,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,403,-1,-1,-1,-1,55,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,249,-1,-1,-1,-1,24,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,3,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,151,-1,-1,0,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,567,193,-1,-1,-1,49,234,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,0,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,193,-1,-1,-1,-1,0,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,309,147,-1,-1,-1,0,0,0,1,1,246,49
27,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,245,-1,-1,-1,-1,0,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,403,-1,-1,-1,-1,55,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,249,-1,-1,-1,-1,24,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,3,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,151,-1,-1,0,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,567,193,-1,-1,-1,31,234,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,0,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,193,-1,-1,-1,-1,0,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,309,147,-1,-1,-1,0,0,0,1,1,246,31
28,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,245,-1,-1,-1,-1,0,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,403,-1,-1,-1,-1,55,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,249,-1,-1,-1,-1,24,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,3,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,151,-1,-1,0,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,567,193,-1,-1,-1,0,234,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,0,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,193,-1,-1,-1,-1,0,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,309,147,-1,-1,-1,0,0,0,1,1,246,0
