turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,27.93772,13,9,18,18,81,100,108,58,79,82,-1,-1,-1,-1,-1,100,0,0,9.71216,6,15,18,18,80,126,96,108,80,70,-1,-1,-1,-1,-1,100,0,0,19.13396,14,3,18,18,76,81,66,119,93,108,-1,-1,-1,-1,-1,100,0,0,17.29788,1,16,18,18,73,78,99,126,93,67,-1,-1,-1,-1,-1,100,0,0,1.13488,6,9,18,18,88,103,80,66,83,105,-1,-1,-1,-1,-1,100,0,0,22.30064,10,16,18,18,93,58,121,108,106,36,-1,-1,-1,-1,-1,100,0,0,4,7.21052,17,13,18,18,82,56,121,95,95,40,-1,-1,-1,-1,-1,100,0,0,1.74064,0,10,18,18,140,103,88,76,106,76,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,100,0,0,22.90652,2,2,18,18,130,72,116,77,77,43,-1,-1,-1,-1,-1,100,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,44.40212,13,2,18,18,66,65,124,83,94,54,-1,-1,-1,-1,-1,100,0,0,4,9,600,600
1,27.93772,13,9,18,18,81,100,108,58,79,82,-1,-1,-1,-1,-1,100,0,0,9.71216,6,15,18,18,80,126,96,108,80,70,-1,-1,-1,-1,-1,100,0,0,19.13396,14,3,18,18,76,81,66,119,93,108,-1,-1,-1,-1,-1,100,0,0,17.29788,1,16,18,18,73,78,99,126,93,67,-1,-1,-1,-1,-1,100,0,0,1.13488,6,9,18,18,88,103,80,66,83,105,382,-1,-1,-1,-1,100,0,0,22.30064,10,16,18,18,93,58,121,108,106,36,-1,-1,-1,-1,-1,100,0,0,4,7.21052,17,13,18,18,82,56,121,95,95,40,-1,-1,-1,-1,-1,100,0,0,1.74064,0,10,18,18,140,103,88,76,106,76,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,100,0,0,22.90652,2,2,18,18,130,72,116,77,77,43,-1,-1,-1,-1,-1,100,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,44.40212,13,2,18,18,66,65,124,83,94,54,-1,-1,-1,-1,-1,100,0,1,5,9,600,600
2,27.93772,13,9,18,18,81,100,108,58,79,82,-1,-1,-1,-1,-1,100,0,0,9.71216,6,15,18,18,80,126,96,108,80,70,-1,-1,-1,-1,-1,100,0,0,19.13396,14,3,18,18,76,81,66,119,93,108,-1,-1,-1,-1,-1,100,0,0,17.29788,1,16,18,18,73,78,99,126,93,67,-1,-1,-1,-1,-1,100,0,0,1.13488,6,9,18,18,88,103,80,66,83,105,382,825,-1,-1,-1,100,0,0,22.30064,10,16,18,18,93,58,121,108,106,36,-1,-1,-1,-1,-1,100,0,0,2,7.21052,17,13,18,18,82,56,121,95,95,40,-1,-1,-1,-1,-1,100,0,0,1.74064,0,10,18,18,140,103,88,76,106,76,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,100,0,0,22.90652,2,2,18,18,130,72,116,77,77,43,-1,-1,-1,-1,-1,100,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,44.40212,13,2,18,18,66,65,124,83,94,54,-1,-1,-1,-1,-1,98,234,1,5,7,600,598
3,27.93772,13,9,18,18,81,100,108,58,79,82,-1,-1,-1,-1,-1,100,0,0,9.71216,6,15,18,18,80,126,96,108,80,70,-1,-1,-1,-1,-1,100,0,0,19.13396,14,3,18,18,76,81,66,119,93,108,735,-1,-1,-1,-1,100,0,0,17.29788,1,16,18,18,73,78,99,126,93,67,-1,-1,-1,-1,-1,100,0,0,1.13488,6,9,18,18,88,103,80,66,83,105,382,825,-1,-1,-1,100,0,0,22.30064,10,16,18,18,93,58,121,108,106,36,-1,-1,-1,-1,-1,100,0,0,2,7.21052,17,13,18,18,82,56,121,95,95,40,-1,-1,-1,-1,-1,100,0,0,1.74064,0,10,18,18,140,103,88,76,106,76,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,100,0,0,22.90652,2,2,18,18,130,72,116,77,77,43,-1,-1,-1,-1,-1,100,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,44.40212,13,2,18,18,66,65,124,83,94,54,-1,-1,-1,-1,-1,98,234,1,2,7,600,598
4,27.93772,13,9,18,18,81,100,108,58,79,82,-1,-1,-1,-1,-1,100,0,0,9.71216,6,15,18,18,80,126,96,108,80,70,-1,-1,-1,-1,-1,100,0,0,19.13396,14,3,18,18,76,81,66,119,93,108,735,-1,-1,-1,-1,100,0,0,17.29788,1,16,18,18,73,78,99,126,93,67,-1,-1,-1,-1,-1,100,0,0,1.13488,6,9,18,18,88,103,80,66,83,105,382,825,-1,-1,-1,100,0,0,22.30064,10,16,18,18,93,58,121,108,106,36,-1,-1,-1,-1,-1,100,0,0,4,7.21052,17,13,18,18,82,56,121,95,95,40,-1,-1,-1,-1,-1,100,0,0,1.74064,0,10,18,18,140,103,88,76,106,76,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,194,-1,-1,-1,-1,100,0,0,22.90652,2,2,18,18,130,72,116,77,77,43,-1,-1,-1,-1,-1,100,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,44.40212,13,2,18,18,66,65,124,83,94,54,-1,-1,-1,-1,-1,98,234,1,2,9,600,598
5,27.93772,13,9,18,18,81,100,108,58,79,82,-1,-1,-1,-1,-1,100,0,0,9.71216,6,15,18,18,80,126,96,108,80,70,-1,-1,-1,-1,-1,100,0,0,19.13396,14,3,18,18,76,81,66,119,93,108,735,-1,-1,-1,-1,100,0,0,17.29788,1,16,18,18,73,78,99,126,93,67,-1,-1,-1,-1,-1,100,0,0,1.13488,6,9,18,18,88,103,80,66,83,105,382,825,192,-1,-1,100,0,0,22.30064,10,16,18,18,93,58,121,108,106,36,-1,-1,-1,-1,-1,100,0,0,4,7.21052,17,13,18,18,82,56,121,95,95,40,-1,-1,-1,-1,-1,100,0,0,1.74064,0,10,18,18,140,103,88,76,106,76,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,194,-1,-1,-1,-1,100,0,0,22.90652,2,2,18,18,130,72,116,77,77,43,-1,-1,-1,-1,-1,100,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,44.40212,13,2,18,18,66,65,124,83,94,54,-1,-1,-1,-1,-1,98,234,1,5,2,600,598
6,27.93772,13,9,18,18,81,100,108,58,79,82,-1,-1,-1,-1,-1,100,0,0,9.71216,6,15,18,18,80,126,96,108,80,70,-1,-1,-1,-1,-1,100,0,0,19.13396,14,3,18,18,76,81,66,119,93,108,735,-1,-1,-1,-1,100,0,0,17.29788,1,16,18,18,73,78,99,126,93,67,-1,-1,-1,-1,-1,100,0,0,1.13488,6,9,18,18,88,103,80,66,83,105,382,825,192,-1,-1,100,0,0,22.30064,10,16,18,18,93,58,121,108,106,36,-1,-1,-1,-1,-1,100,0,0,5,7.21052,17,13,18,18,82,56,121,95,95,40,-1,-1,-1,-1,-1,100,0,0,1.74064,0,10,18,18,140,103,88,76,106,76,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,194,-1,-1,-1,-1,100,0,0,22.90652,2,2,18,18,130,72,116,77,77,43,-1,-1,-1,-1,-1,100,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,44.40212,13,2,18,18,66,65,124,83,94,54,807,-1,-1,-1,-1,93,234,1,5,10,600,593
7,27.93772,13,9,18,18,81,100,108,58,79,82,-1,-1,-1,-1,-1,100,0,0,9.71216,6,15,18,18,80,126,96,108,80,70,-1,-1,-1,-1,-1,100,0,0,19.13396,14,3,18,18,76,81,66,119,93,108,735,-1,-1,-1,-1,100,0,0,17.29788,1,16,18,18,73,78,99,126,93,67,-1,-1,-1,-1,-1,100,0,0,1.13488,6,9,18,18,88,103,80,66,83,105,382,825,192,-1,-1,100,0,0,22.30064,10,16,18,18,93,58,121,108,106,36,447,-1,-1,-1,-1,100,0,0,5,7.21052,17,13,18,18,82,56,121,95,95,40,-1,-1,-1,-1,-1,100,0,0,1.74064,0,10,18,18,140,103,88,76,106,76,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,194,-1,-1,-1,-1,100,0,0,22.90652,2,2,18,18,130,72,116,77,77,43,-1,-1,-1,-1,-1,100,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,44.40212,13,2,18,18,66,65,124,83,94,54,807,-1,-1,-1,-1,99,234,1,5,10,600,599
8,27.93772,13,9,18,18,81,100,108,58,79,82,-1,-1,-1,-1,-1,100,0,0,9.71216,6,15,18,18,80,126,96,108,80,70,-1,-1,-1,-1,-1,100,0,0,19.13396,14,3,18,18,76,81,66,119,93,108,735,-1,-1,-1,-1,100,0,0,17.29788,1,16,18,18,73,78,99,126,93,67,-1,-1,-1,-1,-1,100,0,0,1.13488,6,9,18,18,88,103,80,66,83,105,382,825,192,-1,-1,100,0,0,22.30064,10,16,18,18,93,58,121,108,106,36,447,280,-1,-1,-1,100,0,0,5,7.21052,17,13,18,18,82,56,121,95,95,40,-1,-1,-1,-1,-1,100,0,0,1.74064,0,10,18,18,140,103,88,76,106,76,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,194,-1,-1,-1,-1,100,0,0,22.90652,2,2,18,18,130,72,116,77,77,43,-1,-1,-1,-1,-1,100,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,44.40212,13,2,18,18,66,65,124,83,94,54,807,-1,-1,-1,-1,100,234,1,5,1,600,600
9,27.93772,13,9,18,18,81,100,108,58,79,82,-1,-1,-1,-1,-1,100,0,0,9.71216,6,15,18,18,80,126,96,108,80,70,-1,-1,-1,-1,-1,100,0,0,19.13396,14,3,18,18,76,81,66,119,93,108,735,-1,-1,-1,-1,100,0,0,17.29788,1,16,18,18,73,78,99,126,93,67,-1,-1,-1,-1,-1,100,0,0,1.13488,6,9,18,18,88,103,80,66,83,105,382,825,192,-1,-1,100,0,0,22.30064,10,16,18,18,93,58,121,108,106,36,447,280,729,-1,-1,100,0,0,5,7.21052,17,13,18,18,82,56,121,95,95,40,-1,-1,-1,-1,-1,100,0,0,1.74064,0,10,18,18,140,103,88,76,106,76,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,194,-1,-1,-1,-1,100,0,0,22.90652,2,2,18,18,130,72,116,77,77,43,-1,-1,-1,-1,-1,100,0,0,8.9996,4,16,18,18,91,93,135,93,53,43,-1,-1,-1,-1,-1,100,0,0,44.40212,13,2,18,18,66,65,124,83,94,54,807,-1,-1,-1,-1,100,234,1,2,2,600,600
