turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
10,13.8124,16,8,18,18,102,120,96,93,95,101,403,-1,-1,-1,-1,0,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,13,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,726,-1,-1,-1,-1,31,234,0,1.36084,7,5,18,18,73,93,146,75,68,90,-1,-1,-1,-1,-1,100,0,0,2,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,-1,-1,-1,-1,79,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,151,249,814,-1,-1,100,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,794,-1,-1,-1,0,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,757,-1,-1,-1,-1,56,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,-1,-1,-1,-1,-1,81,234,0,5,7,244,416
11,13.8124,16,8,18,18,102,120,96,93,95,101,403,-1,-1,-1,-1,0,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,13,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,726,-1,-1,-1,-1,37,234,0,1.36084,7,5,18,18,73,93,146,75,68,90,-1,-1,-1,-1,-1,100,0,0,4,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,-1,-1,-1,-1,79,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,151,249,814,-1,-1,100,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,794,-1,-1,-1,0,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,757,-1,-1,-1,-1,56,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,427,-1,-1,-1,-1,87,234,0,5,9,250,422
12,13.8124,16,8,18,18,102,120,96,93,95,101,403,-1,-1,-1,-1,0,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,13,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,726,285,-1,-1,-1,32,234,0,1.36084,7,5,18,18,73,93,146,75,68,90,-1,-1,-1,-1,-1,100,0,0,4,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,-1,-1,-1,-1,79,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,151,249,814,-1,-1,100,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,794,-1,-1,-1,0,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,757,-1,-1,-1,-1,56,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,427,825,-1,-1,-1,83,234,0,2,1,245,418
13,13.8124,16,8,18,18,102,120,96,93,95,101,403,-1,-1,-1,-1,0,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,13,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,726,285,486,-1,-1,38,234,0,1.36084,7,5,18,18,73,93,146,75,68,90,-1,-1,-1,-1,-1,100,0,0,4,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,-1,-1,-1,-1,79,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,151,249,814,-1,-1,69,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,794,-1,-1,-1,0,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,757,-1,-1,-1,-1,56,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,427,825,-1,-1,-1,83,234,0,2,2,251,387
14,13.8124,16,8,18,18,102,120,96,93,95,101,403,-1,-1,-1,-1,0,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,13,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,726,285,486,-1,-1,0,234,0,1.36084,7,5,18,18,73,93,146,75,68,90,-1,-1,-1,-1,-1,100,0,0,2,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,-1,-1,-1,-1,79,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,151,249,814,-1,-1,69,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,794,-1,-1,-1,0,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,757,-1,-1,-1,-1,56,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,427,825,-1,-1,-1,83,234,0,2,7,213,387
15,13.8124,16,8,18,18,102,120,96,93,95,101,403,-1,-1,-1,-1,0,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,13,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,245,-1,-1,-1,100,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,726,285,486,-1,-1,0,234,0,1.36084,7,5,18,18,73,93,146,75,68,90,-1,-1,-1,-1,-1,100,0,0,2,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,-1,-1,-1,-1,79,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,151,249,814,-1,-1,69,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,794,-1,-1,-1,0,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,757,-1,-1,-1,-1,46,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,427,825,-1,-1,-1,83,234,0,4,1,213,377
16,13.8124,16,8,18,18,102,120,96,93,95,101,403,-1,-1,-1,-1,0,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,245,-1,-1,-1,100,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,726,285,486,-1,-1,0,234,0,1.36084,7,5,18,18,73,93,146,75,68,90,-1,-1,-1,-1,-1,100,0,0,5,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,-1,-1,-1,-1,79,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,151,249,814,-1,-1,69,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,794,-1,-1,-1,0,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,757,306,-1,-1,-1,46,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,427,825,-1,-1,-1,83,234,0,4,10,200,377
17,13.8124,16,8,18,18,102,120,96,93,95,101,403,-1,-1,-1,-1,0,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,245,-1,-1,-1,100,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,726,285,486,-1,-1,0,234,0,1.36084,7,5,18,18,73,93,146,75,68,90,392,-1,-1,-1,-1,100,0,0,5,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,-1,-1,-1,-1,72,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,151,249,814,-1,-1,69,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,794,-1,-1,-1,0,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,757,306,-1,-1,-1,46,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,427,825,-1,-1,-1,83,234,0,1,10,200,370
18,13.8124,16,8,18,18,102,120,96,93,95,101,403,-1,-1,-1,-1,0,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,245,-1,-1,-1,100,0,0,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,726,285,486,-1,-1,0,234,0,1.36084,7,5,18,18,73,93,146,75,68,90,392,-1,-1,-1,-1,100,0,0,2,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,-1,-1,-1,-1,72,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,151,249,814,-1,-1,69,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,794,-1,-1,-1,0,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,757,306,-1,-1,-1,46,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,427,825,-1,-1,-1,83,234,0,1,7,200,370
19,13.8124,16,8,18,18,102,120,96,93,95,101,403,-1,-1,-1,-1,0,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,245,-1,-1,-1,94,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,726,285,486,-1,-1,0,234,0,1.36084,7,5,18,18,73,93,146,75,68,90,392,-1,-1,-1,-1,100,0,0,2,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,806,-1,-1,-1,25,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,151,249,814,-1,-1,69,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,794,-1,-1,-1,0,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,757,306,-1,-1,-1,46,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,427,825,-1,-1,-1,83,234,0,1,1,194,323
20,13.8124,16,8,18,18,102,120,96,93,95,101,403,-1,-1,-1,-1,0,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,245,-1,-1,-1,82,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,726,285,486,-1,-1,0,234,0,1.36084,7,5,18,18,73,93,146,75,68,90,392,-1,-1,-1,-1,100,0,0,2,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,806,447,-1,-1,0,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,151,249,814,-1,-1,69,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,794,-1,-1,-1,0,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,757,306,-1,-1,-1,46,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,427,825,-1,-1,-1,83,234,0,4,1,182,298
21,13.8124,16,8,18,18,102,120,96,93,95,101,403,-1,-1,-1,-1,0,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,245,-1,-1,-1,32,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,726,285,486,-1,-1,0,234,0,1.36084,7,5,18,18,73,93,146,75,68,90,392,-1,-1,-1,-1,100,0,0,2,9.36236,17,8,18,18,96,126,78,63,60,68,-1,-1,-1,-1,-1,100,0,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,806,447,-1,-1,0,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,151,249,814,-1,-1,69,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,794,-1,-1,-1,0,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,757,306,237,-1,-1,0,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,427,825,-1,-1,-1,83,234,0,0,1,132,252
22,13.8124,16,8,18,18,102,120,96,93,95,101,403,-1,-1,-1,-1,0,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,245,-1,-1,-1,32,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,726,285,486,-1,-1,0,234,0,1.36084,7,5,18,18,73,93,146,75,68,90,392,-1,-1,-1,-1,0,0,0,2,9.36236,17,8,18,18,96,126,78,63,60,68,194,-1,-1,-1,-1,91,270,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,806,447,-1,-1,0,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,151,249,814,-1,-1,69,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,794,-1,-1,-1,0,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,757,306,237,-1,-1,0,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,427,825,-1,-1,-1,83,234,0,0,7,32,243
23,13.8124,16,8,18,18,102,120,96,93,95,101,403,-1,-1,-1,-1,0,0,0,23.93052,6,6,18,18,77,100,72,84,65,111,113,-1,-1,-1,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,245,-1,-1,-1,0,0,6,29.82232,8,2,18,18,66,73,143,47,97,55,414,807,-1,-1,-1,0,272,6,13.91632,4,17,18,18,60,88,83,65,65,100,726,285,486,-1,-1,0,234,0,1.36084,7,5,18,18,73,93,146,75,68,90,392,-1,-1,-1,-1,0,0,0,2,9.36236,17,8,18,18,96,126,78,63,60,68,194,541,-1,-1,-1,19,270,0,24.42832,13,2,18,18,43,65,144,57,134,31,814,806,447,-1,-1,0,0,0,19.67568,15,13,18,18,74,81,116,103,103,49,151,249,814,-1,-1,69,0,0,12.63788,3,15,18,18,70,100,78,125,80,56,209,794,-1,-1,-1,0,0,0,9.86652,7,14,18,18,95,133,85,63,90,81,757,306,237,-1,-1,0,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,427,825,-1,-1,-1,83,234,0,0,1,0,171
