turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
10,8.07572,17,16,18,18,88,86,111,81,98,33,308,-1,-1,-1,-1,71,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,194,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,729,721,-1,-1,-1,100,272,6,0.64576,3,8,18,18,87,98,79,111,85,90,384,-1,-1,-1,-1,0,0,0,1.40448,0,18,18,18,48,48,48,48,48,48,-1,-1,-1,-1,-1,100,0,0,1,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,513,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,151,654,628,-1,-1,100,281,0,23.42084,14,17,18,18,85,73,70,123,116,76,381,-1,-1,-1,-1,0,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,0,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,239,-1,-1,-1,-1,91,270,0,2,6,471,391
11,8.07572,17,16,18,18,88,86,111,81,98,33,308,-1,-1,-1,-1,71,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,668,-1,-1,-1,-1,68,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,194,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,729,721,-1,-1,-1,100,272,6,0.64576,3,8,18,18,87,98,79,111,85,90,384,-1,-1,-1,-1,0,0,0,1.40448,0,18,18,18,48,48,48,48,48,48,-1,-1,-1,-1,-1,100,0,0,1,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,513,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,151,654,628,-1,-1,100,281,0,23.42084,14,17,18,18,85,73,70,123,116,76,381,-1,-1,-1,-1,0,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,0,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,239,-1,-1,-1,-1,91,270,0,2,6,439,391
12,8.07572,17,16,18,18,88,86,111,81,98,33,308,-1,-1,-1,-1,71,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,668,-1,-1,-1,-1,74,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,194,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,729,721,-1,-1,-1,100,272,6,0.64576,3,8,18,18,87,98,79,111,85,90,384,-1,-1,-1,-1,0,0,0,1.40448,0,18,18,18,48,48,48,48,48,48,-1,-1,-1,-1,-1,100,0,0,1,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,513,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,151,654,628,313,-1,100,281,0,23.42084,14,17,18,18,85,73,70,123,116,76,381,-1,-1,-1,-1,0,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,0,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,239,-1,-1,-1,-1,91,270,0,2,1,445,391
13,8.07572,17,16,18,18,88,86,111,81,98,33,308,-1,-1,-1,-1,71,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,668,194,-1,-1,-1,52,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,194,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,729,721,-1,-1,-1,100,272,6,0.64576,3,8,18,18,87,98,79,111,85,90,384,-1,-1,-1,-1,0,0,0,1.40448,0,18,18,18,48,48,48,48,48,48,-1,-1,-1,-1,-1,100,0,0,1,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,513,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,151,654,628,313,-1,8,281,0,23.42084,14,17,18,18,85,73,70,123,116,76,381,-1,-1,-1,-1,0,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,0,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,239,-1,-1,-1,-1,91,270,0,2,1,423,299
14,8.07572,17,16,18,18,88,86,111,81,98,33,308,-1,-1,-1,-1,71,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,668,194,-1,-1,-1,34,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,194,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,729,721,-1,-1,-1,100,272,6,0.64576,3,8,18,18,87,98,79,111,85,90,384,-1,-1,-1,-1,0,0,0,1.40448,0,18,18,18,48,48,48,48,48,48,-1,-1,-1,-1,-1,100,0,0,1,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,513,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,151,654,628,313,-1,15,281,0,23.42084,14,17,18,18,85,73,70,123,116,76,381,-1,-1,-1,-1,0,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,0,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,239,-1,-1,-1,-1,91,270,0,2,1,405,306
15,8.07572,17,16,18,18,88,86,111,81,98,33,308,-1,-1,-1,-1,71,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,668,194,90,-1,-1,40,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,194,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,729,721,-1,-1,-1,100,272,6,0.64576,3,8,18,18,87,98,79,111,85,90,384,-1,-1,-1,-1,0,0,0,1.40448,0,18,18,18,48,48,48,48,48,48,-1,-1,-1,-1,-1,100,0,0,1,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,513,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,151,654,628,313,-1,0,281,0,23.42084,14,17,18,18,85,73,70,123,116,76,381,-1,-1,-1,-1,0,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,0,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,239,-1,-1,-1,-1,91,270,0,5,2,411,291
16,8.07572,17,16,18,18,88,86,111,81,98,33,308,-1,-1,-1,-1,71,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,668,194,90,282,-1,0,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,194,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,729,721,-1,-1,-1,100,272,6,0.64576,3,8,18,18,87,98,79,111,85,90,384,-1,-1,-1,-1,0,0,0,1.40448,0,18,18,18,48,48,48,48,48,48,-1,-1,-1,-1,-1,100,0,0,3,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,513,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,151,654,628,313,-1,0,281,0,23.42084,14,17,18,18,85,73,70,123,116,76,381,-1,-1,-1,-1,0,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,0,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,239,433,-1,-1,-1,47,270,0,5,8,371,247
17,8.07572,17,16,18,18,88,86,111,81,98,33,308,-1,-1,-1,-1,71,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,668,194,90,282,-1,0,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,194,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,729,721,-1,-1,-1,43,272,6,0.64576,3,8,18,18,87,98,79,111,85,90,384,-1,-1,-1,-1,0,0,0,1.40448,0,18,18,18,48,48,48,48,48,48,-1,-1,-1,-1,-1,100,0,0,3,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,513,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,151,654,628,313,-1,0,281,0,23.42084,14,17,18,18,85,73,70,123,116,76,381,-1,-1,-1,-1,0,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,0,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,239,433,620,-1,-1,21,270,0,5,2,314,221
18,8.07572,17,16,18,18,88,86,111,81,98,33,308,-1,-1,-1,-1,25,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,668,194,90,282,-1,0,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,194,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,729,721,-1,-1,-1,43,272,6,0.64576,3,8,18,18,87,98,79,111,85,90,384,-1,-1,-1,-1,0,0,0,1.40448,0,18,18,18,48,48,48,48,48,48,-1,-1,-1,-1,-1,100,0,0,0,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,513,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,151,654,628,313,-1,0,281,0,23.42084,14,17,18,18,85,73,70,123,116,76,381,-1,-1,-1,-1,0,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,0,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,239,433,620,-1,-1,21,270,0,5,5,268,221
19,8.07572,17,16,18,18,88,86,111,81,98,33,308,718,-1,-1,-1,31,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,668,194,90,282,-1,0,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,194,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,729,721,-1,-1,-1,43,272,6,0.64576,3,8,18,18,87,98,79,111,85,90,384,-1,-1,-1,-1,0,0,0,1.40448,0,18,18,18,48,48,48,48,48,48,-1,-1,-1,-1,-1,100,0,0,0,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,513,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,151,654,628,313,-1,0,281,0,23.42084,14,17,18,18,85,73,70,123,116,76,381,-1,-1,-1,-1,0,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,0,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,239,433,620,-1,-1,8,270,0,5,1,274,208
20,8.07572,17,16,18,18,88,86,111,81,98,33,308,718,-1,-1,-1,0,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,668,194,90,282,-1,0,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,194,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,729,721,-1,-1,-1,43,272,6,0.64576,3,8,18,18,87,98,79,111,85,90,384,-1,-1,-1,-1,0,0,0,1.40448,0,18,18,18,48,48,48,48,48,48,-1,-1,-1,-1,-1,100,0,0,2,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,513,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,151,654,628,313,-1,0,281,0,23.42084,14,17,18,18,85,73,70,123,116,76,381,-1,-1,-1,-1,0,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,0,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,239,433,620,-1,-1,8,270,0,5,7,243,208
21,8.07572,17,16,18,18,88,86,111,81,98,33,308,718,-1,-1,-1,0,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,668,194,90,282,-1,0,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,194,389,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,729,721,-1,-1,-1,43,272,6,0.64576,3,8,18,18,87,98,79,111,85,90,384,-1,-1,-1,-1,0,0,0,1.40448,0,18,18,18,48,48,48,48,48,48,-1,-1,-1,-1,-1,100,0,0,2,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,513,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,151,654,628,313,-1,0,281,0,23.42084,14,17,18,18,85,73,70,123,116,76,381,-1,-1,-1,-1,0,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,0,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,239,433,620,-1,-1,0,270,0,0,1,243,200
22,8.07572,17,16,18,18,88,86,111,81,98,33,308,718,-1,-1,-1,0,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,668,194,90,282,-1,0,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,194,389,528,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,729,721,-1,-1,-1,43,272,6,0.64576,3,8,18,18,87,98,79,111,85,90,384,-1,-1,-1,-1,0,0,0,1.40448,0,18,18,18,48,48,48,48,48,48,-1,-1,-1,-1,-1,39,0,0,5,35.22008,15,9,18,18,69,103,83,64,67,102,184,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,513,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,151,654,628,313,-1,0,281,0,23.42084,14,17,18,18,85,73,70,123,116,76,381,-1,-1,-1,-1,0,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,0,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,239,433,620,-1,-1,0,270,0,0,10,182,200
23,8.07572,17,16,18,18,88,86,111,81,98,33,308,718,-1,-1,-1,0,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,668,194,90,282,-1,0,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,194,389,528,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,729,721,-1,-1,-1,43,272,6,0.64576,3,8,18,18,87,98,79,111,85,90,384,-1,-1,-1,-1,0,0,0,1.40448,0,18,18,18,48,48,48,48,48,48,810,-1,-1,-1,-1,18,0,0,5,35.22008,15,9,18,18,69,103,83,64,67,102,184,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,513,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,151,654,628,313,-1,0,281,0,23.42084,14,17,18,18,85,73,70,123,116,76,381,-1,-1,-1,-1,0,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,0,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,239,433,620,-1,-1,0,270,0,0,10,161,200
24,8.07572,17,16,18,18,88,86,111,81,98,33,308,718,-1,-1,-1,0,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,668,194,90,282,-1,0,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,194,389,528,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,729,721,-1,-1,-1,43,272,6,0.64576,3,8,18,18,87,98,79,111,85,90,384,-1,-1,-1,-1,0,0,0,1.40448,0,18,18,18,48,48,48,48,48,48,810,414,-1,-1,-1,18,0,4,5,35.22008,15,9,18,18,69,103,83,64,67,102,184,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,513,-1,-1,-1,-1,45,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,151,654,628,313,-1,0,281,0,23.42084,14,17,18,18,85,73,70,123,116,76,381,-1,-1,-1,-1,0,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,0,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,239,433,620,-1,-1,0,270,0,1,1,161,145
25,8.07572,17,16,18,18,88,86,111,81,98,33,308,718,-1,-1,-1,0,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,668,194,90,282,-1,0,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,194,389,528,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,729,721,-1,-1,-1,43,272,6,0.64576,3,8,18,18,87,98,79,111,85,90,384,-1,-1,-1,-1,0,0,0,1.40448,0,18,18,18,48,48,48,48,48,48,810,414,-1,-1,-1,0,0,4,2,35.22008,15,9,18,18,69,103,83,64,67,102,184,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,513,389,-1,-1,-1,45,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,151,654,628,313,-1,0,281,0,23.42084,14,17,18,18,85,73,70,123,116,76,381,-1,-1,-1,-1,0,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,0,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,239,433,620,-1,-1,0,270,0,1,7,143,145
26,8.07572,17,16,18,18,88,86,111,81,98,33,308,718,-1,-1,-1,0,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,668,194,90,282,-1,0,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,194,389,528,-1,-1,89,234,0,21.46408,13,9,18,18,63,80,131,78,95,73,729,721,-1,-1,-1,43,272,6,0.64576,3,8,18,18,87,98,79,111,85,90,384,-1,-1,-1,-1,0,0,0,1.40448,0,18,18,18,48,48,48,48,48,48,810,414,-1,-1,-1,0,0,4,2,35.22008,15,9,18,18,69,103,83,64,67,102,184,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,513,389,-1,-1,-1,0,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,151,654,628,313,-1,0,281,0,23.42084,14,17,18,18,85,73,70,123,116,76,381,-1,-1,-1,-1,0,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,0,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,239,433,620,-1,-1,0,270,0,0,1,132,100
27,8.07572,17,16,18,18,88,86,111,81,98,33,308,718,-1,-1,-1,0,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,668,194,90,282,-1,0,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,194,389,528,414,-1,23,234,0,21.46408,13,9,18,18,63,80,131,78,95,73,729,721,-1,-1,-1,43,272,6,0.64576,3,8,18,18,87,98,79,111,85,90,384,-1,-1,-1,-1,0,0,0,1.40448,0,18,18,18,48,48,48,48,48,48,810,414,-1,-1,-1,0,0,4,2,35.22008,15,9,18,18,69,103,83,64,67,102,184,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,513,389,-1,-1,-1,0,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,151,654,628,313,-1,0,281,0,23.42084,14,17,18,18,85,73,70,123,116,76,381,-1,-1,-1,-1,0,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,0,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,239,433,620,-1,-1,0,270,0,0,3,66,100
28,8.07572,17,16,18,18,88,86,111,81,98,33,308,718,-1,-1,-1,0,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,668,194,90,282,-1,0,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,194,389,528,414,-1,0,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,729,721,-1,-1,-1,43,272,6,0.64576,3,8,18,18,87,98,79,111,85,90,384,-1,-1,-1,-1,0,0,0,1.40448,0,18,18,18,48,48,48,48,48,48,810,414,-1,-1,-1,0,0,4,3,35.22008,15,9,18,18,69,103,83,64,67,102,184,414,-1,-1,-1,44,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,513,389,-1,-1,-1,0,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,151,654,628,313,-1,0,281,0,23.42084,14,17,18,18,85,73,70,123,116,76,381,-1,-1,-1,-1,0,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,0,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,239,433,620,-1,-1,0,270,0,0,8,43,44
29,8.07572,17,16,18,18,88,86,111,81,98,33,308,718,-1,-1,-1,0,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,668,194,90,282,-1,0,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,194,389,528,414,-1,0,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,729,721,-1,-1,-1,0,0,6,0.64576,3,8,18,18,87,98,79,111,85,90,384,-1,-1,-1,-1,0,0,0,1.40448,0,18,18,18,48,48,48,48,48,48,810,414,-1,-1,-1,0,0,4,3,35.22008,15,9,18,18,69,103,83,64,67,102,184,414,-1,-1,-1,44,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,513,389,-1,-1,-1,0,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,151,654,628,313,-1,0,281,0,23.42084,14,17,18,18,85,73,70,123,116,76,381,-1,-1,-1,-1,0,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,0,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,239,433,620,-1,-1,0,270,0,0,8,0,44
