turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value,player1_elo,player2_elo,win
0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,15.60604,2,2,18,18,103,63,121,91,110,45,-1,-1,-1,-1,-1,100,0,0,0.76592,1,1,18,18,76,78,76,99,90,100,-1,-1,-1,-1,-1,100,0,0,6.04496,0,9,18,18,83,117,83,70,73,77,-1,-1,-1,-1,-1,100,0,0,3,6.08872,12,9,18,18,91,125,63,63,58,106,-1,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0,0,9.55964,13,3,18,18,63,73,60,119,70,108,-1,-1,-1,-1,-1,100,0,0,13.75408,4,5,18,18,91,113,91,103,96,80,-1,-1,-1,-1,-1,100,0,0,22.9372,15,8,18,18,79,128,96,66,75,91,-1,-1,-1,-1,-1,100,0,0,6.04496,0,9,18,18,83,117,83,70,73,77,-1,-1,-1,-1,-1,100,0,0,2,8,600,600,,,0.0,1232,1193,0
1,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,15.60604,2,2,18,18,103,63,121,91,110,45,-1,-1,-1,-1,-1,100,0,0,0.76592,1,1,18,18,76,78,76,99,90,100,-1,-1,-1,-1,-1,100,0,0,6.04496,0,9,18,18,83,117,83,70,73,77,-1,-1,-1,-1,-1,100,0,0,0,6.08872,12,9,18,18,91,125,63,63,58,106,-1,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0,0,9.55964,13,3,18,18,63,73,60,119,70,108,793,-1,-1,-1,-1,100,0,0,13.75408,4,5,18,18,91,113,91,103,96,80,-1,-1,-1,-1,-1,100,0,0,22.9372,15,8,18,18,79,128,96,66,75,91,-1,-1,-1,-1,-1,100,0,0,6.04496,0,9,18,18,83,117,83,70,73,77,-1,-1,-1,-1,-1,100,0,0,2,5,600,600,600.0,600.0,0.0,1232,1193,0
2,20.60264,8,5,18,18,86,119,70,58,75,114,414,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,15.60604,2,2,18,18,103,63,121,91,110,45,-1,-1,-1,-1,-1,100,0,0,0.76592,1,1,18,18,76,78,76,99,90,100,-1,-1,-1,-1,-1,100,0,0,6.04496,0,9,18,18,83,117,83,70,73,77,-1,-1,-1,-1,-1,100,0,0,0,6.08872,12,9,18,18,91,125,63,63,58,106,-1,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0,0,9.55964,13,3,18,18,63,73,60,119,70,108,793,735,-1,-1,-1,1,0,0,13.75408,4,5,18,18,91,113,91,103,96,80,-1,-1,-1,-1,-1,100,0,0,22.9372,15,8,18,18,79,128,96,66,75,91,-1,-1,-1,-1,-1,100,0,0,6.04496,0,9,18,18,83,117,83,70,73,77,-1,-1,-1,-1,-1,100,0,0,2,5,600,501,600.0,600.0,0.99,1232,1193,0
3,20.60264,8,5,18,18,86,119,70,58,75,114,414,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,15.60604,2,2,18,18,103,63,121,91,110,45,-1,-1,-1,-1,-1,100,0,0,0.76592,1,1,18,18,76,78,76,99,90,100,-1,-1,-1,-1,-1,100,0,0,6.04496,0,9,18,18,83,117,83,70,73,77,-1,-1,-1,-1,-1,100,0,0,0,6.08872,12,9,18,18,91,125,63,63,58,106,-1,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0,0,9.55964,13,3,18,18,63,73,60,119,70,108,793,735,-1,-1,-1,0,0,0,13.75408,4,5,18,18,91,113,91,103,96,80,-1,-1,-1,-1,-1,100,0,0,22.9372,15,8,18,18,79,128,96,66,75,91,-1,-1,-1,-1,-1,100,0,0,6.04496,0,9,18,18,83,117,83,70,73,77,-1,-1,-1,-1,-1,100,0,0,0,1,600,500,501.0,600.0,0.01,1232,1193,0
4,20.60264,8,5,18,18,86,119,70,58,75,114,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,15.60604,2,2,18,18,103,63,121,91,110,45,-1,-1,-1,-1,-1,100,0,0,0.76592,1,1,18,18,76,78,76,99,90,100,-1,-1,-1,-1,-1,100,0,0,6.04496,0,9,18,18,83,117,83,70,73,77,-1,-1,-1,-1,-1,100,0,0,5,6.08872,12,9,18,18,91,125,63,63,58,106,317,-1,-1,-1,-1,1,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0,0,9.55964,13,3,18,18,63,73,60,119,70,108,793,735,-1,-1,-1,0,0,0,13.75408,4,5,18,18,91,113,91,103,96,80,-1,-1,-1,-1,-1,100,0,0,22.9372,15,8,18,18,79,128,96,66,75,91,-1,-1,-1,-1,-1,100,0,0,6.04496,0,9,18,18,83,117,83,70,73,77,-1,-1,-1,-1,-1,100,0,0,0,10,500,401,500.0,600.0,1.49,1232,1193,0
5,20.60264,8,5,18,18,86,119,70,58,75,114,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,15.60604,2,2,18,18,103,63,121,91,110,45,-1,-1,-1,-1,-1,100,0,0,0.76592,1,1,18,18,76,78,76,99,90,100,-1,-1,-1,-1,-1,100,0,0,6.04496,0,9,18,18,83,117,83,70,73,77,767,-1,-1,-1,-1,100,0,0,5,6.08872,12,9,18,18,91,125,63,63,58,106,317,-1,-1,-1,-1,1,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0,0,9.55964,13,3,18,18,63,73,60,119,70,108,793,735,-1,-1,-1,0,0,0,13.75408,4,5,18,18,91,113,91,103,96,80,-1,-1,-1,-1,-1,100,0,0,22.9372,15,8,18,18,79,128,96,66,75,91,-1,-1,-1,-1,-1,100,0,0,6.04496,0,9,18,18,83,117,83,70,73,77,-1,-1,-1,-1,-1,100,0,0,0,10,500,401,401.0,500.0,0.0,1232,1193,0
6,20.60264,8,5,18,18,86,119,70,58,75,114,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,15.60604,2,2,18,18,103,63,121,91,110,45,-1,-1,-1,-1,-1,100,0,0,0.76592,1,1,18,18,76,78,76,99,90,100,-1,-1,-1,-1,-1,100,0,0,6.04496,0,9,18,18,83,117,83,70,73,77,767,217,-1,-1,-1,100,0,0,5,6.08872,12,9,18,18,91,125,63,63,58,106,317,-1,-1,-1,-1,0,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0,0,9.55964,13,3,18,18,63,73,60,119,70,108,793,735,-1,-1,-1,0,0,0,13.75408,4,5,18,18,91,113,91,103,96,80,-1,-1,-1,-1,-1,100,0,0,22.9372,15,8,18,18,79,128,96,66,75,91,-1,-1,-1,-1,-1,100,0,0,6.04496,0,9,18,18,83,117,83,70,73,77,-1,-1,-1,-1,-1,100,0,0,1,1,500,400,401.0,500.0,0.01,1232,1193,0
7,20.60264,8,5,18,18,86,119,70,58,75,114,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,7.645,3,9,18,18,85,93,111,98,85,96,-1,-1,-1,-1,-1,100,0,0,15.60604,2,2,18,18,103,63,121,91,110,45,-1,-1,-1,-1,-1,100,0,0,0.76592,1,1,18,18,76,78,76,99,90,100,-1,-1,-1,-1,-1,100,0,0,6.04496,0,9,18,18,83,117,83,70,73,77,767,217,-1,-1,-1,0,0,0,2,6.08872,12,9,18,18,91,125,63,63,58,106,317,-1,-1,-1,-1,0,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,403,-1,-1,-1,-1,91,270,0,9.55964,13,3,18,18,63,73,60,119,70,108,793,735,-1,-1,-1,0,0,0,13.75408,4,5,18,18,91,113,91,103,96,80,-1,-1,-1,-1,-1,100,0,0,22.9372,15,8,18,18,79,128,96,66,75,91,-1,-1,-1,-1,-1,100,0,0,6.04496,0,9,18,18,83,117,83,70,73,77,-1,-1,-1,-1,-1,100,0,0,1,7,400,391,400.0,500.0,0.59,1232,1193,0
8,20.60264,8,5,18,18,86,119,70,58,75,114,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,7.645,3,9,18,18,85,93,111,98,85,96,151,-1,-1,-1,-1,100,272,6,15.60604,2,2,18,18,103,63,121,91,110,45,-1,-1,-1,-1,-1,100,0,0,0.76592,1,1,18,18,76,78,76,99,90,100,-1,-1,-1,-1,-1,100,0,0,6.04496,0,9,18,18,83,117,83,70,73,77,767,217,-1,-1,-1,0,0,0,2,6.08872,12,9,18,18,91,125,63,63,58,106,317,-1,-1,-1,-1,0,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,403,-1,-1,-1,-1,91,270,0,9.55964,13,3,18,18,63,73,60,119,70,108,793,735,-1,-1,-1,0,0,0,13.75408,4,5,18,18,91,113,91,103,96,80,-1,-1,-1,-1,-1,100,0,0,22.9372,15,8,18,18,79,128,96,66,75,91,-1,-1,-1,-1,-1,100,0,0,6.04496,0,9,18,18,83,117,83,70,73,77,-1,-1,-1,-1,-1,100,0,0,3,7,400,391,391.0,400.0,0.0,1232,1193,0
9,20.60264,8,5,18,18,86,119,70,58,75,114,414,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,7.645,3,9,18,18,85,93,111,98,85,96,151,825,-1,-1,-1,34,272,6,15.60604,2,2,18,18,103,63,121,91,110,45,-1,-1,-1,-1,-1,100,0,0,0.76592,1,1,18,18,76,78,76,99,90,100,-1,-1,-1,-1,-1,100,0,0,6.04496,0,9,18,18,83,117,83,70,73,77,767,217,-1,-1,-1,0,0,0,1,6.08872,12,9,18,18,91,125,63,63,58,106,317,-1,-1,-1,-1,0,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,403,-1,-1,-1,-1,91,270,0,9.55964,13,3,18,18,63,73,60,119,70,108,793,735,-1,-1,-1,0,0,0,13.75408,4,5,18,18,91,113,91,103,96,80,384,-1,-1,-1,-1,74,234,0,22.9372,15,8,18,18,79,128,96,66,75,91,-1,-1,-1,-1,-1,100,0,0,6.04496,0,9,18,18,83,117,83,70,73,77,-1,-1,-1,-1,-1,100,0,0,3,6,334,365,391.0,400.0,0.59,1232,1193,0
