turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value,player1_elo,player2_elo,win
10,5.29272,17,13,18,18,78,90,114,85,105,50,458,486,95,704,-1,21,234,6,15.62464,8,14,18,18,90,105,80,70,73,97,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,0,8.98348,15,9,18,18,88,85,120,55,111,85,567,-1,-1,-1,-1,100,272,6,23.32156,17,16,18,18,90,71,121,98,136,53,381,-1,-1,-1,-1,93,234,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,7.0864,14,8,18,18,96,131,95,93,95,94,-1,-1,-1,-1,-1,100,0,0,4.96028,3,4,18,18,83,85,68,111,95,118,-1,-1,-1,-1,-1,100,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,806,313,-1,-1,-1,42,234,0,5,2,521,535,553.0,552.0,0.335,1079,1205,1
11,5.29272,17,13,18,18,78,90,114,85,105,50,458,486,95,704,-1,34,234,6,15.62464,8,14,18,18,90,105,80,70,73,97,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,0,8.98348,15,9,18,18,88,85,120,55,111,85,567,-1,-1,-1,-1,100,272,6,23.32156,17,16,18,18,90,71,121,98,136,53,381,-1,-1,-1,-1,93,234,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,7.0864,14,8,18,18,96,131,95,93,95,94,-1,-1,-1,-1,-1,100,0,0,4.96028,3,4,18,18,83,85,68,111,95,118,-1,-1,-1,-1,-1,100,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,806,313,628,-1,-1,98,234,0,5,4,534,591,535.0,521.0,-0.495,1079,1205,1
12,5.29272,17,13,18,18,78,90,114,85,105,50,458,486,95,704,-1,34,234,6,15.62464,8,14,18,18,90,105,80,70,73,97,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1,8.98348,15,9,18,18,88,85,120,55,111,85,567,-1,-1,-1,-1,100,272,6,23.32156,17,16,18,18,90,71,121,98,136,53,381,-1,-1,-1,-1,93,234,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,7.0864,14,8,18,18,96,131,95,93,95,94,-1,-1,-1,-1,-1,100,0,0,4.96028,3,4,18,18,83,85,68,111,95,118,-1,-1,-1,-1,-1,100,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,806,313,628,-1,-1,100,234,0,5,6,534,593,591.0,534.0,-0.02,1079,1205,1
13,5.29272,17,13,18,18,78,90,114,85,105,50,458,486,95,704,-1,34,234,6,15.62464,8,14,18,18,90,105,80,70,73,97,414,-1,-1,-1,-1,84,270,6,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1,8.98348,15,9,18,18,88,85,120,55,111,85,567,-1,-1,-1,-1,100,272,6,23.32156,17,16,18,18,90,71,121,98,136,53,381,-1,-1,-1,-1,93,234,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,7.0864,14,8,18,18,96,131,95,93,95,94,-1,-1,-1,-1,-1,100,0,0,4.96028,3,4,18,18,83,85,68,111,95,118,-1,-1,-1,-1,-1,100,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,806,313,628,-1,-1,58,0,0,5,6,518,551,593.0,534.0,0.5,1079,1205,1
14,5.29272,17,13,18,18,78,90,114,85,105,50,458,486,95,704,-1,34,234,6,15.62464,8,14,18,18,90,105,80,70,73,97,414,174,-1,-1,-1,62,270,6,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1,8.98348,15,9,18,18,88,85,120,55,111,85,567,-1,-1,-1,-1,100,272,6,23.32156,17,16,18,18,90,71,121,98,136,53,381,-1,-1,-1,-1,93,234,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,7.0864,14,8,18,18,96,131,95,93,95,94,-1,-1,-1,-1,-1,100,0,0,4.96028,3,4,18,18,83,85,68,111,95,118,-1,-1,-1,-1,-1,100,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,806,313,628,-1,-1,72,0,0,5,1,496,565,551.0,518.0,-0.03,1079,1205,1
15,5.29272,17,13,18,18,78,90,114,85,105,50,458,486,95,704,-1,34,234,6,15.62464,8,14,18,18,90,105,80,70,73,97,414,174,194,-1,-1,33,270,6,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1,8.98348,15,9,18,18,88,85,120,55,111,85,567,-1,-1,-1,-1,100,272,6,23.32156,17,16,18,18,90,71,121,98,136,53,381,-1,-1,-1,-1,93,234,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,7.0864,14,8,18,18,96,131,95,93,95,94,-1,-1,-1,-1,-1,100,0,0,4.96028,3,4,18,18,83,85,68,111,95,118,-1,-1,-1,-1,-1,100,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,806,313,628,-1,-1,79,0,0,5,2,467,572,565.0,496.0,0.075,1079,1205,1
16,5.29272,17,13,18,18,78,90,114,85,105,50,458,486,95,704,-1,34,234,6,15.62464,8,14,18,18,90,105,80,70,73,97,414,174,194,-1,-1,33,270,6,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,2,8.98348,15,9,18,18,88,85,120,55,111,85,567,-1,-1,-1,-1,100,272,6,23.32156,17,16,18,18,90,71,121,98,136,53,381,-1,-1,-1,-1,93,234,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,7.0864,14,8,18,18,96,131,95,93,95,94,-1,-1,-1,-1,-1,100,0,0,4.96028,3,4,18,18,83,85,68,111,95,118,-1,-1,-1,-1,-1,100,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,806,313,628,-1,-1,79,0,0,0,7,467,572,572.0,467.0,0.0,1079,1205,1
17,5.29272,17,13,18,18,78,90,114,85,105,50,458,486,95,704,-1,34,234,6,15.62464,8,14,18,18,90,105,80,70,73,97,414,174,194,-1,-1,33,270,6,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,2,8.98348,15,9,18,18,88,85,120,55,111,85,567,-1,-1,-1,-1,0,272,6,23.32156,17,16,18,18,90,71,121,98,136,53,381,-1,-1,-1,-1,93,234,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,7.0864,14,8,18,18,96,131,95,93,95,94,-1,-1,-1,-1,-1,100,0,0,4.96028,3,4,18,18,83,85,68,111,95,118,-1,-1,-1,-1,-1,100,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,806,313,628,-1,-1,79,0,0,4,1,467,472,572.0,467.0,1.0,1079,1205,1
18,5.29272,17,13,18,18,78,90,114,85,105,50,458,486,95,704,-1,34,234,6,15.62464,8,14,18,18,90,105,80,70,73,97,414,174,194,-1,-1,33,270,6,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,2,8.98348,15,9,18,18,88,85,120,55,111,85,567,-1,-1,-1,-1,0,272,6,23.32156,17,16,18,18,90,71,121,98,136,53,381,-1,-1,-1,-1,93,234,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,7.0864,14,8,18,18,96,131,95,93,95,94,-1,-1,-1,-1,-1,100,0,0,4.96028,3,4,18,18,83,85,68,111,95,118,-1,-1,-1,-1,-1,0,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,806,313,628,-1,-1,79,0,0,1,1,467,372,472.0,467.0,1.0,1079,1205,1
19,5.29272,17,13,18,18,78,90,114,85,105,50,458,486,95,704,-1,34,234,6,15.62464,8,14,18,18,90,105,80,70,73,97,414,174,194,-1,-1,33,270,6,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,3,8.98348,15,9,18,18,88,85,120,55,111,85,567,-1,-1,-1,-1,0,272,6,23.32156,17,16,18,18,90,71,121,98,136,53,381,95,-1,-1,-1,99,234,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,7.0864,14,8,18,18,96,131,95,93,95,94,-1,-1,-1,-1,-1,100,0,0,4.96028,3,4,18,18,83,85,68,111,95,118,-1,-1,-1,-1,-1,0,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,806,313,628,-1,-1,79,0,0,1,8,467,378,372.0,467.0,-0.06,1079,1205,1
20,5.29272,17,13,18,18,78,90,114,85,105,50,458,486,95,704,-1,34,234,6,15.62464,8,14,18,18,90,105,80,70,73,97,414,174,194,-1,-1,33,270,6,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,414,-1,-1,-1,-1,0,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,5,8.98348,15,9,18,18,88,85,120,55,111,85,567,-1,-1,-1,-1,0,272,6,23.32156,17,16,18,18,90,71,121,98,136,53,381,95,-1,-1,-1,86,0,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,7.0864,14,8,18,18,96,131,95,93,95,94,-1,-1,-1,-1,-1,100,0,0,4.96028,3,4,18,18,83,85,68,111,95,118,-1,-1,-1,-1,-1,0,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,806,313,628,-1,-1,79,0,0,1,10,367,365,378.0,467.0,0.63,1079,1205,1
21,5.29272,17,13,18,18,78,90,114,85,105,50,458,486,95,704,-1,34,234,6,15.62464,8,14,18,18,90,105,80,70,73,97,414,174,194,-1,-1,33,270,6,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,414,-1,-1,-1,-1,0,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,567,-1,-1,-1,-1,100,0,0,5,8.98348,15,9,18,18,88,85,120,55,111,85,567,-1,-1,-1,-1,0,272,6,23.32156,17,16,18,18,90,71,121,98,136,53,381,95,567,-1,-1,86,0,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,7.0864,14,8,18,18,96,131,95,93,95,94,-1,-1,-1,-1,-1,100,0,0,4.96028,3,4,18,18,83,85,68,111,95,118,-1,-1,-1,-1,-1,0,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,806,313,628,-1,-1,79,0,0,1,10,367,365,365.0,367.0,0.0,1079,1205,1
22,5.29272,17,13,18,18,78,90,114,85,105,50,458,486,95,704,-1,34,234,6,15.62464,8,14,18,18,90,105,80,70,73,97,414,174,194,-1,-1,33,270,6,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,414,-1,-1,-1,-1,0,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,567,729,-1,-1,-1,100,0,0,5,8.98348,15,9,18,18,88,85,120,55,111,85,567,-1,-1,-1,-1,0,272,6,23.32156,17,16,18,18,90,71,121,98,136,53,381,95,567,-1,-1,86,0,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,7.0864,14,8,18,18,96,131,95,93,95,94,-1,-1,-1,-1,-1,100,0,0,4.96028,3,4,18,18,83,85,68,111,95,118,-1,-1,-1,-1,-1,0,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,806,313,628,-1,-1,79,0,0,5,1,367,365,365.0,367.0,0.0,1079,1205,1
23,5.29272,17,13,18,18,78,90,114,85,105,50,458,486,95,704,-1,34,234,6,15.62464,8,14,18,18,90,105,80,70,73,97,414,174,194,-1,-1,33,270,6,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,414,-1,-1,-1,-1,0,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,567,729,632,-1,-1,100,234,0,5,8.98348,15,9,18,18,88,85,120,55,111,85,567,-1,-1,-1,-1,0,272,6,23.32156,17,16,18,18,90,71,121,98,136,53,381,95,567,-1,-1,86,0,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,7.0864,14,8,18,18,96,131,95,93,95,94,-1,-1,-1,-1,-1,100,0,0,4.96028,3,4,18,18,83,85,68,111,95,118,-1,-1,-1,-1,-1,0,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,806,313,628,595,-1,62,0,2,5,2,367,348,365.0,367.0,0.17,1079,1205,1
24,5.29272,17,13,18,18,78,90,114,85,105,50,458,486,95,704,-1,34,234,6,15.62464,8,14,18,18,90,105,80,70,73,97,414,174,194,-1,-1,33,270,6,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,414,-1,-1,-1,-1,0,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,567,729,632,-1,-1,100,234,0,5,8.98348,15,9,18,18,88,85,120,55,111,85,567,-1,-1,-1,-1,0,272,6,23.32156,17,16,18,18,90,71,121,98,136,53,381,95,567,-1,-1,86,0,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,7.0864,14,8,18,18,96,131,95,93,95,94,-1,-1,-1,-1,-1,100,0,0,4.96028,3,4,18,18,83,85,68,111,95,118,-1,-1,-1,-1,-1,0,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,806,313,628,595,-1,56,0,2,5,1,367,342,348.0,367.0,0.06,1079,1205,1
25,5.29272,17,13,18,18,78,90,114,85,105,50,458,486,95,704,-1,34,234,6,15.62464,8,14,18,18,90,105,80,70,73,97,414,174,194,-1,-1,33,270,6,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,100,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,414,-1,-1,-1,-1,0,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,567,729,632,-1,-1,100,234,0,5,8.98348,15,9,18,18,88,85,120,55,111,85,567,-1,-1,-1,-1,0,272,6,23.32156,17,16,18,18,90,71,121,98,136,53,381,95,567,-1,-1,86,0,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,7.0864,14,8,18,18,96,131,95,93,95,94,-1,-1,-1,-1,-1,100,0,0,4.96028,3,4,18,18,83,85,68,111,95,118,-1,-1,-1,-1,-1,0,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,806,313,628,595,-1,56,0,2,5,1,367,342,342.0,367.0,0.0,1079,1205,1
