turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value,player1_elo,player2_elo,win
10,8.42952,2,16,18,18,83,71,101,103,96,63,384,835,-1,-1,-1,63,0,0,28.31716,9,0,18,18,85,76,73,109,78,101,-1,-1,-1,-1,-1,100,0,0,10.35652,14,7,18,18,110,90,73,113,100,98,-1,-1,-1,-1,-1,0,234,0,21.17876,4,13,18,18,86,66,138,105,68,36,654,260,-1,-1,-1,82,0,6,2.50488,11,2,18,18,66,120,103,58,76,75,825,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,-1,-1,-1,-1,100,0,0,5,20.00284,0,15,18,18,63,95,68,76,84,105,-1,-1,-1,-1,-1,100,0,0,22.93828,4,9,18,18,74,94,127,51,102,70,427,718,-1,-1,-1,57,272,6,7.781,0,9,18,18,87,116,86,123,83,83,-1,-1,-1,-1,-1,100,0,0,22.2572,13,8,18,18,76,105,93,123,88,94,-1,-1,-1,-1,-1,100,0,0,12.8518,16,7,18,18,58,70,70,96,83,98,152,806,151,-1,-1,0,234,0,7.61172,15,6,18,18,70,123,66,86,63,78,740,508,-1,-1,-1,0,0,0,3,10,445,357,393.0,445.0,0.36,1056,1000,0
11,8.42952,2,16,18,18,83,71,101,103,96,63,384,835,-1,-1,-1,63,0,0,28.31716,9,0,18,18,85,76,73,109,78,101,-1,-1,-1,-1,-1,100,0,0,10.35652,14,7,18,18,110,90,73,113,100,98,-1,-1,-1,-1,-1,0,234,0,21.17876,4,13,18,18,86,66,138,105,68,36,654,260,-1,-1,-1,82,0,6,2.50488,11,2,18,18,66,120,103,58,76,75,825,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,-1,-1,-1,-1,0,0,0,0,20.00284,0,15,18,18,63,95,68,76,84,105,-1,-1,-1,-1,-1,100,0,0,22.93828,4,9,18,18,74,94,127,51,102,70,427,718,-1,-1,-1,57,272,6,7.781,0,9,18,18,87,116,86,123,83,83,-1,-1,-1,-1,-1,100,0,0,22.2572,13,8,18,18,76,105,93,123,88,94,233,-1,-1,-1,-1,100,0,0,12.8518,16,7,18,18,58,70,70,96,83,98,152,806,151,-1,-1,0,234,0,7.61172,15,6,18,18,70,123,66,86,63,78,740,508,-1,-1,-1,0,0,0,3,5,345,357,357.0,445.0,0.5,1056,1000,0
12,8.42952,2,16,18,18,83,71,101,103,96,63,384,835,806,-1,-1,63,0,0,28.31716,9,0,18,18,85,76,73,109,78,101,-1,-1,-1,-1,-1,100,0,0,10.35652,14,7,18,18,110,90,73,113,100,98,-1,-1,-1,-1,-1,0,234,0,21.17876,4,13,18,18,86,66,138,105,68,36,654,260,-1,-1,-1,82,0,6,2.50488,11,2,18,18,66,120,103,58,76,75,825,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,-1,-1,-1,-1,0,0,0,0,20.00284,0,15,18,18,63,95,68,76,84,105,-1,-1,-1,-1,-1,95,0,6,22.93828,4,9,18,18,74,94,127,51,102,70,427,718,-1,-1,-1,57,272,6,7.781,0,9,18,18,87,116,86,123,83,83,-1,-1,-1,-1,-1,100,0,0,22.2572,13,8,18,18,76,105,93,123,88,94,233,-1,-1,-1,-1,100,0,0,12.8518,16,7,18,18,58,70,70,96,83,98,152,806,151,-1,-1,0,234,0,7.61172,15,6,18,18,70,123,66,86,63,78,740,508,-1,-1,-1,0,0,0,0,2,345,352,357.0,345.0,0.05,1056,1000,0
13,8.42952,2,16,18,18,83,71,101,103,96,63,384,835,806,-1,-1,11,0,0,28.31716,9,0,18,18,85,76,73,109,78,101,-1,-1,-1,-1,-1,100,0,0,10.35652,14,7,18,18,110,90,73,113,100,98,-1,-1,-1,-1,-1,0,234,0,21.17876,4,13,18,18,86,66,138,105,68,36,654,260,-1,-1,-1,82,0,6,2.50488,11,2,18,18,66,120,103,58,76,75,825,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,-1,-1,-1,-1,0,0,0,4,20.00284,0,15,18,18,63,95,68,76,84,105,364,-1,-1,-1,-1,57,0,6,22.93828,4,9,18,18,74,94,127,51,102,70,427,718,-1,-1,-1,57,272,6,7.781,0,9,18,18,87,116,86,123,83,83,-1,-1,-1,-1,-1,100,0,0,22.2572,13,8,18,18,76,105,93,123,88,94,233,-1,-1,-1,-1,100,0,0,12.8518,16,7,18,18,58,70,70,96,83,98,152,806,151,-1,-1,0,234,0,7.61172,15,6,18,18,70,123,66,86,63,78,740,508,-1,-1,-1,0,0,0,0,9,293,314,352.0,345.0,0.64,1056,1000,0
14,8.42952,2,16,18,18,83,71,101,103,96,63,384,835,806,-1,-1,11,0,0,28.31716,9,0,18,18,85,76,73,109,78,101,-1,-1,-1,-1,-1,100,0,0,10.35652,14,7,18,18,110,90,73,113,100,98,-1,-1,-1,-1,-1,0,234,0,21.17876,4,13,18,18,86,66,138,105,68,36,654,260,-1,-1,-1,82,0,6,2.50488,11,2,18,18,66,120,103,58,76,75,825,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,-1,-1,-1,-1,0,0,0,1,20.00284,0,15,18,18,63,95,68,76,84,105,364,-1,-1,-1,-1,0,0,6,22.93828,4,9,18,18,74,94,127,51,102,70,427,718,-1,-1,-1,57,272,6,7.781,0,9,18,18,87,116,86,123,83,83,-1,-1,-1,-1,-1,100,0,0,22.2572,13,8,18,18,76,105,93,123,88,94,233,-1,-1,-1,-1,100,0,0,12.8518,16,7,18,18,58,70,70,96,83,98,152,806,151,-1,-1,0,234,0,7.61172,15,6,18,18,70,123,66,86,63,78,740,508,-1,-1,-1,0,0,0,2,6,293,257,314.0,293.0,0.57,1056,1000,0
15,8.42952,2,16,18,18,83,71,101,103,96,63,384,835,806,-1,-1,11,0,0,28.31716,9,0,18,18,85,76,73,109,78,101,-1,-1,-1,-1,-1,0,0,0,10.35652,14,7,18,18,110,90,73,113,100,98,-1,-1,-1,-1,-1,0,234,0,21.17876,4,13,18,18,86,66,138,105,68,36,654,260,-1,-1,-1,82,0,6,2.50488,11,2,18,18,66,120,103,58,76,75,825,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,-1,-1,-1,-1,0,0,0,4,20.00284,0,15,18,18,63,95,68,76,84,105,364,-1,-1,-1,-1,0,0,6,22.93828,4,9,18,18,74,94,127,51,102,70,427,718,-1,-1,-1,57,272,6,7.781,0,9,18,18,87,116,86,123,83,83,217,-1,-1,-1,-1,100,0,0,22.2572,13,8,18,18,76,105,93,123,88,94,233,-1,-1,-1,-1,100,0,0,12.8518,16,7,18,18,58,70,70,96,83,98,152,806,151,-1,-1,0,234,0,7.61172,15,6,18,18,70,123,66,86,63,78,740,508,-1,-1,-1,0,0,0,2,9,193,257,257.0,293.0,0.5,1056,1000,0
16,8.42952,2,16,18,18,83,71,101,103,96,63,384,835,806,-1,-1,11,0,0,28.31716,9,0,18,18,85,76,73,109,78,101,-1,-1,-1,-1,-1,0,0,0,10.35652,14,7,18,18,110,90,73,113,100,98,-1,-1,-1,-1,-1,0,234,0,21.17876,4,13,18,18,86,66,138,105,68,36,654,260,-1,-1,-1,82,0,6,2.50488,11,2,18,18,66,120,103,58,76,75,825,135,-1,-1,-1,7,234,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,-1,-1,-1,-1,0,0,0,4,20.00284,0,15,18,18,63,95,68,76,84,105,364,-1,-1,-1,-1,0,0,6,22.93828,4,9,18,18,74,94,127,51,102,70,427,718,-1,-1,-1,57,272,6,7.781,0,9,18,18,87,116,86,123,83,83,217,-1,-1,-1,-1,0,0,0,22.2572,13,8,18,18,76,105,93,123,88,94,233,-1,-1,-1,-1,100,0,0,12.8518,16,7,18,18,58,70,70,96,83,98,152,806,151,-1,-1,0,234,0,7.61172,15,6,18,18,70,123,66,86,63,78,740,508,-1,-1,-1,0,0,0,1,1,100,157,257.0,193.0,1.465,1056,1000,0
17,8.42952,2,16,18,18,83,71,101,103,96,63,384,835,806,-1,-1,11,0,0,28.31716,9,0,18,18,85,76,73,109,78,101,-1,-1,-1,-1,-1,0,0,0,10.35652,14,7,18,18,110,90,73,113,100,98,-1,-1,-1,-1,-1,0,234,0,21.17876,4,13,18,18,86,66,138,105,68,36,654,260,-1,-1,-1,82,0,6,2.50488,11,2,18,18,66,120,103,58,76,75,825,135,154,-1,-1,13,234,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,-1,-1,-1,-1,0,0,0,4,20.00284,0,15,18,18,63,95,68,76,84,105,364,-1,-1,-1,-1,0,0,6,22.93828,4,9,18,18,74,94,127,51,102,70,427,718,-1,-1,-1,69,272,6,7.781,0,9,18,18,87,116,86,123,83,83,217,-1,-1,-1,-1,0,0,0,22.2572,13,8,18,18,76,105,93,123,88,94,233,-1,-1,-1,-1,100,0,0,12.8518,16,7,18,18,58,70,70,96,83,98,152,806,151,-1,-1,0,234,0,7.61172,15,6,18,18,70,123,66,86,63,78,740,508,-1,-1,-1,0,0,0,1,2,106,169,157.0,100.0,-0.09,1056,1000,0
18,8.42952,2,16,18,18,83,71,101,103,96,63,384,835,806,-1,-1,0,0,0,28.31716,9,0,18,18,85,76,73,109,78,101,-1,-1,-1,-1,-1,0,0,0,10.35652,14,7,18,18,110,90,73,113,100,98,-1,-1,-1,-1,-1,0,234,0,21.17876,4,13,18,18,86,66,138,105,68,36,654,260,-1,-1,-1,82,0,6,2.50488,11,2,18,18,66,120,103,58,76,75,825,135,154,-1,-1,13,234,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,-1,-1,-1,-1,0,0,0,4,20.00284,0,15,18,18,63,95,68,76,84,105,364,-1,-1,-1,-1,0,0,6,22.93828,4,9,18,18,74,94,127,51,102,70,427,718,789,-1,-1,58,272,6,7.781,0,9,18,18,87,116,86,123,83,83,217,-1,-1,-1,-1,0,0,0,22.2572,13,8,18,18,76,105,93,123,88,94,233,-1,-1,-1,-1,100,0,0,12.8518,16,7,18,18,58,70,70,96,83,98,152,806,151,-1,-1,0,234,0,7.61172,15,6,18,18,70,123,66,86,63,78,740,508,-1,-1,-1,0,0,0,1,9,95,158,169.0,106.0,0.165,1056,1000,0
19,8.42952,2,16,18,18,83,71,101,103,96,63,384,835,806,-1,-1,0,0,0,28.31716,9,0,18,18,85,76,73,109,78,101,-1,-1,-1,-1,-1,0,0,0,10.35652,14,7,18,18,110,90,73,113,100,98,-1,-1,-1,-1,-1,0,234,0,21.17876,4,13,18,18,86,66,138,105,68,36,654,260,-1,-1,-1,82,0,6,2.50488,11,2,18,18,66,120,103,58,76,75,825,135,154,-1,-1,7,234,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,-1,-1,-1,-1,0,0,0,4,20.00284,0,15,18,18,63,95,68,76,84,105,364,-1,-1,-1,-1,0,0,6,22.93828,4,9,18,18,74,94,127,51,102,70,427,718,789,-1,-1,36,272,6,7.781,0,9,18,18,87,116,86,123,83,83,217,-1,-1,-1,-1,0,0,0,22.2572,13,8,18,18,76,105,93,123,88,94,233,-1,-1,-1,-1,100,0,0,12.8518,16,7,18,18,58,70,70,96,83,98,152,806,151,-1,-1,0,234,0,7.61172,15,6,18,18,70,123,66,86,63,78,740,508,-1,-1,-1,0,0,0,1,3,89,136,158.0,95.0,0.25,1056,1000,0
20,8.42952,2,16,18,18,83,71,101,103,96,63,384,835,806,-1,-1,0,0,0,28.31716,9,0,18,18,85,76,73,109,78,101,-1,-1,-1,-1,-1,0,0,0,10.35652,14,7,18,18,110,90,73,113,100,98,-1,-1,-1,-1,-1,0,234,0,21.17876,4,13,18,18,86,66,138,105,68,36,654,260,-1,-1,-1,82,0,6,2.50488,11,2,18,18,66,120,103,58,76,75,825,135,154,-1,-1,1,234,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,-1,-1,-1,-1,0,0,0,4,20.00284,0,15,18,18,63,95,68,76,84,105,364,-1,-1,-1,-1,0,0,6,22.93828,4,9,18,18,74,94,127,51,102,70,427,718,789,-1,-1,57,272,6,7.781,0,9,18,18,87,116,86,123,83,83,217,-1,-1,-1,-1,0,0,0,22.2572,13,8,18,18,76,105,93,123,88,94,233,-1,-1,-1,-1,100,0,0,12.8518,16,7,18,18,58,70,70,96,83,98,152,806,151,-1,-1,0,234,0,7.61172,15,6,18,18,70,123,66,86,63,78,740,508,-1,-1,-1,0,0,0,1,3,83,157,136.0,89.0,-0.18,1056,1000,0
21,8.42952,2,16,18,18,83,71,101,103,96,63,384,835,806,-1,-1,0,0,0,28.31716,9,0,18,18,85,76,73,109,78,101,-1,-1,-1,-1,-1,0,0,0,10.35652,14,7,18,18,110,90,73,113,100,98,-1,-1,-1,-1,-1,0,234,0,21.17876,4,13,18,18,86,66,138,105,68,36,654,260,-1,-1,-1,82,0,6,2.50488,11,2,18,18,66,120,103,58,76,75,825,135,154,-1,-1,0,234,6,26.82736,16,4,18,18,76,132,110,92,90,50,90,-1,-1,-1,-1,0,0,0,4,20.00284,0,15,18,18,63,95,68,76,84,105,364,-1,-1,-1,-1,0,0,6,22.93828,4,9,18,18,74,94,127,51,102,70,427,718,789,806,-1,19,272,6,7.781,0,9,18,18,87,116,86,123,83,83,217,-1,-1,-1,-1,0,0,0,22.2572,13,8,18,18,76,105,93,123,88,94,233,-1,-1,-1,-1,100,0,0,12.8518,16,7,18,18,58,70,70,96,83,98,152,806,151,-1,-1,0,234,0,7.61172,15,6,18,18,70,123,66,86,63,78,740,508,-1,-1,-1,0,0,0,1,3,82,119,157.0,83.0,0.385,1056,1000,0
