turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value,player1_elo,player2_elo,win
10,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,633,175,217,-1,-1,59,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,10.44616,15,10,18,18,73,101,86,113,73,101,-1,-1,-1,-1,-1,100,0,0,14.34968,16,5,18,18,90,113,76,81,95,116,810,600,-1,-1,-1,0,0,0,2,16.85392,8,8,18,18,86,118,105,56,78,99,-1,-1,-1,-1,-1,100,0,0,0.34436,17,7,18,18,83,66,64,106,85,93,-1,-1,-1,-1,-1,100,0,0,3.17004,14,15,18,18,94,134,105,98,100,67,-1,-1,-1,-1,-1,100,0,0,3.5468,2,8,18,18,90,108,93,81,85,66,759,-1,-1,-1,-1,0,0,0,8.95676,2,8,18,18,100,115,81,66,63,65,268,193,600,806,-1,60,270,0,9.51728,3,9,18,18,68,76,131,100,83,66,-1,-1,-1,-1,-1,100,0,0,0,1,459,460,491.0,459.0,0.31,1060,1076,0
11,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,633,175,217,-1,-1,55,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,10.44616,15,10,18,18,73,101,86,113,73,101,-1,-1,-1,-1,-1,100,0,0,14.34968,16,5,18,18,90,113,76,81,95,116,810,600,-1,-1,-1,0,0,0,2,16.85392,8,8,18,18,86,118,105,56,78,99,825,-1,-1,-1,-1,66,0,0,0.34436,17,7,18,18,83,66,64,106,85,93,-1,-1,-1,-1,-1,100,0,0,3.17004,14,15,18,18,94,134,105,98,100,67,-1,-1,-1,-1,-1,100,0,0,3.5468,2,8,18,18,90,108,93,81,85,66,759,-1,-1,-1,-1,0,0,0,8.95676,2,8,18,18,100,115,81,66,63,65,268,193,600,806,-1,60,270,0,9.51728,3,9,18,18,68,76,131,100,83,66,-1,-1,-1,-1,-1,100,0,0,1,1,455,426,460.0,459.0,0.36,1060,1076,0
12,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,633,175,217,628,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,10.44616,15,10,18,18,73,101,86,113,73,101,-1,-1,-1,-1,-1,100,0,0,14.34968,16,5,18,18,90,113,76,81,95,116,810,600,-1,-1,-1,0,0,0,2,16.85392,8,8,18,18,86,118,105,56,78,99,825,-1,-1,-1,-1,66,0,0,0.34436,17,7,18,18,83,66,64,106,85,93,753,-1,-1,-1,-1,100,0,0,3.17004,14,15,18,18,94,134,105,98,100,67,-1,-1,-1,-1,-1,100,0,0,3.5468,2,8,18,18,90,108,93,81,85,66,759,-1,-1,-1,-1,0,0,0,8.95676,2,8,18,18,100,115,81,66,63,65,268,193,600,806,-1,60,270,0,9.51728,3,9,18,18,68,76,131,100,83,66,-1,-1,-1,-1,-1,100,0,0,1,3,500,426,426.0,455.0,0.225,1060,1076,0
13,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,633,175,217,628,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,10.44616,15,10,18,18,73,101,86,113,73,101,-1,-1,-1,-1,-1,100,0,0,14.34968,16,5,18,18,90,113,76,81,95,116,810,600,-1,-1,-1,0,0,0,2,16.85392,8,8,18,18,86,118,105,56,78,99,825,-1,-1,-1,-1,66,0,0,0.34436,17,7,18,18,83,66,64,106,85,93,753,729,-1,-1,-1,95,281,0,3.17004,14,15,18,18,94,134,105,98,100,67,-1,-1,-1,-1,-1,100,0,0,3.5468,2,8,18,18,90,108,93,81,85,66,759,-1,-1,-1,-1,0,0,0,8.95676,2,8,18,18,100,115,81,66,63,65,268,193,600,806,-1,60,270,0,9.51728,3,9,18,18,68,76,131,100,83,66,-1,-1,-1,-1,-1,100,0,0,1,1,500,421,426.0,500.0,0.05,1060,1076,0
14,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,633,175,217,628,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,10.44616,15,10,18,18,73,101,86,113,73,101,-1,-1,-1,-1,-1,100,0,0,14.34968,16,5,18,18,90,113,76,81,95,116,810,600,-1,-1,-1,0,0,0,2,16.85392,8,8,18,18,86,118,105,56,78,99,825,-1,-1,-1,-1,66,0,0,0.34436,17,7,18,18,83,66,64,106,85,93,753,729,-1,-1,-1,55,281,0,3.17004,14,15,18,18,94,134,105,98,100,67,-1,-1,-1,-1,-1,100,0,0,3.5468,2,8,18,18,90,108,93,81,85,66,759,-1,-1,-1,-1,0,0,0,8.95676,2,8,18,18,100,115,81,66,63,65,268,193,600,806,-1,60,270,0,9.51728,3,9,18,18,68,76,131,100,83,66,-1,-1,-1,-1,-1,100,0,0,1,3,500,381,421.0,500.0,0.4,1060,1076,0
15,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,633,175,217,628,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,10.44616,15,10,18,18,73,101,86,113,73,101,-1,-1,-1,-1,-1,100,0,0,14.34968,16,5,18,18,90,113,76,81,95,116,810,600,-1,-1,-1,0,0,0,2,16.85392,8,8,18,18,86,118,105,56,78,99,825,-1,-1,-1,-1,66,0,0,0.34436,17,7,18,18,83,66,64,106,85,93,753,729,704,-1,-1,100,281,0,3.17004,14,15,18,18,94,134,105,98,100,67,-1,-1,-1,-1,-1,100,0,0,3.5468,2,8,18,18,90,108,93,81,85,66,759,-1,-1,-1,-1,0,0,0,8.95676,2,8,18,18,100,115,81,66,63,65,268,193,600,806,-1,60,270,0,9.51728,3,9,18,18,68,76,131,100,83,66,-1,-1,-1,-1,-1,100,0,0,1,2,500,426,381.0,500.0,-0.45,1060,1076,0
16,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,633,175,217,628,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,10.44616,15,10,18,18,73,101,86,113,73,101,-1,-1,-1,-1,-1,100,0,0,14.34968,16,5,18,18,90,113,76,81,95,116,810,600,-1,-1,-1,0,0,0,2,16.85392,8,8,18,18,86,118,105,56,78,99,825,-1,-1,-1,-1,66,0,0,0.34436,17,7,18,18,83,66,64,106,85,93,753,729,704,-1,-1,45,281,0,3.17004,14,15,18,18,94,134,105,98,100,67,-1,-1,-1,-1,-1,100,0,0,3.5468,2,8,18,18,90,108,93,81,85,66,759,-1,-1,-1,-1,0,0,0,8.95676,2,8,18,18,100,115,81,66,63,65,268,193,600,806,-1,60,270,0,9.51728,3,9,18,18,68,76,131,100,83,66,-1,-1,-1,-1,-1,100,0,0,1,3,500,371,426.0,500.0,0.55,1060,1076,0
17,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,633,175,217,628,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,10.44616,15,10,18,18,73,101,86,113,73,101,-1,-1,-1,-1,-1,100,0,0,14.34968,16,5,18,18,90,113,76,81,95,116,810,600,-1,-1,-1,0,0,0,2,16.85392,8,8,18,18,86,118,105,56,78,99,825,-1,-1,-1,-1,66,0,0,0.34436,17,7,18,18,83,66,64,106,85,93,753,729,704,-1,-1,0,281,0,3.17004,14,15,18,18,94,134,105,98,100,67,-1,-1,-1,-1,-1,100,0,0,3.5468,2,8,18,18,90,108,93,81,85,66,759,-1,-1,-1,-1,0,0,0,8.95676,2,8,18,18,100,115,81,66,63,65,268,193,600,806,-1,60,270,0,9.51728,3,9,18,18,68,76,131,100,83,66,-1,-1,-1,-1,-1,100,0,0,2,3,500,326,371.0,500.0,0.45,1060,1076,0
18,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,633,175,217,628,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,10.44616,15,10,18,18,73,101,86,113,73,101,-1,-1,-1,-1,-1,100,0,0,14.34968,16,5,18,18,90,113,76,81,95,116,810,600,-1,-1,-1,0,0,0,2,16.85392,8,8,18,18,86,118,105,56,78,99,825,-1,-1,-1,-1,66,0,0,0.34436,17,7,18,18,83,66,64,106,85,93,753,729,704,-1,-1,0,281,0,3.17004,14,15,18,18,94,134,105,98,100,67,175,-1,-1,-1,-1,1,0,0,3.5468,2,8,18,18,90,108,93,81,85,66,759,-1,-1,-1,-1,0,0,0,8.95676,2,8,18,18,100,115,81,66,63,65,268,193,600,806,-1,60,270,0,9.51728,3,9,18,18,68,76,131,100,83,66,-1,-1,-1,-1,-1,100,0,0,2,1,500,227,326.0,500.0,0.99,1060,1076,0
19,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,633,175,217,628,-1,100,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,10.44616,15,10,18,18,73,101,86,113,73,101,-1,-1,-1,-1,-1,100,0,0,14.34968,16,5,18,18,90,113,76,81,95,116,810,600,-1,-1,-1,0,0,0,2,16.85392,8,8,18,18,86,118,105,56,78,99,825,-1,-1,-1,-1,66,0,0,0.34436,17,7,18,18,83,66,64,106,85,93,753,729,704,-1,-1,0,281,0,3.17004,14,15,18,18,94,134,105,98,100,67,175,-1,-1,-1,-1,0,0,0,3.5468,2,8,18,18,90,108,93,81,85,66,759,-1,-1,-1,-1,0,0,0,8.95676,2,8,18,18,100,115,81,66,63,65,268,193,600,806,-1,60,270,0,9.51728,3,9,18,18,68,76,131,100,83,66,-1,-1,-1,-1,-1,100,0,0,5,1,500,226,227.0,500.0,0.01,1060,1076,0
20,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,633,175,217,628,-1,65,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,100,0,0,10.44616,15,10,18,18,73,101,86,113,73,101,-1,-1,-1,-1,-1,100,0,0,14.34968,16,5,18,18,90,113,76,81,95,116,810,600,-1,-1,-1,0,0,0,2,16.85392,8,8,18,18,86,118,105,56,78,99,825,-1,-1,-1,-1,66,0,0,0.34436,17,7,18,18,83,66,64,106,85,93,753,729,704,-1,-1,0,281,0,3.17004,14,15,18,18,94,134,105,98,100,67,175,-1,-1,-1,-1,0,0,0,3.5468,2,8,18,18,90,108,93,81,85,66,759,-1,-1,-1,-1,0,0,0,8.95676,2,8,18,18,100,115,81,66,63,65,268,193,600,806,-1,60,270,0,9.51728,3,9,18,18,68,76,131,100,83,66,159,-1,-1,-1,-1,67,0,0,5,3,465,193,226.0,500.0,0.505,1060,1076,0
21,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,633,175,217,628,-1,0,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,-1,-1,-1,-1,-1,88,0,0,10.44616,15,10,18,18,73,101,86,113,73,101,-1,-1,-1,-1,-1,100,0,0,14.34968,16,5,18,18,90,113,76,81,95,116,810,600,-1,-1,-1,0,0,0,3,16.85392,8,8,18,18,86,118,105,56,78,99,825,-1,-1,-1,-1,66,0,0,0.34436,17,7,18,18,83,66,64,106,85,93,753,729,704,-1,-1,0,281,0,3.17004,14,15,18,18,94,134,105,98,100,67,175,-1,-1,-1,-1,0,0,0,3.5468,2,8,18,18,90,108,93,81,85,66,759,-1,-1,-1,-1,0,0,0,8.95676,2,8,18,18,100,115,81,66,63,65,268,193,600,806,-1,60,270,0,9.51728,3,9,18,18,68,76,131,100,83,66,159,-1,-1,-1,-1,34,0,0,5,8,388,160,193.0,465.0,0.715,1060,1076,0
22,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,633,175,217,628,-1,0,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,75,-1,-1,-1,-1,88,0,0,10.44616,15,10,18,18,73,101,86,113,73,101,-1,-1,-1,-1,-1,100,0,0,14.34968,16,5,18,18,90,113,76,81,95,116,810,600,-1,-1,-1,0,0,0,3,16.85392,8,8,18,18,86,118,105,56,78,99,825,-1,-1,-1,-1,66,0,0,0.34436,17,7,18,18,83,66,64,106,85,93,753,729,704,-1,-1,0,281,0,3.17004,14,15,18,18,94,134,105,98,100,67,175,-1,-1,-1,-1,0,0,0,3.5468,2,8,18,18,90,108,93,81,85,66,759,-1,-1,-1,-1,0,0,0,8.95676,2,8,18,18,100,115,81,66,63,65,268,193,600,806,-1,60,270,0,9.51728,3,9,18,18,68,76,131,100,83,66,159,-1,-1,-1,-1,0,0,0,4,8,388,126,160.0,388.0,0.34,1060,1076,0
23,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,633,175,217,628,-1,0,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,75,-1,-1,-1,-1,88,0,0,10.44616,15,10,18,18,73,101,86,113,73,101,-1,-1,-1,-1,-1,100,0,0,14.34968,16,5,18,18,90,113,76,81,95,116,810,600,-1,-1,-1,0,0,0,3,16.85392,8,8,18,18,86,118,105,56,78,99,825,-1,-1,-1,-1,66,0,0,0.34436,17,7,18,18,83,66,64,106,85,93,753,729,704,-1,-1,0,281,0,3.17004,14,15,18,18,94,134,105,98,100,67,175,-1,-1,-1,-1,0,0,0,3.5468,2,8,18,18,90,108,93,81,85,66,759,-1,-1,-1,-1,0,0,0,8.95676,2,8,18,18,100,115,81,66,63,65,268,193,600,806,-1,0,270,0,9.51728,3,9,18,18,68,76,131,100,83,66,159,-1,-1,-1,-1,0,0,0,0,1,388,66,126.0,388.0,0.6,1060,1076,0
24,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,26,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,633,175,217,628,-1,0,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,75,-1,-1,-1,-1,88,0,0,10.44616,15,10,18,18,73,101,86,113,73,101,-1,-1,-1,-1,-1,100,0,0,14.34968,16,5,18,18,90,113,76,81,95,116,810,600,-1,-1,-1,0,0,0,1,16.85392,8,8,18,18,86,118,105,56,78,99,825,194,-1,-1,-1,72,234,0,0.34436,17,7,18,18,83,66,64,106,85,93,753,729,704,-1,-1,0,281,0,3.17004,14,15,18,18,94,134,105,98,100,67,175,-1,-1,-1,-1,0,0,0,3.5468,2,8,18,18,90,108,93,81,85,66,759,-1,-1,-1,-1,0,0,0,8.95676,2,8,18,18,100,115,81,66,63,65,268,193,600,806,-1,0,270,0,9.51728,3,9,18,18,68,76,131,100,83,66,159,-1,-1,-1,-1,0,0,0,0,6,314,72,66.0,388.0,0.31,1060,1076,0
25,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,633,175,217,628,-1,0,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,75,-1,-1,-1,-1,75,0,0,10.44616,15,10,18,18,73,101,86,113,73,101,-1,-1,-1,-1,-1,100,0,0,14.34968,16,5,18,18,90,113,76,81,95,116,810,600,-1,-1,-1,0,0,0,3,16.85392,8,8,18,18,86,118,105,56,78,99,825,194,-1,-1,-1,78,234,0,0.34436,17,7,18,18,83,66,64,106,85,93,753,729,704,-1,-1,0,281,0,3.17004,14,15,18,18,94,134,105,98,100,67,175,-1,-1,-1,-1,0,0,0,3.5468,2,8,18,18,90,108,93,81,85,66,759,-1,-1,-1,-1,0,0,0,8.95676,2,8,18,18,100,115,81,66,63,65,268,193,600,806,-1,0,270,0,9.51728,3,9,18,18,68,76,131,100,83,66,159,-1,-1,-1,-1,0,0,0,0,8,275,78,72.0,314.0,0.135,1060,1076,0
26,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,633,175,217,628,-1,0,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,75,-1,-1,-1,-1,0,0,0,10.44616,15,10,18,18,73,101,86,113,73,101,-1,-1,-1,-1,-1,100,0,0,14.34968,16,5,18,18,90,113,76,81,95,116,810,600,-1,-1,-1,88,0,0,5,16.85392,8,8,18,18,86,118,105,56,78,99,825,194,-1,-1,-1,84,234,0,0.34436,17,7,18,18,83,66,64,106,85,93,753,729,704,-1,-1,0,281,0,3.17004,14,15,18,18,94,134,105,98,100,67,175,-1,-1,-1,-1,0,0,0,3.5468,2,8,18,18,90,108,93,81,85,66,759,-1,-1,-1,-1,0,0,0,8.95676,2,8,18,18,100,115,81,66,63,65,268,193,600,806,-1,0,270,0,9.51728,3,9,18,18,68,76,131,100,83,66,159,-1,-1,-1,-1,0,0,0,0,10,288,84,78.0,275.0,0.005,1060,1076,0
27,3.0134,2,6,18,18,90,121,73,76,90,80,-1,-1,-1,-1,-1,94,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,633,175,217,628,-1,0,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,75,-1,-1,-1,-1,0,0,0,10.44616,15,10,18,18,73,101,86,113,73,101,-1,-1,-1,-1,-1,100,0,0,14.34968,16,5,18,18,90,113,76,81,95,116,810,600,147,-1,-1,0,0,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,825,194,-1,-1,-1,39,234,0,0.34436,17,7,18,18,83,66,64,106,85,93,753,729,704,-1,-1,0,281,0,3.17004,14,15,18,18,94,134,105,98,100,67,175,-1,-1,-1,-1,0,0,0,3.5468,2,8,18,18,90,108,93,81,85,66,759,-1,-1,-1,-1,0,0,0,8.95676,2,8,18,18,100,115,81,66,63,65,268,193,600,806,-1,0,270,0,9.51728,3,9,18,18,68,76,131,100,83,66,159,-1,-1,-1,-1,0,0,0,0,5,194,39,84.0,288.0,0.92,1060,1076,0
28,3.0134,2,6,18,18,90,121,73,76,90,80,194,-1,-1,-1,-1,94,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,633,175,217,628,-1,0,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,75,-1,-1,-1,-1,0,0,0,10.44616,15,10,18,18,73,101,86,113,73,101,-1,-1,-1,-1,-1,100,0,0,14.34968,16,5,18,18,90,113,76,81,95,116,810,600,147,-1,-1,0,0,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,825,194,628,-1,-1,64,234,0,0.34436,17,7,18,18,83,66,64,106,85,93,753,729,704,-1,-1,0,281,0,3.17004,14,15,18,18,94,134,105,98,100,67,175,-1,-1,-1,-1,0,0,0,3.5468,2,8,18,18,90,108,93,81,85,66,759,-1,-1,-1,-1,0,0,0,8.95676,2,8,18,18,100,115,81,66,63,65,268,193,600,806,-1,0,270,0,9.51728,3,9,18,18,68,76,131,100,83,66,159,-1,-1,-1,-1,0,0,0,0,5,194,64,39.0,194.0,-0.25,1060,1076,0
29,3.0134,2,6,18,18,90,121,73,76,90,80,194,-1,-1,-1,-1,94,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,13.76736,16,9,18,18,69,126,113,63,66,65,633,175,217,628,-1,0,0,0,40.0448,12,14,18,18,110,72,77,98,88,101,75,-1,-1,-1,-1,0,0,0,10.44616,15,10,18,18,73,101,86,113,73,101,-1,-1,-1,-1,-1,100,0,0,14.34968,16,5,18,18,90,113,76,81,95,116,810,600,147,-1,-1,0,0,0,0,16.85392,8,8,18,18,86,118,105,56,78,99,825,194,628,-1,-1,86,234,0,0.34436,17,7,18,18,83,66,64,106,85,93,753,729,704,-1,-1,0,281,0,3.17004,14,15,18,18,94,134,105,98,100,67,175,-1,-1,-1,-1,0,0,0,3.5468,2,8,18,18,90,108,93,81,85,66,759,-1,-1,-1,-1,0,0,0,8.95676,2,8,18,18,100,115,81,66,63,65,268,193,600,806,-1,0,270,0,9.51728,3,9,18,18,68,76,131,100,83,66,159,-1,-1,-1,-1,0,0,0,0,1,194,86,64.0,194.0,-0.22,1060,1076,0
