turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type,Win
10,11.45712,0,17,18,18,79,70,66,131,88,83,-1,-1,-1,-1,-1,100,0,0,19.36936,16,16,18,18,91,96,120,84,105,46,163,427,-1,-1,-1,93,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,37,234,0,25.45504,16,2,18,18,70,67,151,67,147,40,641,-1,-1,-1,-1,95,234,0,1.29976,3,7,18,18,73,73,91,103,75,56,527,806,151,-1,-1,88,0,0,11.92964,1,14,18,18,74,113,80,105,103,87,-1,-1,-1,-1,-1,100,0,0,3,14.6778,16,9,18,18,68,116,93,86,91,78,-1,-1,-1,-1,-1,100,0,0,14.96288,8,6,18,18,75,101,89,64,73,103,-1,-1,-1,-1,-1,100,0,0,0.34204,13,17,18,18,71,68,68,118,80,76,-1,-1,-1,-1,-1,79,0,0,22.51712,3,16,18,18,71,86,125,104,98,33,729,427,563,835,-1,59,540,0,27.85244,5,9,18,18,72,88,73,78,67,115,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,267,-1,-1,-1,-1,66,234,0,2,8,passive,1
11,11.45712,0,17,18,18,79,70,66,131,88,83,-1,-1,-1,-1,-1,76,0,0,19.36936,16,16,18,18,91,96,120,84,105,46,163,427,-1,-1,-1,93,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,37,234,0,25.45504,16,2,18,18,70,67,151,67,147,40,641,-1,-1,-1,-1,95,234,0,1.29976,3,7,18,18,73,73,91,103,75,56,527,806,151,-1,-1,88,0,0,11.92964,1,14,18,18,74,113,80,105,103,87,-1,-1,-1,-1,-1,100,0,0,0,14.6778,16,9,18,18,68,116,93,86,91,78,-1,-1,-1,-1,-1,100,0,0,14.96288,8,6,18,18,75,101,89,64,73,103,-1,-1,-1,-1,-1,100,0,0,0.34204,13,17,18,18,71,68,68,118,80,76,414,-1,-1,-1,-1,79,0,0,22.51712,3,16,18,18,71,86,125,104,98,33,729,427,563,835,-1,59,540,0,27.85244,5,9,18,18,72,88,73,78,67,115,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,267,-1,-1,-1,-1,66,234,0,2,5,passive,1
12,11.45712,0,17,18,18,79,70,66,131,88,83,500,-1,-1,-1,-1,76,0,0,19.36936,16,16,18,18,91,96,120,84,105,46,163,427,-1,-1,-1,93,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,37,234,0,25.45504,16,2,18,18,70,67,151,67,147,40,641,-1,-1,-1,-1,95,234,0,1.29976,3,7,18,18,73,73,91,103,75,56,527,806,151,-1,-1,88,0,0,11.92964,1,14,18,18,74,113,80,105,103,87,-1,-1,-1,-1,-1,100,0,0,0,14.6778,16,9,18,18,68,116,93,86,91,78,-1,-1,-1,-1,-1,100,0,0,14.96288,8,6,18,18,75,101,89,64,73,103,-1,-1,-1,-1,-1,100,0,0,0.34204,13,17,18,18,71,68,68,118,80,76,414,-1,-1,-1,-1,79,0,0,22.51712,3,16,18,18,71,86,125,104,98,33,729,427,563,835,-1,59,540,0,27.85244,5,9,18,18,72,88,73,78,67,115,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,267,-1,-1,-1,-1,66,234,0,3,5,passive,1
13,11.45712,0,17,18,18,79,70,66,131,88,83,500,145,-1,-1,-1,64,0,0,19.36936,16,16,18,18,91,96,120,84,105,46,163,427,-1,-1,-1,93,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,37,234,0,25.45504,16,2,18,18,70,67,151,67,147,40,641,-1,-1,-1,-1,95,234,0,1.29976,3,7,18,18,73,73,91,103,75,56,527,806,151,-1,-1,88,0,0,11.92964,1,14,18,18,74,113,80,105,103,87,-1,-1,-1,-1,-1,100,0,0,0,14.6778,16,9,18,18,68,116,93,86,91,78,-1,-1,-1,-1,-1,100,0,0,14.96288,8,6,18,18,75,101,89,64,73,103,-1,-1,-1,-1,-1,100,0,0,0.34204,13,17,18,18,71,68,68,118,80,76,414,-1,-1,-1,-1,79,0,0,22.51712,3,16,18,18,71,86,125,104,98,33,729,427,563,835,-1,14,540,0,27.85244,5,9,18,18,72,88,73,78,67,115,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,267,-1,-1,-1,-1,66,234,0,3,1,passive,1
14,11.45712,0,17,18,18,79,70,66,131,88,83,500,145,-1,-1,-1,64,0,0,19.36936,16,16,18,18,91,96,120,84,105,46,163,427,-1,-1,-1,93,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,37,234,0,25.45504,16,2,18,18,70,67,151,67,147,40,641,-1,-1,-1,-1,95,234,0,1.29976,3,7,18,18,73,73,91,103,75,56,527,806,151,-1,-1,88,0,0,11.92964,1,14,18,18,74,113,80,105,103,87,-1,-1,-1,-1,-1,100,0,0,0,14.6778,16,9,18,18,68,116,93,86,91,78,-1,-1,-1,-1,-1,100,0,0,14.96288,8,6,18,18,75,101,89,64,73,103,-1,-1,-1,-1,-1,100,0,0,0.34204,13,17,18,18,71,68,68,118,80,76,414,-1,-1,-1,-1,79,0,0,22.51712,3,16,18,18,71,86,125,104,98,33,729,427,563,835,-1,0,540,0,27.85244,5,9,18,18,72,88,73,78,67,115,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,267,-1,-1,-1,-1,66,234,0,5,2,passive,1
15,11.45712,0,17,18,18,79,70,66,131,88,83,500,145,251,-1,-1,64,0,0,19.36936,16,16,18,18,91,96,120,84,105,46,163,427,-1,-1,-1,93,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,37,234,0,25.45504,16,2,18,18,70,67,151,67,147,40,641,-1,-1,-1,-1,95,234,0,1.29976,3,7,18,18,73,73,91,103,75,56,527,806,151,-1,-1,88,0,0,11.92964,1,14,18,18,74,113,80,105,103,87,-1,-1,-1,-1,-1,100,0,0,0,14.6778,16,9,18,18,68,116,93,86,91,78,-1,-1,-1,-1,-1,100,0,0,14.96288,8,6,18,18,75,101,89,64,73,103,-1,-1,-1,-1,-1,100,0,0,0.34204,13,17,18,18,71,68,68,118,80,76,414,-1,-1,-1,-1,79,0,0,22.51712,3,16,18,18,71,86,125,104,98,33,729,427,563,835,-1,0,540,0,27.85244,5,9,18,18,72,88,73,78,67,115,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,267,-1,-1,-1,-1,0,234,0,2,2,passive,1
16,11.45712,0,17,18,18,79,70,66,131,88,83,500,145,251,-1,-1,0,0,0,19.36936,16,16,18,18,91,96,120,84,105,46,163,427,-1,-1,-1,87,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,37,234,0,25.45504,16,2,18,18,70,67,151,67,147,40,641,-1,-1,-1,-1,95,234,0,1.29976,3,7,18,18,73,73,91,103,75,56,527,806,151,-1,-1,88,0,0,11.92964,1,14,18,18,74,113,80,105,103,87,-1,-1,-1,-1,-1,100,0,0,1,14.6778,16,9,18,18,68,116,93,86,91,78,-1,-1,-1,-1,-1,100,0,0,14.96288,8,6,18,18,75,101,89,64,73,103,-1,-1,-1,-1,-1,100,0,0,0.34204,13,17,18,18,71,68,68,118,80,76,414,486,-1,-1,-1,80,0,0,22.51712,3,16,18,18,71,86,125,104,98,33,729,427,563,835,-1,0,540,0,27.85244,5,9,18,18,72,88,73,78,67,115,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,267,-1,-1,-1,-1,0,234,0,2,6,passive,1
17,11.45712,0,17,18,18,79,70,66,131,88,83,500,145,251,-1,-1,0,0,0,19.36936,16,16,18,18,91,96,120,84,105,46,163,427,-1,-1,-1,5,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,37,234,0,25.45504,16,2,18,18,70,67,151,67,147,40,641,-1,-1,-1,-1,95,234,0,1.29976,3,7,18,18,73,73,91,103,75,56,527,806,151,-1,-1,88,0,0,11.92964,1,14,18,18,74,113,80,105,103,87,-1,-1,-1,-1,-1,100,0,0,1,14.6778,16,9,18,18,68,116,93,86,91,78,-1,-1,-1,-1,-1,100,0,0,14.96288,8,6,18,18,75,101,89,64,73,103,-1,-1,-1,-1,-1,100,0,0,0.34204,13,17,18,18,71,68,68,118,80,76,414,486,245,-1,-1,80,0,0,22.51712,3,16,18,18,71,86,125,104,98,33,729,427,563,835,-1,0,540,0,27.85244,5,9,18,18,72,88,73,78,67,115,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,267,-1,-1,-1,-1,0,234,0,2,1,aggressive,1
18,11.45712,0,17,18,18,79,70,66,131,88,83,500,145,251,-1,-1,0,0,0,19.36936,16,16,18,18,91,96,120,84,105,46,163,427,718,-1,-1,5,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,37,234,0,25.45504,16,2,18,18,70,67,151,67,147,40,641,-1,-1,-1,-1,95,234,0,1.29976,3,7,18,18,73,73,91,103,75,56,527,806,151,-1,-1,88,0,0,11.92964,1,14,18,18,74,113,80,105,103,87,-1,-1,-1,-1,-1,100,0,0,1,14.6778,16,9,18,18,68,116,93,86,91,78,-1,-1,-1,-1,-1,100,0,0,14.96288,8,6,18,18,75,101,89,64,73,103,-1,-1,-1,-1,-1,100,0,0,0.34204,13,17,18,18,71,68,68,118,80,76,414,486,245,-1,-1,80,0,0,22.51712,3,16,18,18,71,86,125,104,98,33,729,427,563,835,-1,0,540,0,27.85244,5,9,18,18,72,88,73,78,67,115,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,267,-1,-1,-1,-1,0,234,0,2,2,passive,1
19,11.45712,0,17,18,18,79,70,66,131,88,83,500,145,251,-1,-1,0,0,0,19.36936,16,16,18,18,91,96,120,84,105,46,163,427,718,-1,-1,5,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,37,234,0,25.45504,16,2,18,18,70,67,151,67,147,40,641,-1,-1,-1,-1,95,234,0,1.29976,3,7,18,18,73,73,91,103,75,56,527,806,151,-1,-1,57,0,0,11.92964,1,14,18,18,74,113,80,105,103,87,-1,-1,-1,-1,-1,100,0,0,4,14.6778,16,9,18,18,68,116,93,86,91,78,-1,-1,-1,-1,-1,100,0,0,14.96288,8,6,18,18,75,101,89,64,73,103,-1,-1,-1,-1,-1,100,0,0,0.34204,13,17,18,18,71,68,68,118,80,76,414,486,245,-1,-1,12,0,0,22.51712,3,16,18,18,71,86,125,104,98,33,729,427,563,835,-1,0,540,0,27.85244,5,9,18,18,72,88,73,78,67,115,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,267,-1,-1,-1,-1,0,234,0,2,9,passive,1
20,11.45712,0,17,18,18,79,70,66,131,88,83,500,145,251,-1,-1,0,0,0,19.36936,16,16,18,18,91,96,120,84,105,46,163,427,718,-1,-1,5,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,37,234,0,25.45504,16,2,18,18,70,67,151,67,147,40,641,-1,-1,-1,-1,95,234,0,1.29976,3,7,18,18,73,73,91,103,75,56,527,806,151,830,-1,30,0,0,11.92964,1,14,18,18,74,113,80,105,103,87,-1,-1,-1,-1,-1,100,0,0,4,14.6778,16,9,18,18,68,116,93,86,91,78,-1,-1,-1,-1,-1,100,0,0,14.96288,8,6,18,18,75,101,89,64,73,103,-1,-1,-1,-1,-1,100,0,0,0.34204,13,17,18,18,71,68,68,118,80,76,414,486,245,654,-1,0,0,0,22.51712,3,16,18,18,71,86,125,104,98,33,729,427,563,835,-1,0,540,0,27.85244,5,9,18,18,72,88,73,78,67,115,-1,-1,-1,-1,-1,100,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,267,-1,-1,-1,-1,0,234,0,4,3,passive,1
21,11.45712,0,17,18,18,79,70,66,131,88,83,500,145,251,-1,-1,0,0,0,19.36936,16,16,18,18,91,96,120,84,105,46,163,427,718,-1,-1,5,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,37,234,0,25.45504,16,2,18,18,70,67,151,67,147,40,641,-1,-1,-1,-1,95,234,0,1.29976,3,7,18,18,73,73,91,103,75,56,527,806,151,830,-1,61,0,0,11.92964,1,14,18,18,74,113,80,105,103,87,-1,-1,-1,-1,-1,100,0,0,4,14.6778,16,9,18,18,68,116,93,86,91,78,-1,-1,-1,-1,-1,100,0,0,14.96288,8,6,18,18,75,101,89,64,73,103,-1,-1,-1,-1,-1,100,0,0,0.34204,13,17,18,18,71,68,68,118,80,76,414,486,245,654,-1,0,0,0,22.51712,3,16,18,18,71,86,125,104,98,33,729,427,563,835,-1,0,540,0,27.85244,5,9,18,18,72,88,73,78,67,115,88,-1,-1,-1,-1,24,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,267,-1,-1,-1,-1,0,234,0,4,1,passive,1
22,11.45712,0,17,18,18,79,70,66,131,88,83,500,145,251,-1,-1,0,0,0,19.36936,16,16,18,18,91,96,120,84,105,46,163,427,718,-1,-1,5,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,37,234,0,25.45504,16,2,18,18,70,67,151,67,147,40,641,-1,-1,-1,-1,95,234,0,1.29976,3,7,18,18,73,73,91,103,75,56,527,806,151,830,-1,38,0,0,11.92964,1,14,18,18,74,113,80,105,103,87,-1,-1,-1,-1,-1,100,0,0,4,14.6778,16,9,18,18,68,116,93,86,91,78,-1,-1,-1,-1,-1,100,0,0,14.96288,8,6,18,18,75,101,89,64,73,103,-1,-1,-1,-1,-1,100,0,0,0.34204,13,17,18,18,71,68,68,118,80,76,414,486,245,654,-1,0,0,0,22.51712,3,16,18,18,71,86,125,104,98,33,729,427,563,835,-1,0,540,0,27.85244,5,9,18,18,72,88,73,78,67,115,88,388,-1,-1,-1,0,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,267,-1,-1,-1,-1,0,234,0,1,1,passive,1
23,11.45712,0,17,18,18,79,70,66,131,88,83,500,145,251,-1,-1,0,0,0,19.36936,16,16,18,18,91,96,120,84,105,46,163,427,718,-1,-1,5,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,37,234,0,25.45504,16,2,18,18,70,67,151,67,147,40,641,-1,-1,-1,-1,75,0,0,1.29976,3,7,18,18,73,73,91,103,75,56,527,806,151,830,-1,38,0,0,11.92964,1,14,18,18,74,113,80,105,103,87,-1,-1,-1,-1,-1,100,0,0,3,14.6778,16,9,18,18,68,116,93,86,91,78,-1,-1,-1,-1,-1,100,0,0,14.96288,8,6,18,18,75,101,89,64,73,103,414,-1,-1,-1,-1,100,272,6,0.34204,13,17,18,18,71,68,68,118,80,76,414,486,245,654,-1,0,0,0,22.51712,3,16,18,18,71,86,125,104,98,33,729,427,563,835,-1,0,540,0,27.85244,5,9,18,18,72,88,73,78,67,115,88,388,-1,-1,-1,0,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,267,-1,-1,-1,-1,0,234,0,1,8,passive,1
24,11.45712,0,17,18,18,79,70,66,131,88,83,500,145,251,-1,-1,0,0,0,19.36936,16,16,18,18,91,96,120,84,105,46,163,427,718,-1,-1,5,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,37,234,0,25.45504,16,2,18,18,70,67,151,67,147,40,641,273,-1,-1,-1,17,0,0,1.29976,3,7,18,18,73,73,91,103,75,56,527,806,151,830,-1,38,0,0,11.92964,1,14,18,18,74,113,80,105,103,87,-1,-1,-1,-1,-1,100,0,0,3,14.6778,16,9,18,18,68,116,93,86,91,78,-1,-1,-1,-1,-1,100,0,0,14.96288,8,6,18,18,75,101,89,64,73,103,414,194,-1,-1,-1,46,272,6,0.34204,13,17,18,18,71,68,68,118,80,76,414,486,245,654,-1,0,0,0,22.51712,3,16,18,18,71,86,125,104,98,33,729,427,563,835,-1,0,540,0,27.85244,5,9,18,18,72,88,73,78,67,115,88,388,-1,-1,-1,0,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,267,-1,-1,-1,-1,0,234,0,1,1,passive,1
25,11.45712,0,17,18,18,79,70,66,131,88,83,500,145,251,-1,-1,0,0,0,19.36936,16,16,18,18,91,96,120,84,105,46,163,427,718,-1,-1,5,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,37,234,0,25.45504,16,2,18,18,70,67,151,67,147,40,641,273,-1,-1,-1,0,0,0,1.29976,3,7,18,18,73,73,91,103,75,56,527,806,151,830,-1,26,0,0,11.92964,1,14,18,18,74,113,80,105,103,87,-1,-1,-1,-1,-1,100,0,0,4,14.6778,16,9,18,18,68,116,93,86,91,78,-1,-1,-1,-1,-1,100,0,0,14.96288,8,6,18,18,75,101,89,64,73,103,414,194,-1,-1,-1,59,272,6,0.34204,13,17,18,18,71,68,68,118,80,76,414,486,245,654,-1,0,0,0,22.51712,3,16,18,18,71,86,125,104,98,33,729,427,563,835,-1,0,540,0,27.85244,5,9,18,18,72,88,73,78,67,115,88,388,-1,-1,-1,0,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,267,-1,-1,-1,-1,0,234,0,1,9,passive,1
26,11.45712,0,17,18,18,79,70,66,131,88,83,500,145,251,-1,-1,0,0,0,19.36936,16,16,18,18,91,96,120,84,105,46,163,427,718,-1,-1,5,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,37,234,0,25.45504,16,2,18,18,70,67,151,67,147,40,641,273,-1,-1,-1,0,0,0,1.29976,3,7,18,18,73,73,91,103,75,56,527,806,151,830,-1,0,0,0,11.92964,1,14,18,18,74,113,80,105,103,87,-1,-1,-1,-1,-1,75,0,0,5,14.6778,16,9,18,18,68,116,93,86,91,78,-1,-1,-1,-1,-1,100,0,0,14.96288,8,6,18,18,75,101,89,64,73,103,414,194,218,-1,-1,71,272,6,0.34204,13,17,18,18,71,68,68,118,80,76,414,486,245,654,-1,0,0,0,22.51712,3,16,18,18,71,86,125,104,98,33,729,427,563,835,-1,0,540,0,27.85244,5,9,18,18,72,88,73,78,67,115,88,388,-1,-1,-1,0,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,267,-1,-1,-1,-1,0,234,0,1,10,passive,1
27,11.45712,0,17,18,18,79,70,66,131,88,83,500,145,251,-1,-1,0,0,0,19.36936,16,16,18,18,91,96,120,84,105,46,163,427,718,-1,-1,5,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,37,234,0,25.45504,16,2,18,18,70,67,151,67,147,40,641,273,-1,-1,-1,0,0,0,1.29976,3,7,18,18,73,73,91,103,75,56,527,806,151,830,-1,0,0,0,11.92964,1,14,18,18,74,113,80,105,103,87,247,-1,-1,-1,-1,17,0,0,5,14.6778,16,9,18,18,68,116,93,86,91,78,-1,-1,-1,-1,-1,100,0,0,14.96288,8,6,18,18,75,101,89,64,73,103,414,194,218,-1,-1,14,272,6,0.34204,13,17,18,18,71,68,68,118,80,76,414,486,245,654,-1,0,0,0,22.51712,3,16,18,18,71,86,125,104,98,33,729,427,563,835,-1,0,540,0,27.85244,5,9,18,18,72,88,73,78,67,115,88,388,-1,-1,-1,0,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,267,-1,-1,-1,-1,0,234,0,1,10,passive,1
28,11.45712,0,17,18,18,79,70,66,131,88,83,500,145,251,-1,-1,0,0,0,19.36936,16,16,18,18,91,96,120,84,105,46,163,427,718,-1,-1,0,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,25,234,0,25.45504,16,2,18,18,70,67,151,67,147,40,641,273,-1,-1,-1,0,0,0,1.29976,3,7,18,18,73,73,91,103,75,56,527,806,151,830,-1,0,0,0,11.92964,1,14,18,18,74,113,80,105,103,87,247,-1,-1,-1,-1,0,0,0,2,14.6778,16,9,18,18,68,116,93,86,91,78,-1,-1,-1,-1,-1,100,0,0,14.96288,8,6,18,18,75,101,89,64,73,103,414,194,218,-1,-1,27,272,6,0.34204,13,17,18,18,71,68,68,118,80,76,414,486,245,654,-1,0,0,0,22.51712,3,16,18,18,71,86,125,104,98,33,729,427,563,835,-1,0,540,0,27.85244,5,9,18,18,72,88,73,78,67,115,88,388,-1,-1,-1,0,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,267,-1,-1,-1,-1,0,234,0,1,7,passive,1
29,11.45712,0,17,18,18,79,70,66,131,88,83,500,145,251,-1,-1,0,0,0,19.36936,16,16,18,18,91,96,120,84,105,46,163,427,718,-1,-1,0,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,0,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,641,273,-1,-1,-1,0,0,0,1.29976,3,7,18,18,73,73,91,103,75,56,527,806,151,830,-1,0,0,0,11.92964,1,14,18,18,74,113,80,105,103,87,247,-1,-1,-1,-1,0,0,0,2,14.6778,16,9,18,18,68,116,93,86,91,78,-1,-1,-1,-1,-1,100,0,0,14.96288,8,6,18,18,75,101,89,64,73,103,414,194,218,-1,-1,27,272,6,0.34204,13,17,18,18,71,68,68,118,80,76,414,486,245,654,-1,0,0,0,22.51712,3,16,18,18,71,86,125,104,98,33,729,427,563,835,-1,0,540,0,27.85244,5,9,18,18,72,88,73,78,67,115,88,388,-1,-1,-1,0,0,0,3.49604,7,15,18,18,90,119,100,78,86,84,267,-1,-1,-1,-1,0,234,0,1,7,passive,1
