turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type,Win
10,26.31728,14,9,18,18,98,104,81,78,77,112,-1,-1,-1,-1,-1,100,0,0,3.92432,6,16,18,18,58,91,125,43,93,50,221,90,-1,-1,-1,100,0,0,19.84316,13,7,18,18,126,90,69,80,63,76,807,745,414,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,-1,-1,-1,-1,-1,100,0,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,500,-1,-1,-1,-1,64,0,0,5,10.21996,4,1,18,18,81,113,100,70,68,98,-1,-1,-1,-1,-1,100,0,0,7.52748,4,1,18,18,73,64,87,115,96,80,-1,-1,-1,-1,-1,100,0,0,0.45012,4,1,18,18,75,101,68,93,73,93,-1,-1,-1,-1,-1,100,0,0,1.59456,1,3,18,18,78,82,75,92,100,110,245,835,-1,-1,-1,94,0,6,18.3142,4,12,18,18,72,132,68,73,66,77,154,194,-1,-1,-1,52,0,6,0.40584,1,3,18,18,73,71,66,109,88,120,654,-1,-1,-1,-1,0,0,5,4,10,passive,1
11,26.31728,14,9,18,18,98,104,81,78,77,112,-1,-1,-1,-1,-1,100,0,0,3.92432,6,16,18,18,58,91,125,43,93,50,221,90,-1,-1,-1,100,0,0,19.84316,13,7,18,18,126,90,69,80,63,76,807,745,414,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,-1,-1,-1,-1,-1,100,0,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,500,-1,-1,-1,-1,0,0,0,3,10.21996,4,1,18,18,81,113,100,70,68,98,-1,-1,-1,-1,-1,100,0,0,7.52748,4,1,18,18,73,64,87,115,96,80,-1,-1,-1,-1,-1,100,0,0,0.45012,4,1,18,18,75,101,68,93,73,93,-1,-1,-1,-1,-1,100,0,0,1.59456,1,3,18,18,78,82,75,92,100,110,245,835,-1,-1,-1,94,0,6,18.3142,4,12,18,18,72,132,68,73,66,77,154,194,-1,-1,-1,40,0,6,0.40584,1,3,18,18,73,71,66,109,88,120,654,-1,-1,-1,-1,0,0,5,4,8,passive,1
12,26.31728,14,9,18,18,98,104,81,78,77,112,-1,-1,-1,-1,-1,100,0,0,3.92432,6,16,18,18,58,91,125,43,93,50,221,90,-1,-1,-1,100,0,0,19.84316,13,7,18,18,126,90,69,80,63,76,807,745,414,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,856,-1,-1,-1,-1,41,234,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,500,-1,-1,-1,-1,0,0,0,3,10.21996,4,1,18,18,81,113,100,70,68,98,-1,-1,-1,-1,-1,100,0,0,7.52748,4,1,18,18,73,64,87,115,96,80,-1,-1,-1,-1,-1,100,0,0,0.45012,4,1,18,18,75,101,68,93,73,93,-1,-1,-1,-1,-1,100,0,0,1.59456,1,3,18,18,78,82,75,92,100,110,245,835,-1,-1,-1,94,0,6,18.3142,4,12,18,18,72,132,68,73,66,77,154,194,650,-1,-1,22,0,6,0.40584,1,3,18,18,73,71,66,109,88,120,654,-1,-1,-1,-1,0,0,5,4,8,passive,1
13,26.31728,14,9,18,18,98,104,81,78,77,112,-1,-1,-1,-1,-1,100,0,0,3.92432,6,16,18,18,58,91,125,43,93,50,221,90,-1,-1,-1,100,0,0,19.84316,13,7,18,18,126,90,69,80,63,76,807,745,414,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,856,43,-1,-1,-1,97,234,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,500,-1,-1,-1,-1,0,0,0,3,10.21996,4,1,18,18,81,113,100,70,68,98,-1,-1,-1,-1,-1,100,0,0,7.52748,4,1,18,18,73,64,87,115,96,80,-1,-1,-1,-1,-1,100,0,6,0.45012,4,1,18,18,75,101,68,93,73,93,-1,-1,-1,-1,-1,100,0,0,1.59456,1,3,18,18,78,82,75,92,100,110,245,835,-1,-1,-1,94,0,6,18.3142,4,12,18,18,72,132,68,73,66,77,154,194,650,-1,-1,0,0,6,0.40584,1,3,18,18,73,71,66,109,88,120,654,-1,-1,-1,-1,0,0,5,1,1,passive,1
14,26.31728,14,9,18,18,98,104,81,78,77,112,-1,-1,-1,-1,-1,82,0,0,3.92432,6,16,18,18,58,91,125,43,93,50,221,90,-1,-1,-1,100,0,0,19.84316,13,7,18,18,126,90,69,80,63,76,807,745,414,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,856,43,-1,-1,-1,97,234,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,500,-1,-1,-1,-1,0,0,0,0,10.21996,4,1,18,18,81,113,100,70,68,98,-1,-1,-1,-1,-1,100,0,0,7.52748,4,1,18,18,73,64,87,115,96,80,209,-1,-1,-1,-1,85,270,6,0.45012,4,1,18,18,75,101,68,93,73,93,-1,-1,-1,-1,-1,100,0,0,1.59456,1,3,18,18,78,82,75,92,100,110,245,835,-1,-1,-1,94,0,6,18.3142,4,12,18,18,72,132,68,73,66,77,154,194,650,-1,-1,0,0,6,0.40584,1,3,18,18,73,71,66,109,88,120,654,-1,-1,-1,-1,0,0,5,1,5,passive,1
15,26.31728,14,9,18,18,98,104,81,78,77,112,681,-1,-1,-1,-1,17,0,2,3.92432,6,16,18,18,58,91,125,43,93,50,221,90,-1,-1,-1,100,0,0,19.84316,13,7,18,18,126,90,69,80,63,76,807,745,414,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,856,43,-1,-1,-1,97,234,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,500,-1,-1,-1,-1,0,0,0,0,10.21996,4,1,18,18,81,113,100,70,68,98,-1,-1,-1,-1,-1,100,0,0,7.52748,4,1,18,18,73,64,87,115,96,80,209,245,-1,-1,-1,0,270,6,0.45012,4,1,18,18,75,101,68,93,73,93,-1,-1,-1,-1,-1,100,0,6,1.59456,1,3,18,18,78,82,75,92,100,110,245,835,-1,-1,-1,94,0,6,18.3142,4,12,18,18,72,132,68,73,66,77,154,194,650,-1,-1,0,0,6,0.40584,1,3,18,18,73,71,66,109,88,120,654,-1,-1,-1,-1,0,0,5,2,5,passive,1
16,26.31728,14,9,18,18,98,104,81,78,77,112,681,6,-1,-1,-1,0,0,2,3.92432,6,16,18,18,58,91,125,43,93,50,221,90,-1,-1,-1,100,0,0,19.84316,13,7,18,18,126,90,69,80,63,76,807,745,414,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,856,43,-1,-1,-1,97,234,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,500,-1,-1,-1,-1,0,0,0,1,10.21996,4,1,18,18,81,113,100,70,68,98,-1,-1,-1,-1,-1,100,0,0,7.52748,4,1,18,18,73,64,87,115,96,80,209,245,-1,-1,-1,0,270,6,0.45012,4,1,18,18,75,101,68,93,73,93,853,-1,-1,-1,-1,0,270,6,1.59456,1,3,18,18,78,82,75,92,100,110,245,835,-1,-1,-1,94,0,6,18.3142,4,12,18,18,72,132,68,73,66,77,154,194,650,-1,-1,0,0,6,0.40584,1,3,18,18,73,71,66,109,88,120,654,-1,-1,-1,-1,0,0,5,3,6,passive,1
17,26.31728,14,9,18,18,98,104,81,78,77,112,681,6,-1,-1,-1,0,0,2,3.92432,6,16,18,18,58,91,125,43,93,50,221,90,-1,-1,-1,100,0,0,19.84316,13,7,18,18,126,90,69,80,63,76,807,745,414,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,856,43,-1,-1,-1,97,234,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,500,-1,-1,-1,-1,0,0,0,1,10.21996,4,1,18,18,81,113,100,70,68,98,-1,-1,-1,-1,-1,100,0,0,7.52748,4,1,18,18,73,64,87,115,96,80,209,245,-1,-1,-1,0,270,6,0.45012,4,1,18,18,75,101,68,93,73,93,853,-1,-1,-1,-1,0,270,6,1.59456,1,3,18,18,78,82,75,92,100,110,245,835,-1,-1,-1,71,0,6,18.3142,4,12,18,18,72,132,68,73,66,77,154,194,650,-1,-1,0,0,6,0.40584,1,3,18,18,73,71,66,109,88,120,654,-1,-1,-1,-1,0,0,5,3,1,passive,1
18,26.31728,14,9,18,18,98,104,81,78,77,112,681,6,-1,-1,-1,0,0,2,3.92432,6,16,18,18,58,91,125,43,93,50,221,90,-1,-1,-1,100,0,0,19.84316,13,7,18,18,126,90,69,80,63,76,807,745,414,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,856,43,-1,-1,-1,58,234,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,500,-1,-1,-1,-1,0,0,0,3,10.21996,4,1,18,18,81,113,100,70,68,98,-1,-1,-1,-1,-1,100,0,0,7.52748,4,1,18,18,73,64,87,115,96,80,209,245,-1,-1,-1,0,270,6,0.45012,4,1,18,18,75,101,68,93,73,93,853,-1,-1,-1,-1,0,270,6,1.59456,1,3,18,18,78,82,75,92,100,110,245,835,705,-1,-1,58,0,6,18.3142,4,12,18,18,72,132,68,73,66,77,154,194,650,-1,-1,0,0,6,0.40584,1,3,18,18,73,71,66,109,88,120,654,-1,-1,-1,-1,0,0,5,3,8,passive,1
19,26.31728,14,9,18,18,98,104,81,78,77,112,681,6,-1,-1,-1,0,0,2,3.92432,6,16,18,18,58,91,125,43,93,50,221,90,-1,-1,-1,100,0,0,19.84316,13,7,18,18,126,90,69,80,63,76,807,745,414,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,856,43,-1,-1,-1,64,234,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,500,-1,-1,-1,-1,0,0,0,3,10.21996,4,1,18,18,81,113,100,70,68,98,-1,-1,-1,-1,-1,100,0,0,7.52748,4,1,18,18,73,64,87,115,96,80,209,245,-1,-1,-1,0,270,6,0.45012,4,1,18,18,75,101,68,93,73,93,853,-1,-1,-1,-1,0,270,6,1.59456,1,3,18,18,78,82,75,92,100,110,245,835,705,-1,-1,40,0,6,18.3142,4,12,18,18,72,132,68,73,66,77,154,194,650,-1,-1,0,0,6,0.40584,1,3,18,18,73,71,66,109,88,120,654,-1,-1,-1,-1,0,0,5,3,2,aggressive,1
20,26.31728,14,9,18,18,98,104,81,78,77,112,681,6,-1,-1,-1,0,0,2,3.92432,6,16,18,18,58,91,125,43,93,50,221,90,-1,-1,-1,100,0,0,19.84316,13,7,18,18,126,90,69,80,63,76,807,745,414,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,856,43,-1,-1,-1,31,234,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,500,-1,-1,-1,-1,0,0,0,3,10.21996,4,1,18,18,81,113,100,70,68,98,-1,-1,-1,-1,-1,95,0,6,7.52748,4,1,18,18,73,64,87,115,96,80,209,245,-1,-1,-1,0,270,6,0.45012,4,1,18,18,75,101,68,93,73,93,853,-1,-1,-1,-1,0,270,6,1.59456,1,3,18,18,78,82,75,92,100,110,245,835,705,-1,-1,40,0,6,18.3142,4,12,18,18,72,132,68,73,66,77,154,194,650,-1,-1,0,0,6,0.40584,1,3,18,18,73,71,66,109,88,120,654,-1,-1,-1,-1,0,0,5,0,1,passive,1
21,26.31728,14,9,18,18,98,104,81,78,77,112,681,6,-1,-1,-1,0,0,2,3.92432,6,16,18,18,58,91,125,43,93,50,221,90,-1,-1,-1,100,0,0,19.84316,13,7,18,18,126,90,69,80,63,76,807,745,414,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,856,43,-1,-1,-1,87,234,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,500,-1,-1,-1,-1,0,0,0,3,10.21996,4,1,18,18,81,113,100,70,68,98,423,-1,-1,-1,-1,83,0,6,7.52748,4,1,18,18,73,64,87,115,96,80,209,245,-1,-1,-1,0,270,6,0.45012,4,1,18,18,75,101,68,93,73,93,853,-1,-1,-1,-1,0,270,6,1.59456,1,3,18,18,78,82,75,92,100,110,245,835,705,-1,-1,40,0,6,18.3142,4,12,18,18,72,132,68,73,66,77,154,194,650,-1,-1,0,0,6,0.40584,1,3,18,18,73,71,66,109,88,120,654,-1,-1,-1,-1,0,0,5,0,2,aggressive,1
22,26.31728,14,9,18,18,98,104,81,78,77,112,681,6,-1,-1,-1,0,0,2,3.92432,6,16,18,18,58,91,125,43,93,50,221,90,-1,-1,-1,58,234,0,19.84316,13,7,18,18,126,90,69,80,63,76,807,745,414,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,856,43,-1,-1,-1,87,234,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,500,-1,-1,-1,-1,0,0,0,1,10.21996,4,1,18,18,81,113,100,70,68,98,423,-1,-1,-1,-1,65,0,6,7.52748,4,1,18,18,73,64,87,115,96,80,209,245,-1,-1,-1,0,270,6,0.45012,4,1,18,18,75,101,68,93,73,93,853,-1,-1,-1,-1,0,270,6,1.59456,1,3,18,18,78,82,75,92,100,110,245,835,705,-1,-1,40,0,6,18.3142,4,12,18,18,72,132,68,73,66,77,154,194,650,-1,-1,0,0,6,0.40584,1,3,18,18,73,71,66,109,88,120,654,-1,-1,-1,-1,0,0,5,0,6,passive,1
23,26.31728,14,9,18,18,98,104,81,78,77,112,681,6,-1,-1,-1,0,0,2,3.92432,6,16,18,18,58,91,125,43,93,50,221,90,-1,-1,-1,64,234,0,19.84316,13,7,18,18,126,90,69,80,63,76,807,745,414,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,856,43,-1,-1,-1,87,234,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,500,-1,-1,-1,-1,0,0,0,1,10.21996,4,1,18,18,81,113,100,70,68,98,423,-1,-1,-1,-1,27,0,6,7.52748,4,1,18,18,73,64,87,115,96,80,209,245,-1,-1,-1,0,270,6,0.45012,4,1,18,18,75,101,68,93,73,93,853,-1,-1,-1,-1,0,270,6,1.59456,1,3,18,18,78,82,75,92,100,110,245,835,705,-1,-1,40,0,6,18.3142,4,12,18,18,72,132,68,73,66,77,154,194,650,-1,-1,0,0,6,0.40584,1,3,18,18,73,71,66,109,88,120,654,-1,-1,-1,-1,0,0,5,0,1,passive,1
24,26.31728,14,9,18,18,98,104,81,78,77,112,681,6,-1,-1,-1,0,0,2,3.92432,6,16,18,18,58,91,125,43,93,50,221,90,-1,-1,-1,48,234,0,19.84316,13,7,18,18,126,90,69,80,63,76,807,745,414,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,856,43,-1,-1,-1,87,234,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,100,0,0,1.83304,15,7,18,18,76,76,60,100,93,98,500,-1,-1,-1,-1,0,0,0,1,10.21996,4,1,18,18,81,113,100,70,68,98,423,-1,-1,-1,-1,0,0,6,7.52748,4,1,18,18,73,64,87,115,96,80,209,245,-1,-1,-1,0,270,6,0.45012,4,1,18,18,75,101,68,93,73,93,853,-1,-1,-1,-1,0,270,6,1.59456,1,3,18,18,78,82,75,92,100,110,245,835,705,-1,-1,40,0,6,18.3142,4,12,18,18,72,132,68,73,66,77,154,194,650,-1,-1,0,0,6,0.40584,1,3,18,18,73,71,66,109,88,120,654,-1,-1,-1,-1,0,0,5,3,2,passive,1
25,26.31728,14,9,18,18,98,104,81,78,77,112,681,6,-1,-1,-1,0,0,2,3.92432,6,16,18,18,58,91,125,43,93,50,221,90,-1,-1,-1,48,234,0,19.84316,13,7,18,18,126,90,69,80,63,76,807,745,414,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,856,43,-1,-1,-1,87,234,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,35,234,2,1.83304,15,7,18,18,76,76,60,100,93,98,500,-1,-1,-1,-1,0,0,0,4,10.21996,4,1,18,18,81,113,100,70,68,98,423,-1,-1,-1,-1,0,0,6,7.52748,4,1,18,18,73,64,87,115,96,80,209,245,-1,-1,-1,0,270,6,0.45012,4,1,18,18,75,101,68,93,73,93,853,-1,-1,-1,-1,0,270,6,1.59456,1,3,18,18,78,82,75,92,100,110,245,835,705,-1,-1,34,0,6,18.3142,4,12,18,18,72,132,68,73,66,77,154,194,650,-1,-1,0,0,6,0.40584,1,3,18,18,73,71,66,109,88,120,654,-1,-1,-1,-1,0,0,5,3,9,passive,1
26,26.31728,14,9,18,18,98,104,81,78,77,112,681,6,-1,-1,-1,0,0,2,3.92432,6,16,18,18,58,91,125,43,93,50,221,90,-1,-1,-1,48,234,0,19.84316,13,7,18,18,126,90,69,80,63,76,807,745,414,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,856,43,-1,-1,-1,87,234,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,0,234,2,1.83304,15,7,18,18,76,76,60,100,93,98,500,-1,-1,-1,-1,0,0,0,1,10.21996,4,1,18,18,81,113,100,70,68,98,423,-1,-1,-1,-1,0,0,6,7.52748,4,1,18,18,73,64,87,115,96,80,209,245,-1,-1,-1,0,270,6,0.45012,4,1,18,18,75,101,68,93,73,93,853,-1,-1,-1,-1,0,270,6,1.59456,1,3,18,18,78,82,75,92,100,110,245,835,705,-1,-1,22,0,6,18.3142,4,12,18,18,72,132,68,73,66,77,154,194,650,-1,-1,0,0,6,0.40584,1,3,18,18,73,71,66,109,88,120,654,-1,-1,-1,-1,0,0,5,3,6,passive,1
27,26.31728,14,9,18,18,98,104,81,78,77,112,681,6,-1,-1,-1,0,0,2,3.92432,6,16,18,18,58,91,125,43,93,50,221,90,-1,-1,-1,54,234,0,19.84316,13,7,18,18,126,90,69,80,63,76,807,745,414,-1,-1,0,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,856,43,-1,-1,-1,87,234,0,19.59052,13,8,18,18,71,100,166,75,81,33,-1,-1,-1,-1,-1,0,234,2,1.83304,15,7,18,18,76,76,60,100,93,98,500,-1,-1,-1,-1,0,0,0,1,10.21996,4,1,18,18,81,113,100,70,68,98,423,-1,-1,-1,-1,0,0,6,7.52748,4,1,18,18,73,64,87,115,96,80,209,245,-1,-1,-1,0,270,6,0.45012,4,1,18,18,75,101,68,93,73,93,853,-1,-1,-1,-1,0,270,6,1.59456,1,3,18,18,78,82,75,92,100,110,245,835,705,-1,-1,0,0,6,18.3142,4,12,18,18,72,132,68,73,66,77,154,194,650,-1,-1,0,0,6,0.40584,1,3,18,18,73,71,66,109,88,120,654,-1,-1,-1,-1,0,0,5,3,1,passive,1
