turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type
10,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,-1,-1,-1,-1,99,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,96,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,-1,-1,72,540,0,2,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,100,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,63,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,-1,-1,-1,100,272,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,59,540,0,3,3,passive
11,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,-1,-1,-1,-1,99,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,69,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,-1,-1,72,540,0,2,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,100,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,63,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,-1,-1,-1,100,272,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,59,540,0,3,4,aggressive
12,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,-1,-1,-1,-1,99,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,69,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,-1,-1,75,234,0,5,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,100,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,63,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,-1,-1,-1,100,272,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,59,540,0,3,10,passive
13,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,-1,-1,-1,-1,99,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,69,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,414,-1,81,234,0,5,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,100,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,63,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,-1,-1,-1,100,0,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,59,540,0,3,3,aggressive
14,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,-1,-1,-1,-1,99,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,69,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,414,-1,87,234,0,5,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,100,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,63,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,-1,-1,-1,100,0,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,59,540,0,3,1,aggressive
15,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,-1,-1,-1,-1,99,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,94,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,414,-1,87,234,0,2,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,100,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,63,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,-1,-1,-1,100,0,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,59,540,0,3,7,passive
16,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,-1,-1,-1,-1,99,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,69,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,414,-1,87,234,0,2,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,100,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,63,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,-1,-1,-1,100,0,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,59,540,0,3,4,aggressive
17,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,-1,-1,-1,-1,99,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,41,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,414,-1,87,234,0,2,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,100,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,63,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,-1,-1,-1,100,0,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,59,540,0,3,1,passive
18,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,-1,-1,-1,-1,99,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,41,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,414,-1,84,234,0,5,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,100,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,63,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,-1,-1,-1,100,0,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,59,540,0,3,10,passive
19,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,-1,-1,-1,-1,99,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,68,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,414,-1,84,234,0,2,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,100,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,63,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,-1,-1,-1,100,0,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,59,540,0,3,7,passive
20,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,-1,-1,-1,-1,99,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,68,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,414,-1,84,234,0,2,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,100,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,63,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,-1,-1,-1,100,0,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,70,540,0,5,4,aggressive
21,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,-1,-1,-1,-1,99,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,64,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,414,-1,84,234,0,2,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,100,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,63,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,-1,-1,-1,100,0,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,47,540,6,5,2,passive
22,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,-1,-1,-1,-1,99,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,64,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,414,-1,100,234,0,5,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,100,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,57,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,-1,-1,-1,100,0,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,47,540,6,1,10,passive
23,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,-1,-1,-1,-1,99,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,64,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,414,-1,92,234,0,5,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,88,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,57,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,-1,-1,-1,100,0,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,47,540,6,0,1,aggressive
24,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,-1,-1,-1,-1,92,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,64,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,414,-1,92,234,0,1,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,88,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,57,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,-1,-1,-1,100,0,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,47,540,6,0,6,passive
25,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,486,-1,-1,-1,98,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,64,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,414,-1,92,234,0,1,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,88,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,57,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,-1,-1,-1,73,0,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,47,540,6,3,1,passive
26,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,486,615,-1,-1,66,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,64,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,414,-1,92,234,0,1,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,88,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,57,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,218,-1,-1,75,0,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,47,540,6,3,2,aggressive
27,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,486,615,-1,-1,66,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,92,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,414,-1,92,234,0,2,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,88,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,57,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,218,767,-1,75,0,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,47,540,6,3,7,passive
28,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,75,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,486,615,-1,-1,66,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,414,-1,92,234,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,88,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,57,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,218,767,-1,75,0,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,47,540,6,3,5,passive
29,20.19016,0,1,18,18,118,118,83,66,65,86,217,-1,-1,-1,-1,75,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,486,615,-1,-1,66,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,414,-1,92,234,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,88,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,57,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,218,767,-1,40,158,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,47,540,6,3,5,passive
30,20.19016,0,1,18,18,118,118,83,66,65,86,217,-1,-1,-1,-1,75,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,641,486,615,-1,-1,66,234,0,19.06192,16,2,18,18,60,68,148,44,94,46,717,806,641,313,-1,0,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0.57596,3,8,18,18,70,89,71,101,88,100,-1,-1,-1,-1,-1,100,0,0,14.4856,16,4,18,18,100,100,116,103,83,66,729,427,825,414,-1,92,234,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,245,-1,-1,-1,-1,88,0,0,19.74932,13,16,18,18,70,130,100,75,86,56,825,-1,-1,-1,-1,57,0,2,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,194,142,218,767,-1,0,158,6,35.64032,2,13,18,18,56,53,140,51,121,21,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,595,729,-1,-1,-1,74,540,6,5,1,aggressive
