turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type,Win
10,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,73,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,33,0,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,100,0,0,3,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,-1,-1,-1,-1,-1,67,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,-1,-1,-1,62,234,0,2,1,aggressive,0
11,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,73,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,33,0,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,100,0,0,3,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,-1,-1,-1,-1,-1,67,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,-1,-1,-1,42,234,0,5,4,aggressive,0
12,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,73,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,39,234,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,100,0,0,3,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,-1,-1,-1,-1,-1,67,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,729,-1,-1,42,0,0,5,2,passive,0
13,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,73,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,45,234,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,100,0,0,3,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,-1,-1,-1,-1,-1,67,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,729,163,-1,14,0,0,5,5,passive,0
14,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,73,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,-1,-1,-1,-1,-1,100,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,45,234,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,90,0,0,5,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,-1,-1,-1,-1,-1,73,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,729,163,-1,9,0,0,4,10,passive,0
15,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,73,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,-1,-1,-1,-1,-1,88,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,45,234,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,73,-1,-1,-1,-1,0,0,0,1,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,641,-1,-1,-1,-1,0,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,729,163,-1,9,0,0,3,6,passive,0
16,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,73,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,602,-1,-1,-1,-1,88,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,45,234,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,73,-1,-1,-1,-1,0,0,0,1,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,100,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,812,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,641,-1,-1,-1,-1,0,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,729,163,-1,9,0,0,3,6,passive,0
17,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,73,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,602,595,-1,-1,-1,88,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,45,234,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,73,-1,-1,-1,-1,0,0,0,1,27.05616,15,9,18,18,72,101,71,54,77,120,-1,-1,-1,-1,-1,96,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,812,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,641,-1,-1,-1,-1,0,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,729,163,-1,9,0,0,0,1,passive,0
18,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,73,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,602,595,-1,-1,-1,88,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,45,234,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,73,-1,-1,-1,-1,0,0,0,3,27.05616,15,9,18,18,72,101,71,54,77,120,767,-1,-1,-1,-1,96,0,0,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,812,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,641,-1,-1,-1,-1,0,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,729,163,-1,9,0,0,0,8,passive,0
19,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,73,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,602,595,-1,-1,-1,88,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,0,234,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,73,-1,-1,-1,-1,0,0,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,767,681,-1,-1,-1,13,0,4,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,812,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,641,-1,-1,-1,-1,0,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,729,163,-1,9,0,0,0,5,passive,0
20,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,11,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,602,595,-1,-1,-1,88,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,0,234,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,73,-1,-1,-1,-1,0,0,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,767,681,6,-1,-1,13,0,4,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,812,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,641,-1,-1,-1,-1,0,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,729,163,-1,9,0,0,0,1,aggressive,0
21,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,1,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,602,595,-1,-1,-1,88,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,0,234,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,73,-1,-1,-1,-1,0,0,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,767,681,6,-1,-1,0,0,4,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,812,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,641,-1,-1,-1,-1,0,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,729,163,-1,9,0,0,5,2,aggressive,0
22,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,1,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,602,595,-1,-1,-1,88,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,0,234,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,73,-1,-1,-1,-1,0,0,0,1,27.05616,15,9,18,18,72,101,71,54,77,120,767,681,6,-1,-1,0,0,4,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,812,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,641,-1,-1,-1,-1,0,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,729,163,-1,9,0,0,5,6,passive,0
23,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,1,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,602,595,-1,-1,-1,88,0,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,0,234,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,73,-1,-1,-1,-1,0,0,0,1,27.05616,15,9,18,18,72,101,71,54,77,120,767,681,6,-1,-1,0,0,4,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,812,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,641,-1,-1,-1,-1,0,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,729,163,-1,8,0,0,5,2,aggressive,0
24,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,1,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,602,595,-1,-1,-1,51,234,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,0,234,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,73,-1,-1,-1,-1,0,0,0,1,27.05616,15,9,18,18,72,101,71,54,77,120,767,681,6,-1,-1,0,0,4,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,812,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,641,-1,-1,-1,-1,0,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,729,163,-1,8,0,0,5,2,aggressive,0
25,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,1,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,602,595,825,-1,-1,48,234,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,0,234,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,73,-1,-1,-1,-1,0,0,0,1,27.05616,15,9,18,18,72,101,71,54,77,120,767,681,6,-1,-1,0,0,4,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,812,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,641,-1,-1,-1,-1,0,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,729,163,-1,2,0,0,5,6,passive,0
26,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,1,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,602,595,825,-1,-1,48,234,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,0,234,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,73,-1,-1,-1,-1,0,0,0,1,27.05616,15,9,18,18,72,101,71,54,77,120,767,681,6,-1,-1,0,0,4,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,812,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,641,-1,-1,-1,-1,0,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,729,163,-1,1,0,0,5,2,aggressive,0
27,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,1,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,602,595,825,-1,-1,48,234,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,0,234,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,73,-1,-1,-1,-1,0,0,0,1,27.05616,15,9,18,18,72,101,71,54,77,120,767,681,6,-1,-1,0,0,4,15.83392,14,3,18,18,113,100,80,125,93,108,-1,-1,-1,-1,-1,100,0,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,812,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,641,-1,-1,-1,-1,0,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,729,163,-1,0,0,0,1,2,aggressive,0
28,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,1,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,602,595,825,-1,-1,9,234,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,0,234,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,73,-1,-1,-1,-1,0,0,0,1,27.05616,15,9,18,18,72,101,71,54,77,120,767,681,6,-1,-1,0,0,4,15.83392,14,3,18,18,113,100,80,125,93,108,95,-1,-1,-1,-1,97,0,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,812,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,641,-1,-1,-1,-1,0,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,729,163,-1,0,0,0,1,2,aggressive,0
29,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,1,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,602,595,825,-1,-1,0,234,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,0,234,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,73,-1,-1,-1,-1,0,0,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,767,681,6,-1,-1,0,0,4,15.83392,14,3,18,18,113,100,80,125,93,108,95,193,-1,-1,-1,84,270,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,812,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,641,-1,-1,-1,-1,0,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,729,163,-1,0,0,0,1,5,passive,0
30,6.6418,2,8,18,18,99,128,89,66,95,95,175,838,-1,-1,-1,0,270,0,6.21572,2,17,18,18,72,72,90,82,95,103,602,595,825,-1,-1,0,234,0,14.43896,17,9,18,18,93,111,85,106,120,73,194,217,-1,-1,-1,0,270,2,17.29788,1,16,18,18,73,78,99,126,93,67,835,812,691,825,-1,0,234,0,8.86156,15,7,18,18,60,78,60,123,65,108,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,73,-1,-1,-1,-1,0,0,0,0,27.05616,15,9,18,18,72,101,71,54,77,120,767,681,6,-1,-1,0,0,4,15.83392,14,3,18,18,113,100,80,125,93,108,95,193,-1,-1,-1,75,270,0,6.168,7,4,18,18,103,101,108,80,83,50,414,563,-1,-1,-1,78,540,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,812,-1,-1,-1,6,0,0,16.132,2,17,18,18,83,64,83,92,108,104,641,-1,-1,-1,-1,0,234,0,20.8538,16,14,18,18,97,103,93,108,96,98,779,825,729,163,-1,0,0,0,1,5,passive,0
