turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type
10,19.74932,13,16,18,18,70,130,100,75,86,56,767,-1,-1,-1,-1,0,0,0,40.04416,9,5,18,18,97,74,74,97,84,79,75,372,-1,-1,-1,64,0,0,14.1592,2,6,18,18,103,108,90,85,73,50,184,785,-1,-1,-1,67,234,5,26.17568,4,3,18,18,63,73,68,83,70,110,-1,-1,-1,-1,-1,100,0,0,19.23688,7,8,18,18,63,101,130,55,114,45,595,-1,-1,-1,-1,100,0,0,38.70092,14,17,18,18,69,109,83,56,81,96,-1,-1,-1,-1,-1,100,0,0,2,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,7.91804,2,8,18,18,82,93,80,40,61,81,-1,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,194,563,-1,-1,27,234,0,12.24024,1,14,18,18,90,103,90,125,86,95,-1,-1,-1,-1,-1,100,0,0,14.44444,13,6,18,18,58,103,101,83,90,56,721,-1,-1,-1,-1,100,272,6,3.23076,0,7,18,18,80,86,76,90,86,46,735,807,-1,-1,-1,54,0,0,4,1,aggressive
11,19.74932,13,16,18,18,70,130,100,75,86,56,767,-1,-1,-1,-1,0,0,0,40.04416,9,5,18,18,97,74,74,97,84,79,75,372,-1,-1,-1,28,0,0,14.1592,2,6,18,18,103,108,90,85,73,50,184,785,-1,-1,-1,67,234,5,26.17568,4,3,18,18,63,73,68,83,70,110,-1,-1,-1,-1,-1,100,0,0,19.23688,7,8,18,18,63,101,130,55,114,45,595,-1,-1,-1,-1,100,0,0,38.70092,14,17,18,18,69,109,83,56,81,96,-1,-1,-1,-1,-1,100,0,0,1,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,7.91804,2,8,18,18,82,93,80,40,61,81,-1,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,194,563,-1,-1,27,234,0,12.24024,1,14,18,18,90,103,90,125,86,95,-1,-1,-1,-1,-1,100,0,0,14.44444,13,6,18,18,58,103,101,83,90,56,721,-1,-1,-1,-1,100,272,6,3.23076,0,7,18,18,80,86,76,90,86,46,735,807,-1,-1,-1,54,0,0,4,6,passive
12,19.74932,13,16,18,18,70,130,100,75,86,56,767,-1,-1,-1,-1,0,0,0,40.04416,9,5,18,18,97,74,74,97,84,79,75,372,-1,-1,-1,28,0,0,14.1592,2,6,18,18,103,108,90,85,73,50,184,785,-1,-1,-1,67,234,5,26.17568,4,3,18,18,63,73,68,83,70,110,-1,-1,-1,-1,-1,100,0,0,19.23688,7,8,18,18,63,101,130,55,114,45,595,-1,-1,-1,-1,100,0,0,38.70092,14,17,18,18,69,109,83,56,81,96,-1,-1,-1,-1,-1,100,0,0,1,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,7.91804,2,8,18,18,82,93,80,40,61,81,-1,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,194,563,-1,-1,27,234,0,12.24024,1,14,18,18,90,103,90,125,86,95,-1,-1,-1,-1,-1,100,0,0,14.44444,13,6,18,18,58,103,101,83,90,56,721,-1,-1,-1,-1,100,272,6,3.23076,0,7,18,18,80,86,76,90,86,46,735,807,-1,-1,-1,24,0,0,5,2,aggressive
13,19.74932,13,16,18,18,70,130,100,75,86,56,767,-1,-1,-1,-1,0,0,0,40.04416,9,5,18,18,97,74,74,97,84,79,75,372,-1,-1,-1,28,0,0,14.1592,2,6,18,18,103,108,90,85,73,50,184,785,-1,-1,-1,67,234,5,26.17568,4,3,18,18,63,73,68,83,70,110,-1,-1,-1,-1,-1,100,0,0,19.23688,7,8,18,18,63,101,130,55,114,45,595,-1,-1,-1,-1,100,0,0,38.70092,14,17,18,18,69,109,83,56,81,96,-1,-1,-1,-1,-1,100,0,0,1,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,7.91804,2,8,18,18,82,93,80,40,61,81,-1,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,194,563,-1,-1,27,234,0,12.24024,1,14,18,18,90,103,90,125,86,95,-1,-1,-1,-1,-1,100,0,0,14.44444,13,6,18,18,58,103,101,83,90,56,721,-1,-1,-1,-1,100,272,6,3.23076,0,7,18,18,80,86,76,90,86,46,735,807,-1,-1,-1,17,0,0,5,2,aggressive
14,19.74932,13,16,18,18,70,130,100,75,86,56,767,-1,-1,-1,-1,0,0,0,40.04416,9,5,18,18,97,74,74,97,84,79,75,372,-1,-1,-1,28,0,0,14.1592,2,6,18,18,103,108,90,85,73,50,184,785,-1,-1,-1,67,234,5,26.17568,4,3,18,18,63,73,68,83,70,110,-1,-1,-1,-1,-1,100,0,0,19.23688,7,8,18,18,63,101,130,55,114,45,595,-1,-1,-1,-1,100,0,0,38.70092,14,17,18,18,69,109,83,56,81,96,-1,-1,-1,-1,-1,100,0,0,1,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,7.91804,2,8,18,18,82,93,80,40,61,81,-1,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,194,563,-1,-1,27,234,0,12.24024,1,14,18,18,90,103,90,125,86,95,-1,-1,-1,-1,-1,100,0,0,14.44444,13,6,18,18,58,103,101,83,90,56,721,-1,-1,-1,-1,100,272,6,3.23076,0,7,18,18,80,86,76,90,86,46,735,807,-1,-1,-1,0,0,0,1,2,aggressive
15,19.74932,13,16,18,18,70,130,100,75,86,56,767,-1,-1,-1,-1,0,0,0,40.04416,9,5,18,18,97,74,74,97,84,79,75,372,-1,-1,-1,28,0,0,14.1592,2,6,18,18,103,108,90,85,73,50,184,785,-1,-1,-1,67,234,5,26.17568,4,3,18,18,63,73,68,83,70,110,-1,-1,-1,-1,-1,88,0,5,19.23688,7,8,18,18,63,101,130,55,114,45,595,-1,-1,-1,-1,100,0,0,38.70092,14,17,18,18,69,109,83,56,81,96,-1,-1,-1,-1,-1,100,0,0,3,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,7.91804,2,8,18,18,82,93,80,40,61,81,175,-1,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,194,563,-1,-1,27,234,0,12.24024,1,14,18,18,90,103,90,125,86,95,-1,-1,-1,-1,-1,100,0,0,14.44444,13,6,18,18,58,103,101,83,90,56,721,-1,-1,-1,-1,100,272,6,3.23076,0,7,18,18,80,86,76,90,86,46,735,807,-1,-1,-1,0,0,0,1,8,passive
16,19.74932,13,16,18,18,70,130,100,75,86,56,767,-1,-1,-1,-1,0,0,0,40.04416,9,5,18,18,97,74,74,97,84,79,75,372,-1,-1,-1,28,0,0,14.1592,2,6,18,18,103,108,90,85,73,50,184,785,-1,-1,-1,67,234,5,26.17568,4,3,18,18,63,73,68,83,70,110,-1,-1,-1,-1,-1,0,0,5,19.23688,7,8,18,18,63,101,130,55,114,45,595,-1,-1,-1,-1,100,0,0,38.70092,14,17,18,18,69,109,83,56,81,96,-1,-1,-1,-1,-1,100,0,0,2,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,7.91804,2,8,18,18,82,93,80,40,61,81,175,234,-1,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,194,563,-1,-1,27,234,0,12.24024,1,14,18,18,90,103,90,125,86,95,-1,-1,-1,-1,-1,100,0,0,14.44444,13,6,18,18,58,103,101,83,90,56,721,-1,-1,-1,-1,100,272,6,3.23076,0,7,18,18,80,86,76,90,86,46,735,807,-1,-1,-1,0,0,0,1,7,passive
17,19.74932,13,16,18,18,70,130,100,75,86,56,767,-1,-1,-1,-1,0,0,0,40.04416,9,5,18,18,97,74,74,97,84,79,75,372,-1,-1,-1,28,0,0,14.1592,2,6,18,18,103,108,90,85,73,50,184,785,-1,-1,-1,0,234,5,26.17568,4,3,18,18,63,73,68,83,70,110,-1,-1,-1,-1,-1,0,0,5,19.23688,7,8,18,18,63,101,130,55,114,45,595,-1,-1,-1,-1,100,0,0,38.70092,14,17,18,18,69,109,83,56,81,96,-1,-1,-1,-1,-1,100,0,0,1,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,7.91804,2,8,18,18,82,93,80,40,61,81,175,234,194,-1,-1,100,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,194,563,-1,-1,27,234,0,12.24024,1,14,18,18,90,103,90,125,86,95,-1,-1,-1,-1,-1,100,0,0,14.44444,13,6,18,18,58,103,101,83,90,56,721,-1,-1,-1,-1,100,272,6,3.23076,0,7,18,18,80,86,76,90,86,46,735,807,-1,-1,-1,0,0,0,1,6,passive
18,19.74932,13,16,18,18,70,130,100,75,86,56,767,-1,-1,-1,-1,0,0,0,40.04416,9,5,18,18,97,74,74,97,84,79,75,372,-1,-1,-1,0,0,0,14.1592,2,6,18,18,103,108,90,85,73,50,184,785,-1,-1,-1,0,234,5,26.17568,4,3,18,18,63,73,68,83,70,110,-1,-1,-1,-1,-1,0,0,5,19.23688,7,8,18,18,63,101,130,55,114,45,595,-1,-1,-1,-1,100,0,0,38.70092,14,17,18,18,69,109,83,56,81,96,-1,-1,-1,-1,-1,100,0,5,5,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,7.91804,2,8,18,18,82,93,80,40,61,81,175,234,194,-1,-1,23,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,194,563,-1,-1,27,234,0,12.24024,1,14,18,18,90,103,90,125,86,95,-1,-1,-1,-1,-1,100,0,0,14.44444,13,6,18,18,58,103,101,83,90,56,721,-1,-1,-1,-1,100,272,6,3.23076,0,7,18,18,80,86,76,90,86,46,735,807,-1,-1,-1,0,0,0,1,10,passive
19,19.74932,13,16,18,18,70,130,100,75,86,56,767,-1,-1,-1,-1,0,0,0,40.04416,9,5,18,18,97,74,74,97,84,79,75,372,-1,-1,-1,0,0,0,14.1592,2,6,18,18,103,108,90,85,73,50,184,785,-1,-1,-1,0,234,5,26.17568,4,3,18,18,63,73,68,83,70,110,-1,-1,-1,-1,-1,0,0,5,19.23688,7,8,18,18,63,101,130,55,114,45,595,-1,-1,-1,-1,100,0,0,38.70092,14,17,18,18,69,109,83,56,81,96,-1,-1,-1,-1,-1,0,0,5,4,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,7.91804,2,8,18,18,82,93,80,40,61,81,175,234,194,-1,-1,23,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,194,563,-1,-1,27,234,0,12.24024,1,14,18,18,90,103,90,125,86,95,-1,-1,-1,-1,-1,100,0,0,14.44444,13,6,18,18,58,103,101,83,90,56,721,-1,-1,-1,-1,100,272,6,3.23076,0,7,18,18,80,86,76,90,86,46,735,807,-1,-1,-1,0,0,0,1,9,passive
20,19.74932,13,16,18,18,70,130,100,75,86,56,767,-1,-1,-1,-1,0,0,0,40.04416,9,5,18,18,97,74,74,97,84,79,75,372,-1,-1,-1,0,0,0,14.1592,2,6,18,18,103,108,90,85,73,50,184,785,-1,-1,-1,0,234,5,26.17568,4,3,18,18,63,73,68,83,70,110,-1,-1,-1,-1,-1,0,0,5,19.23688,7,8,18,18,63,101,130,55,114,45,595,-1,-1,-1,-1,0,0,0,38.70092,14,17,18,18,69,109,83,56,81,96,-1,-1,-1,-1,-1,0,0,5,4,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,7.91804,2,8,18,18,82,93,80,40,61,81,175,234,194,-1,-1,23,0,0,26.82736,16,4,18,18,76,132,110,92,90,50,90,194,563,-1,-1,27,234,0,12.24024,1,14,18,18,90,103,90,125,86,95,-1,-1,-1,-1,-1,100,0,0,14.44444,13,6,18,18,58,103,101,83,90,56,721,-1,-1,-1,-1,100,272,6,3.23076,0,7,18,18,80,86,76,90,86,46,735,807,-1,-1,-1,0,0,0,1,9,passive
