turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type,Win
10,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,23.54728,8,14,18,18,75,129,101,50,73,96,175,740,194,-1,-1,100,272,6,5.80592,14,1,18,18,79,86,78,123,101,103,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,221,539,391,-1,-1,100,0,0,1.39772,17,9,18,18,85,76,117,76,83,66,-1,-1,-1,-1,-1,100,0,0,1,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,729,-1,-1,-1,-1,0,234,0,8.18936,16,4,18,18,90,90,76,101,95,113,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,812,811,-1,-1,-1,6,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,391,-1,-1,-1,-1,91,270,0,7.9826,3,9,18,18,75,83,91,110,86,106,-1,-1,-1,-1,-1,0,234,0,4,2,passive,1
11,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,23.54728,8,14,18,18,75,129,101,50,73,96,175,740,194,-1,-1,0,272,6,5.80592,14,1,18,18,79,86,78,123,101,103,-1,-1,-1,-1,-1,76,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,221,539,391,-1,-1,100,0,0,1.39772,17,9,18,18,85,76,117,76,83,66,-1,-1,-1,-1,-1,100,0,0,2,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,729,-1,-1,-1,-1,0,234,0,8.18936,16,4,18,18,90,90,76,101,95,113,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,812,811,-1,-1,-1,6,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,391,389,-1,-1,-1,81,270,0,7.9826,3,9,18,18,75,83,91,110,86,106,-1,-1,-1,-1,-1,0,234,0,4,7,passive,1
12,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,23.54728,8,14,18,18,75,129,101,50,73,96,175,740,194,-1,-1,0,272,6,5.80592,14,1,18,18,79,86,78,123,101,103,245,-1,-1,-1,-1,76,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,221,539,391,-1,-1,100,0,0,1.39772,17,9,18,18,85,76,117,76,83,66,-1,-1,-1,-1,-1,100,0,0,2,7.63588,14,1,18,18,101,121,83,103,78,100,-1,-1,-1,-1,-1,100,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,729,-1,-1,-1,-1,0,234,0,8.18936,16,4,18,18,90,90,76,101,95,113,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,812,811,-1,-1,-1,0,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,391,389,-1,-1,-1,81,270,0,7.9826,3,9,18,18,75,83,91,110,86,106,-1,-1,-1,-1,-1,0,234,0,0,7,passive,1
13,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,23.54728,8,14,18,18,75,129,101,50,73,96,175,740,194,-1,-1,0,272,6,5.80592,14,1,18,18,79,86,78,123,101,103,245,-1,-1,-1,-1,76,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,221,539,391,-1,-1,76,0,0,1.39772,17,9,18,18,85,76,117,76,83,66,-1,-1,-1,-1,-1,0,0,0,4,7.63588,14,1,18,18,101,121,83,103,78,100,827,-1,-1,-1,-1,100,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,729,-1,-1,-1,-1,0,234,0,8.18936,16,4,18,18,90,90,76,101,95,113,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,812,811,-1,-1,-1,0,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,391,389,-1,-1,-1,81,270,0,7.9826,3,9,18,18,75,83,91,110,86,106,-1,-1,-1,-1,-1,0,234,0,0,9,passive,1
14,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,23.54728,8,14,18,18,75,129,101,50,73,96,175,740,194,-1,-1,0,272,6,5.80592,14,1,18,18,79,86,78,123,101,103,245,-1,-1,-1,-1,76,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,221,539,391,-1,-1,76,0,0,1.39772,17,9,18,18,85,76,117,76,83,66,-1,-1,-1,-1,-1,0,0,0,4,7.63588,14,1,18,18,101,121,83,103,78,100,827,-1,-1,-1,-1,100,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,729,-1,-1,-1,-1,0,234,0,8.18936,16,4,18,18,90,90,76,101,95,113,-1,-1,-1,-1,-1,51,234,0,6.4828,13,0,18,18,68,75,66,131,75,96,812,811,-1,-1,-1,0,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,391,389,-1,-1,-1,81,270,0,7.9826,3,9,18,18,75,83,91,110,86,106,-1,-1,-1,-1,-1,0,234,0,2,3,passive,1
15,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,23.54728,8,14,18,18,75,129,101,50,73,96,175,740,194,-1,-1,0,272,6,5.80592,14,1,18,18,79,86,78,123,101,103,245,-1,-1,-1,-1,76,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,221,539,391,-1,-1,34,0,0,1.39772,17,9,18,18,85,76,117,76,83,66,-1,-1,-1,-1,-1,0,0,0,4,7.63588,14,1,18,18,101,121,83,103,78,100,827,-1,-1,-1,-1,100,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,729,-1,-1,-1,-1,0,234,0,8.18936,16,4,18,18,90,90,76,101,95,113,403,-1,-1,-1,-1,7,234,0,6.4828,13,0,18,18,68,75,66,131,75,96,812,811,-1,-1,-1,0,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,391,389,-1,-1,-1,81,270,0,7.9826,3,9,18,18,75,83,91,110,86,106,-1,-1,-1,-1,-1,0,234,0,2,3,passive,1
16,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,23.54728,8,14,18,18,75,129,101,50,73,96,175,740,194,-1,-1,0,272,6,5.80592,14,1,18,18,79,86,78,123,101,103,245,-1,-1,-1,-1,76,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,221,539,391,-1,-1,34,0,0,1.39772,17,9,18,18,85,76,117,76,83,66,-1,-1,-1,-1,-1,0,0,0,4,7.63588,14,1,18,18,101,121,83,103,78,100,827,-1,-1,-1,-1,100,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,729,-1,-1,-1,-1,0,234,0,8.18936,16,4,18,18,90,90,76,101,95,113,403,-1,-1,-1,-1,0,234,0,6.4828,13,0,18,18,68,75,66,131,75,96,812,811,-1,-1,-1,0,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,391,389,-1,-1,-1,81,270,0,7.9826,3,9,18,18,75,83,91,110,86,106,-1,-1,-1,-1,-1,0,234,0,0,3,passive,1
17,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,23.54728,8,14,18,18,75,129,101,50,73,96,175,740,194,-1,-1,0,272,6,5.80592,14,1,18,18,79,86,78,123,101,103,245,-1,-1,-1,-1,76,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,88,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,221,539,391,-1,-1,34,0,0,1.39772,17,9,18,18,85,76,117,76,83,66,-1,-1,-1,-1,-1,0,0,0,3,7.63588,14,1,18,18,101,121,83,103,78,100,827,217,-1,-1,-1,100,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,729,-1,-1,-1,-1,0,234,0,8.18936,16,4,18,18,90,90,76,101,95,113,403,-1,-1,-1,-1,0,234,0,6.4828,13,0,18,18,68,75,66,131,75,96,812,811,-1,-1,-1,0,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,391,389,-1,-1,-1,81,270,0,7.9826,3,9,18,18,75,83,91,110,86,106,-1,-1,-1,-1,-1,0,234,0,0,8,passive,1
18,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,23.54728,8,14,18,18,75,129,101,50,73,96,175,740,194,-1,-1,0,272,6,5.80592,14,1,18,18,79,86,78,123,101,103,245,-1,-1,-1,-1,76,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,-1,-1,-1,-1,88,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,221,539,391,-1,-1,34,0,0,1.39772,17,9,18,18,85,76,117,76,83,66,-1,-1,-1,-1,-1,0,0,0,3,7.63588,14,1,18,18,101,121,83,103,78,100,827,217,-1,-1,-1,100,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,729,-1,-1,-1,-1,0,234,0,8.18936,16,4,18,18,90,90,76,101,95,113,403,-1,-1,-1,-1,0,234,0,6.4828,13,0,18,18,68,75,66,131,75,96,812,811,-1,-1,-1,0,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,391,389,-1,-1,-1,3,270,0,7.9826,3,9,18,18,75,83,91,110,86,106,-1,-1,-1,-1,-1,0,234,0,4,8,passive,1
19,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,23.54728,8,14,18,18,75,129,101,50,73,96,175,740,194,-1,-1,0,272,6,5.80592,14,1,18,18,79,86,78,123,101,103,245,-1,-1,-1,-1,76,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,-1,-1,-1,-1,88,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,221,539,391,-1,-1,34,0,0,1.39772,17,9,18,18,85,76,117,76,83,66,-1,-1,-1,-1,-1,0,0,0,3,7.63588,14,1,18,18,101,121,83,103,78,100,827,217,-1,-1,-1,100,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,729,-1,-1,-1,-1,0,234,0,8.18936,16,4,18,18,90,90,76,101,95,113,403,-1,-1,-1,-1,0,234,0,6.4828,13,0,18,18,68,75,66,131,75,96,812,811,-1,-1,-1,0,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,391,389,-1,-1,-1,0,270,0,7.9826,3,9,18,18,75,83,91,110,86,106,-1,-1,-1,-1,-1,0,234,0,0,1,passive,1
20,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,23.54728,8,14,18,18,75,129,101,50,73,96,175,740,194,-1,-1,0,272,6,5.80592,14,1,18,18,79,86,78,123,101,103,245,-1,-1,-1,-1,51,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,-1,-1,-1,-1,0,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,221,539,391,-1,-1,34,0,0,1.39772,17,9,18,18,85,76,117,76,83,66,-1,-1,-1,-1,-1,0,0,0,2,7.63588,14,1,18,18,101,121,83,103,78,100,827,217,522,-1,-1,31,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,729,-1,-1,-1,-1,0,234,0,8.18936,16,4,18,18,90,90,76,101,95,113,403,-1,-1,-1,-1,0,234,0,6.4828,13,0,18,18,68,75,66,131,75,96,812,811,-1,-1,-1,0,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,391,389,-1,-1,-1,0,270,0,7.9826,3,9,18,18,75,83,91,110,86,106,-1,-1,-1,-1,-1,0,234,0,0,7,passive,1
21,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,23.54728,8,14,18,18,75,129,101,50,73,96,175,740,194,-1,-1,0,272,6,5.80592,14,1,18,18,79,86,78,123,101,103,245,171,-1,-1,-1,0,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,-1,-1,-1,-1,0,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,221,539,391,-1,-1,9,0,0,1.39772,17,9,18,18,85,76,117,76,83,66,-1,-1,-1,-1,-1,0,0,0,4,7.63588,14,1,18,18,101,121,83,103,78,100,827,217,522,-1,-1,31,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,729,-1,-1,-1,-1,0,234,0,8.18936,16,4,18,18,90,90,76,101,95,113,403,-1,-1,-1,-1,0,234,0,6.4828,13,0,18,18,68,75,66,131,75,96,812,811,-1,-1,-1,0,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,391,389,-1,-1,-1,0,270,0,7.9826,3,9,18,18,75,83,91,110,86,106,-1,-1,-1,-1,-1,0,234,0,0,9,passive,1
22,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,23.54728,8,14,18,18,75,129,101,50,73,96,175,740,194,-1,-1,0,272,6,5.80592,14,1,18,18,79,86,78,123,101,103,245,171,-1,-1,-1,0,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,811,-1,-1,-1,-1,0,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,221,539,391,-1,-1,9,0,0,1.39772,17,9,18,18,85,76,117,76,83,66,-1,-1,-1,-1,-1,0,0,0,4,7.63588,14,1,18,18,101,121,83,103,78,100,827,217,522,-1,-1,0,0,0,22.77236,17,16,18,18,81,79,119,98,115,40,729,-1,-1,-1,-1,0,234,0,8.18936,16,4,18,18,90,90,76,101,95,113,403,-1,-1,-1,-1,0,234,0,6.4828,13,0,18,18,68,75,66,131,75,96,812,811,-1,-1,-1,0,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,391,389,-1,-1,-1,0,270,0,7.9826,3,9,18,18,75,83,91,110,86,106,-1,-1,-1,-1,-1,0,234,0,0,3,passive,1
