turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type
10,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,486,854,704,-1,-1,99,234,4,18.04988,13,9,18,18,55,96,128,58,115,78,567,-1,-1,-1,-1,100,272,6,28.3268,0,14,18,18,85,73,76,122,76,112,75,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,-1,-1,-1,-1,-1,0,0,0,3,13.48008,0,6,18,18,68,94,75,70,87,107,-1,-1,-1,-1,-1,100,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,794,384,447,811,-1,0,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,-1,-1,-1,-1,-1,100,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,800,712,-1,-1,-1,83,0,2,19.00792,16,9,18,18,71,123,91,83,83,96,-1,-1,-1,-1,-1,100,0,0,2,8,passive
11,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,486,854,704,-1,-1,99,234,4,18.04988,13,9,18,18,55,96,128,58,115,78,567,414,-1,-1,-1,100,272,6,28.3268,0,14,18,18,85,73,76,122,76,112,75,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,-1,-1,-1,-1,-1,0,0,0,3,13.48008,0,6,18,18,68,94,75,70,87,107,-1,-1,-1,-1,-1,100,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,794,384,447,811,-1,0,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,206,-1,-1,-1,-1,53,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,800,712,-1,-1,-1,83,0,2,19.00792,16,9,18,18,71,123,91,83,83,96,-1,-1,-1,-1,-1,100,0,0,2,1,aggressive
12,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,486,854,704,-1,-1,100,234,4,18.04988,13,9,18,18,55,96,128,58,115,78,567,414,-1,-1,-1,100,272,6,28.3268,0,14,18,18,85,73,76,122,76,112,75,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,-1,-1,-1,-1,-1,0,0,0,2,13.48008,0,6,18,18,68,94,75,70,87,107,-1,-1,-1,-1,-1,100,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,794,384,447,811,-1,0,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,206,-1,-1,-1,-1,53,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,800,712,-1,-1,-1,83,0,2,19.00792,16,9,18,18,71,123,91,83,83,96,-1,-1,-1,-1,-1,100,0,0,2,7,passive
13,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,486,854,704,-1,-1,100,234,4,18.04988,13,9,18,18,55,96,128,58,115,78,567,414,-1,-1,-1,87,272,6,28.3268,0,14,18,18,85,73,76,122,76,112,75,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,-1,-1,-1,-1,-1,0,0,0,3,13.48008,0,6,18,18,68,94,75,70,87,107,-1,-1,-1,-1,-1,100,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,794,384,447,811,-1,0,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,206,471,-1,-1,-1,53,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,800,712,-1,-1,-1,83,0,2,19.00792,16,9,18,18,71,123,91,83,83,96,-1,-1,-1,-1,-1,100,0,0,2,8,passive
14,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,486,854,704,-1,-1,100,234,4,18.04988,13,9,18,18,55,96,128,58,115,78,567,414,-1,-1,-1,99,272,6,28.3268,0,14,18,18,85,73,76,122,76,112,75,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,-1,-1,-1,-1,-1,0,0,0,3,13.48008,0,6,18,18,68,94,75,70,87,107,-1,-1,-1,-1,-1,100,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,794,384,447,811,-1,0,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,206,471,619,-1,-1,23,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,800,712,-1,-1,-1,83,0,2,19.00792,16,9,18,18,71,123,91,83,83,96,-1,-1,-1,-1,-1,100,0,0,2,2,aggressive
15,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,486,854,704,-1,-1,100,234,4,18.04988,13,9,18,18,55,96,128,58,115,78,567,414,-1,-1,-1,100,272,6,28.3268,0,14,18,18,85,73,76,122,76,112,75,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,-1,-1,-1,-1,-1,0,0,0,3,13.48008,0,6,18,18,68,94,75,70,87,107,-1,-1,-1,-1,-1,100,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,794,384,447,811,-1,0,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,206,471,619,-1,-1,0,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,800,712,-1,-1,-1,83,0,2,19.00792,16,9,18,18,71,123,91,83,83,96,-1,-1,-1,-1,-1,100,0,0,5,2,aggressive
16,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,486,854,704,-1,-1,100,234,4,18.04988,13,9,18,18,55,96,128,58,115,78,567,414,-1,-1,-1,100,272,6,28.3268,0,14,18,18,85,73,76,122,76,112,75,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,-1,-1,-1,-1,-1,0,0,0,3,13.48008,0,6,18,18,68,94,75,70,87,107,-1,-1,-1,-1,-1,100,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,794,384,447,811,-1,0,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,206,471,619,-1,-1,0,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,800,712,-1,-1,-1,83,0,2,19.00792,16,9,18,18,71,123,91,83,83,96,668,-1,-1,-1,-1,70,0,0,5,2,aggressive
17,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,486,854,704,-1,-1,20,234,4,18.04988,13,9,18,18,55,96,128,58,115,78,567,414,-1,-1,-1,100,272,6,28.3268,0,14,18,18,85,73,76,122,76,112,75,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,-1,-1,-1,-1,-1,0,0,0,2,13.48008,0,6,18,18,68,94,75,70,87,107,-1,-1,-1,-1,-1,100,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,794,384,447,811,-1,0,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,206,471,619,-1,-1,0,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,800,712,-1,-1,-1,83,0,2,19.00792,16,9,18,18,71,123,91,83,83,96,668,282,-1,-1,-1,70,0,0,5,7,passive
18,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,486,854,704,-1,-1,0,234,4,18.04988,13,9,18,18,55,96,128,58,115,78,567,414,-1,-1,-1,100,272,6,28.3268,0,14,18,18,85,73,76,122,76,112,75,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,-1,-1,-1,-1,-1,0,0,0,1,13.48008,0,6,18,18,68,94,75,70,87,107,-1,-1,-1,-1,-1,100,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,794,384,447,811,-1,0,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,206,471,619,-1,-1,0,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,800,712,-1,-1,-1,83,0,2,19.00792,16,9,18,18,71,123,91,83,83,96,668,282,194,-1,-1,70,0,0,5,6,passive
19,14.43896,17,9,18,18,93,111,85,106,120,73,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,486,854,704,-1,-1,0,234,4,18.04988,13,9,18,18,55,96,128,58,115,78,567,414,-1,-1,-1,100,272,6,28.3268,0,14,18,18,85,73,76,122,76,112,75,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,-1,-1,-1,-1,-1,0,0,0,0,13.48008,0,6,18,18,68,94,75,70,87,107,-1,-1,-1,-1,-1,100,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,794,384,447,811,-1,0,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,206,471,619,-1,-1,0,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,800,712,-1,-1,-1,83,0,2,19.00792,16,9,18,18,71,123,91,83,83,96,668,282,194,-1,-1,70,0,0,5,5,passive
20,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,0,270,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,486,854,704,-1,-1,0,234,4,18.04988,13,9,18,18,55,96,128,58,115,78,567,414,-1,-1,-1,100,272,6,28.3268,0,14,18,18,85,73,76,122,76,112,75,-1,-1,-1,-1,100,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,-1,-1,-1,-1,-1,0,0,0,4,13.48008,0,6,18,18,68,94,75,70,87,107,-1,-1,-1,-1,-1,100,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,794,384,447,811,-1,0,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,206,471,619,-1,-1,0,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,800,712,-1,-1,-1,83,0,2,19.00792,16,9,18,18,71,123,91,83,83,96,668,282,194,-1,-1,25,0,0,5,9,passive
21,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,0,270,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,486,854,704,-1,-1,0,234,4,18.04988,13,9,18,18,55,96,128,58,115,78,567,414,-1,-1,-1,100,272,6,28.3268,0,14,18,18,85,73,76,122,76,112,75,-1,-1,-1,-1,0,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,-1,-1,-1,-1,-1,0,0,0,3,13.48008,0,6,18,18,68,94,75,70,87,107,-1,-1,-1,-1,-1,100,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,794,384,447,811,-1,0,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,206,471,619,-1,-1,0,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,800,712,-1,-1,-1,83,0,2,19.00792,16,9,18,18,71,123,91,83,83,96,668,282,194,-1,-1,25,0,0,5,8,passive
22,14.43896,17,9,18,18,93,111,85,106,120,73,217,-1,-1,-1,-1,0,270,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,486,854,704,-1,-1,0,234,4,18.04988,13,9,18,18,55,96,128,58,115,78,567,414,-1,-1,-1,0,272,6,28.3268,0,14,18,18,85,73,76,122,76,112,75,-1,-1,-1,-1,0,0,0,8.47012,8,9,18,18,71,81,88,61,73,95,-1,-1,-1,-1,-1,0,0,0,3,13.48008,0,6,18,18,68,94,75,70,87,107,-1,-1,-1,-1,-1,100,0,0,16.30724,0,0,18,18,78,77,79,108,82,100,794,384,447,811,-1,0,0,0,12.95944,0,10,18,18,70,115,114,67,94,81,206,471,619,-1,-1,0,0,0,10.22164,0,6,18,18,63,112,81,56,84,81,-1,-1,-1,-1,-1,100,0,0,24.60264,0,13,18,18,63,98,128,51,80,58,800,712,-1,-1,-1,83,0,2,19.00792,16,9,18,18,71,123,91,83,83,96,668,282,194,-1,-1,25,0,0,5,8,passive
