turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,decision_type,Win
16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,194,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,-1,-1,-1,-1,-1,96,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,726,414,-1,-1,-1,71,270,0,1.92488,3,9,18,18,55,73,125,93,70,70,729,-1,-1,-1,-1,78,0,0,5,5.01152,3,1,18,18,71,74,88,113,93,86,835,-1,-1,-1,-1,100,0,0,1.64148,4,17,18,18,76,70,71,108,105,80,-1,-1,-1,-1,-1,100,0,0,7.60116,1,1,18,18,72,64,86,121,86,86,233,151,654,-1,-1,0,234,0,4.59416,8,9,18,18,71,116,90,70,80,81,-1,-1,-1,-1,-1,71,0,1,49546.0414,1,2,4,18,302,105,100,109,100,100,85,-1,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,64,825,-1,-1,-1,62,0,1,3,10,passive,1
16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,194,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,-1,-1,-1,-1,-1,96,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,726,414,-1,-1,-1,71,270,0,1.92488,3,9,18,18,55,73,125,93,70,70,729,-1,-1,-1,-1,60,0,0,5,5.01152,3,1,18,18,71,74,88,113,93,86,835,-1,-1,-1,-1,100,0,0,1.64148,4,17,18,18,76,70,71,108,105,80,-1,-1,-1,-1,-1,100,0,0,7.60116,1,1,18,18,72,64,86,121,86,86,233,151,654,-1,-1,0,234,0,4.59416,8,9,18,18,71,116,90,70,80,81,237,-1,-1,-1,-1,71,0,1,49546.0414,1,2,4,18,302,105,100,109,100,100,85,-1,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,64,825,-1,-1,-1,62,0,1,3,1,unknown,1
16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,194,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,-1,-1,-1,-1,-1,96,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,726,414,-1,-1,-1,71,270,0,1.92488,3,9,18,18,55,73,125,93,70,70,729,717,-1,-1,-1,48,0,0,5,5.01152,3,1,18,18,71,74,88,113,93,86,835,-1,-1,-1,-1,100,0,0,1.64148,4,17,18,18,76,70,71,108,105,80,-1,-1,-1,-1,-1,100,0,0,7.60116,1,1,18,18,72,64,86,121,86,86,233,151,654,-1,-1,0,234,0,4.59416,8,9,18,18,71,116,90,70,80,81,237,8,-1,-1,-1,71,0,1,49546.0414,1,2,4,18,302,105,100,109,100,100,85,-1,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,64,825,-1,-1,-1,62,0,1,3,1,unknown,1
16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,194,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,-1,-1,-1,-1,-1,96,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,726,414,-1,-1,-1,71,270,0,1.92488,3,9,18,18,55,73,125,93,70,70,729,717,628,-1,-1,79,0,0,5,5.01152,3,1,18,18,71,74,88,113,93,86,835,-1,-1,-1,-1,100,0,0,1.64148,4,17,18,18,76,70,71,108,105,80,-1,-1,-1,-1,-1,100,0,0,7.60116,1,1,18,18,72,64,86,121,86,86,233,151,654,-1,-1,0,234,0,4.59416,8,9,18,18,71,116,90,70,80,81,237,8,-1,-1,-1,71,0,1,49546.0414,1,2,4,18,302,105,100,109,100,100,85,-1,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,64,825,-1,-1,-1,62,0,1,3,2,unknown,1
16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,194,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,-1,-1,-1,-1,-1,96,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,726,414,-1,-1,-1,71,270,0,1.92488,3,9,18,18,55,73,125,93,70,70,729,717,628,-1,-1,79,0,0,5,5.01152,3,1,18,18,71,74,88,113,93,86,835,-1,-1,-1,-1,100,0,0,1.64148,4,17,18,18,76,70,71,108,105,80,-1,-1,-1,-1,-1,100,0,0,7.60116,1,1,18,18,72,64,86,121,86,86,233,151,654,-1,-1,0,234,0,4.59416,8,9,18,18,71,116,90,70,80,81,237,8,-1,-1,-1,71,0,1,49546.0414,1,2,4,18,302,105,100,109,100,100,85,-1,-1,-1,-1,-1,64,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,64,825,-1,-1,-1,62,0,1,4,2,unknown,1
16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,194,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,-1,-1,-1,-1,-1,96,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,726,414,-1,-1,-1,71,270,0,1.92488,3,9,18,18,55,73,125,93,70,70,729,717,628,-1,-1,79,0,0,2,5.01152,3,1,18,18,71,74,88,113,93,86,835,-1,-1,-1,-1,100,0,0,1.64148,4,17,18,18,76,70,71,108,105,80,-1,-1,-1,-1,-1,100,0,0,7.60116,1,1,18,18,72,64,86,121,86,86,233,151,654,-1,-1,0,234,0,4.59416,8,9,18,18,71,116,90,70,80,81,237,8,-1,-1,-1,71,0,1,49546.0414,1,2,4,18,302,105,100,109,100,100,85,175,-1,-1,-1,-1,64,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,64,825,-1,-1,-1,62,0,1,4,7,passive,1
16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,194,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,0,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,-1,-1,-1,-1,-1,96,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,726,414,-1,-1,-1,71,270,0,1.92488,3,9,18,18,55,73,125,93,70,70,729,717,628,-1,-1,79,0,0,3,5.01152,3,1,18,18,71,74,88,113,93,86,835,-1,-1,-1,-1,100,0,0,1.64148,4,17,18,18,76,70,71,108,105,80,-1,-1,-1,-1,-1,100,0,0,7.60116,1,1,18,18,72,64,86,121,86,86,233,151,654,-1,-1,0,234,0,4.59416,8,9,18,18,71,116,90,70,80,81,237,8,-1,-1,-1,71,0,1,49546.0414,1,2,4,18,302,105,100,109,100,100,85,175,81,-1,-1,-1,54,270,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,64,825,-1,-1,-1,62,0,1,4,8,passive,1
16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,194,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,0,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,171,-1,-1,-1,-1,19,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,726,414,-1,-1,-1,71,270,0,1.92488,3,9,18,18,55,73,125,93,70,70,729,717,628,-1,-1,79,0,0,3,5.01152,3,1,18,18,71,74,88,113,93,86,835,-1,-1,-1,-1,59,0,0,1.64148,4,17,18,18,76,70,71,108,105,80,-1,-1,-1,-1,-1,100,0,0,7.60116,1,1,18,18,72,64,86,121,86,86,233,151,654,-1,-1,0,234,0,4.59416,8,9,18,18,71,116,90,70,80,81,237,8,-1,-1,-1,71,0,1,49546.0414,1,2,4,18,302,105,100,109,100,100,85,175,81,533,-1,-1,0,270,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,64,825,-1,-1,-1,62,0,1,0,8,passive,1
16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,194,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,0,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,171,-1,-1,-1,-1,19,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,726,414,-1,-1,-1,71,270,0,1.92488,3,9,18,18,55,73,125,93,70,70,729,717,628,-1,-1,54,0,0,5,5.01152,3,1,18,18,71,74,88,113,93,86,835,-1,-1,-1,-1,59,0,0,1.64148,4,17,18,18,76,70,71,108,105,80,-1,-1,-1,-1,-1,72,0,0,7.60116,1,1,18,18,72,64,86,121,86,86,233,151,654,-1,-1,0,234,0,4.59416,8,9,18,18,71,116,90,70,80,81,237,8,-1,-1,-1,71,0,1,49546.0414,1,2,4,18,302,105,100,109,100,100,85,175,81,533,-1,-1,0,270,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,64,825,-1,-1,-1,62,0,1,1,10,passive,1
16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,194,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,0,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,171,-1,-1,-1,-1,19,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,726,414,-1,-1,-1,71,270,0,1.92488,3,9,18,18,55,73,125,93,70,70,729,717,628,-1,-1,0,0,0,0,5.01152,3,1,18,18,71,74,88,113,93,86,835,-1,-1,-1,-1,59,0,0,1.64148,4,17,18,18,76,70,71,108,105,80,486,-1,-1,-1,-1,72,0,0,7.60116,1,1,18,18,72,64,86,121,86,86,233,151,654,-1,-1,0,234,0,4.59416,8,9,18,18,71,116,90,70,80,81,237,8,-1,-1,-1,71,0,1,49546.0414,1,2,4,18,302,105,100,109,100,100,85,175,81,533,-1,-1,0,270,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,64,825,-1,-1,-1,62,0,1,1,5,passive,1
16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,194,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,0,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,171,-1,-1,-1,-1,19,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,726,414,-1,-1,-1,71,270,0,1.92488,3,9,18,18,55,73,125,93,70,70,729,717,628,-1,-1,0,0,0,0,5.01152,3,1,18,18,71,74,88,113,93,86,835,-1,-1,-1,-1,59,0,0,1.64148,4,17,18,18,76,70,71,108,105,80,486,-1,-1,-1,-1,72,0,0,7.60116,1,1,18,18,72,64,86,121,86,86,233,151,654,-1,-1,0,234,0,4.59416,8,9,18,18,71,116,90,70,80,81,237,8,-1,-1,-1,3,0,2,49546.0414,1,2,4,18,302,105,100,109,100,100,85,175,81,533,-1,-1,0,270,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,64,825,-1,-1,-1,62,0,1,3,5,passive,1
16,1,18,18,105,110,90,96,91,100,632,567,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,194,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,0,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,171,-1,-1,-1,-1,19,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,726,414,-1,-1,-1,71,270,0,1.92488,3,9,18,18,55,73,125,93,70,70,729,717,628,-1,-1,0,0,0,0,5.01152,3,1,18,18,71,74,88,113,93,86,835,-1,-1,-1,-1,18,0,0,1.64148,4,17,18,18,76,70,71,108,105,80,486,-1,-1,-1,-1,72,0,0,7.60116,1,1,18,18,72,64,86,121,86,86,233,151,654,-1,-1,0,234,0,4.59416,8,9,18,18,71,116,90,70,80,81,237,8,73,-1,-1,0,0,2,49546.0414,1,2,4,18,302,105,100,109,100,100,85,175,81,533,-1,-1,0,270,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,64,825,-1,-1,-1,62,0,1,0,1,unknown,1
16,1,18,18,105,110,90,96,91,100,632,567,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,194,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,0,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,171,-1,-1,-1,-1,19,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,726,414,-1,-1,-1,71,270,0,1.92488,3,9,18,18,55,73,125,93,70,70,729,717,628,-1,-1,0,0,0,0,5.01152,3,1,18,18,71,74,88,113,93,86,835,-1,-1,-1,-1,0,0,0,1.64148,4,17,18,18,76,70,71,108,105,80,486,-1,-1,-1,-1,43,0,0,7.60116,1,1,18,18,72,64,86,121,86,86,233,151,654,-1,-1,0,234,0,4.59416,8,9,18,18,71,116,90,70,80,81,237,8,73,-1,-1,0,0,2,49546.0414,1,2,4,18,302,105,100,109,100,100,85,175,81,533,-1,-1,0,270,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,64,825,-1,-1,-1,62,0,1,1,1,unknown,1
16,1,18,18,105,110,90,96,91,100,632,567,-1,-1,-1,83,234,0,1.30136,8,9,18,18,70,116,100,66,86,68,194,-1,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,0,0,0,6.42588,14,2,18,18,83,76,80,103,120,83,171,-1,-1,-1,-1,19,0,0,3.66656,12,6,18,18,60,125,88,63,66,73,726,414,-1,-1,-1,71,270,0,1.92488,3,9,18,18,55,73,125,93,70,70,729,717,628,-1,-1,0,0,0,0,5.01152,3,1,18,18,71,74,88,113,93,86,835,-1,-1,-1,-1,0,0,0,1.64148,4,17,18,18,76,70,71,108,105,80,486,705,-1,-1,-1,0,0,0,7.60116,1,1,18,18,72,64,86,121,86,86,233,151,654,-1,-1,0,234,0,4.59416,8,9,18,18,71,116,90,70,80,81,237,8,73,-1,-1,0,0,2,49546.0414,1,2,4,18,302,105,100,109,100,100,85,175,81,533,-1,-1,0,270,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,64,825,-1,-1,-1,0,0,1,5,1,unknown,1
